Sequence,Transect,SegPos,Gen,Donor,Recipient,Plant_ID,F_plant,Sow_Date,Plant_Date,FFD,days_sow2flower,days_plant2flower,LFD,fl_duration,LeafD,FLR_P,F_Num_01,F_Num_02,F_Num_03,skel_weight_mg,Sym,ALL_closed_fruit,ALL_open_fruit,ALL_filled_seeds,total_seeds,total_fruits,mean_seeds_per_fruit,total_est_seed_production,surv_to_flower,surv_to_fruitprod,surv_to_seedprod
204,7,6L,G1,BO_168,BO_155,5,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-06-02,42,,2023-04-21,3,,,36.36,-,6,4,21,21,10,3.5,35,1,1,1
205,7,7L,G1,BO_033,BO_099,1,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-04-21,0,,2023-04-21,,,,,-,1,0,0,1,1,0,0,1,1,0
206,7,8L,G2,BO_163,BO_034,1,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-05-17,26,,2023-04-21,1,2,,,X,0,0,0,0,0,0,0,1,0,0
206,7,8R,G1,BO_069,BO_043,2,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,2023-06-02,2023-05-05,3,,,24.57,-,4,0,13,14,4,3.25,13,1,1,1
207,7,9L,G1,BO_001,BO_048,5,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-05-05,14,,2023-04-21,2,,,20.73,-,6,1,10,10,7,1.666666667,11.66666667,1,1,1
208,7,10L,G1,BO_096,BO_012,1,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-04-21,0,,2023-04-21,,,,7.96,-,1,0,0,0,1,0,0,1,1,0
210,7,12L,G2,BO_162,BO_164,1,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-06-02,42,,,,,,16.9,X,0,1,0,0,1,0,0,1,1,0
210,7,12R,G1,BO_187,BO_150,4,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-06-02,42,,2023-05-17,1,2,,49.39,-,7,2,17,21,9,2.428571429,21.85714286,1,1,1
211,7,13L,G2,BO_189,BO_126,3,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,,2023-05-05,3,,,12.81,X,3,0,11,11,3,3.666666667,11,1,1,1
213,7,15L,G1,BO_088,BO_050,4,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-04-21,0,,,,,,6.34,-,2,0,2,4,2,1,2,1,1,1
213,7,15R,G1,BO_183,BO_198,2,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-05-05,14,,2023-04-21,,,,17.05,-,6,1,15,20,7,2.5,17.5,1,1,1
214,7,16L,G1,BO_058,BO_094,3,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-04-21,0,,,,,,2.33,-,0,1,0,0,1,0,0,1,1,0
217,7,19R,G1,BO_101,BO_024,5,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-04-21,0,,2023-04-21,,,,11.48,-,1,0,6,7,1,6,6,1,1,1
218,7,20L,G1,BO_013,BO_053,5,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,,2023-05-05,1,,,4.61,-,2,0,4,4,2,2,4,1,1,1
218,7,20R,G2,BO_185,BO_071,5,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,,2023-05-05,,,,16.86,X,3,0,0,4,3,0,0,1,1,0
219,7,21L,G2,BO_192,BO_021,4,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-04-21,0,,2023-04-21,,,,20.34,X,1,5,3,3,6,3,18,1,1,1
222,7,24R,G2,BO_162,BO_164,2,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-04-21,0,,,,,,,X,1,0,1,1,1,1,1,1,1,1
223,7,25R,G1,BO_074,BO_118,1,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-04-21,0,,,,,,,-,1,0,0,1,1,0,0,1,1,0
224,7,26R,G1,BO_022,BO_146,5,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-05-05,14,,2023-04-21,3,,,15.82,-,6,0,15,21,6,2.5,15,1,1,1
225,8,1R,G1,BO_153,BO_157,4,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,,2023-05-05,3,,,,-,3,0,5,5,3,1.666666667,5,1,1,1
226,8,2R,G2,BO_101,BO_080,3,TRUE,2022-10-31,2022-11-03,2023-05-17,198,195,2023-05-17,0,,2023-05-17,,1,,,X,1,1,0,2,2,0,0,1,1,0
227,8,3L,G2,BO_074,BO_027,5,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-17,12,,2023-05-17,1,2,,,X,4,0,3,5,4,0.75,3,1,1,1
228,8,4L,G2,BO_188,BO_008,1,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,,2023-05-05,3,,,23.8,X,3,0,12,16,3,4,12,1,1,1
228,8,4R,G1,BO_039,BO_087,1,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-17,12,,2023-05-05,2,1,,33.65,-,6,0,13,23,6,2.166666667,13,1,1,1
229,8,5L,G1,BO_074,BO_027,3,TRUE,2022-10-31,2022-11-03,,,,,,,,,,,10.61,-,1,0,4,4,1,4,4,0,1,1
229,8,5R,G2,BO_088,BO_169,1,TRUE,2022-10-31,2022-11-03,,,,,,,,,,,,X,0,0,0,0,0,0,0,0,0,0
230,8,6L,G1,BO_005,BO_122,1,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-04-21,0,,2023-04-21,,,,11.6,-,3,1,9,13,4,3,12,1,1,1
230,8,6R,G1,BO_065,BO_115,2,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-05-05,14,,2023-04-21,1,,,17.36,-,2,2,4,4,4,2,8,1,1,1
231,8,7L,G2,BO_088,BO_169,3,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-04-21,0,,,,,,,X,0,0,0,0,0,0,0,1,0,0
231,8,7R,G1,BO_005,BO_122,2,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-05-05,14,,2023-04-21,1,,,20.3,-,3,1,13,13,4,4.333333333,17.33333333,1,1,1
232,8,8L,G2,BO_151,BO_056,2,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-05-05,14,,2023-04-21,1,,,10.45,X,2,1,1,2,3,0.5,1.5,1,1,1
233,8,9L,G1,BO_038,BO_082,2,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-04-21,0,,2023-04-21,,,,13.8,-,0,0,0,0,0,0,0,1,0,0
233,8,9R,G1,BO_109,BO_028,2,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-04-21,0,,,,,,14.77,-,2,1,1,3,3,0.5,1.5,1,1,1
234,8,10L,G1,BO_088,BO_140,1,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-04-21,0,,,,,,,-,0,0,0,0,0,0,0,1,0,0
235,8,11L,G2,BO_029,BO_090,1,TRUE,2022-10-31,2022-11-03,,,,,,,,,,,1.32,X,0,2,0,0,2,0,0,0,1,0
235,8,11R,G1,BO_199,BO_069,3,TRUE,2022-10-31,2022-11-03,2023-05-17,198,195,2023-06-02,16,,2023-05-17,,2,,,-,0,0,0,0,0,0,0,1,0,0
236,8,12R,G2,BO_029,BO_090,2,TRUE,2022-10-31,2022-11-03,,,,,,,,,,,2.25,X,0,0,0,0,0,0,0,0,0,0
237,8,13L,G1,BO_162,BO_164,5,TRUE,2022-10-31,2022-11-03,2023-05-17,198,195,2023-06-02,16,,2023-05-17,,1,,,-,1,0,6,6,1,6,6,1,1,1
238,8,14R,G1,BO_128,BO_044,1,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-04-21,0,,,,,,,-,0,0,0,0,0,0,0,1,0,0
239,8,15R,G1,BO_173,BO_079,2,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,,2023-05-05,1,,,26.88,-,5,4,4,10,9,0.8,7.2,1,1,1
240,8,16L,G1,BO_029,BO_090,5,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-04-21,0,,2023-04-21,,,,3.72,-,1,0,0,0,1,0,0,1,1,0
241,8,17L,G1,BO_038,BO_149,1,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-04-21,0,,2023-04-21,,,,12.72,-,4,0,6,8,4,1.5,6,1,1,1
242,8,18R,G1,BO_074,BO_027,3,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-05-05,14,,2023-04-21,2,,,,-,10,4,36,54,14,3.6,50.4,1,1,1
243,8,19L,G1,BO_163,BO_072,4,TRUE,2022-10-31,2022-11-03,,,,,,,,,,,8.85,-,2,0,10,10,2,5,10,0,1,1
243,8,19R,G2,BO_143,BO_152,5,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-06-02,28,2023-06-02,2023-05-17,,3,,25.61,X,2,2,4,4,4,2,8,1,1,1
244,8,20L,G1,BO_188,BO_008,3,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-05-05,14,,,1,,,20.53,-,5,0,4,6,5,0.8,4,1,1,1
244,8,20R,G2,BO_038,BO_137,2,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-04-21,0,,,,,,4.25,X,0,0,0,0,0,0,0,1,0,0
245,8,21L,G1,BO_188,BO_008,2,TRUE,2022-10-31,2022-11-03,,,,,,,,,,,8.57,-,0,1,0,0,1,0,0,0,1,0
245,8,21R,G1,BO_173,BO_091,2,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-06-02,42,,2023-04-21,,,,,-,0,0,0,0,0,0,0,1,0,0
247,8,23L,G2,BO_038,BO_149,5,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-05-05,14,,2023-04-21,4,,,38.94,X,3,0,2,7,3,0.6666666667,2,1,1,1
248,8,24L,G2,BO_143,BO_152,2,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-17,12,,2023-05-05,2,,,27.28,X,3,0,6,10,3,2,6,1,1,1
248,8,24R,G1,BO_070,BO_066,4,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,,2023-05-05,1,,,7.74,-,3,0,4,6,3,1.333333333,4,1,1,1
249,8,25R,G1,BO_163,BO_144,5,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-05-17,26,,2023-05-05,1,1,,,-,4,1,13,15,5,3.25,16.25,1,1,1
251,9,2L,G1,BO_149,BO_032,3,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-05-05,14,,2023-05-05,1,,,14.79,-,2,0,7,7,2,3.5,7,1,1,1
251,9,2R,G1,BO_073,BO_117,4,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-05-17,26,,,2,1,,40.75,-,4,3,13,14,7,3.25,22.75,1,1,1
253,9,4L,G1,BO_038,BO_137,5,TRUE,2022-10-31,2022-11-03,,,,,,,,,,,,-,0,0,0,0,0,0,0,0,0,0
253,9,4R,G2,BO_177,BO_121,4,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-05-05,14,,2023-04-21,,,,10.35,X,0,2,0,0,2,0,0,1,1,0
254,9,5R,G1,BO_096,BO_134,1,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-04-21,0,2023-05-17,2023-04-21,,,,3.18,-,0,1,0,0,1,0,0,1,1,0
255,9,6L,G1,BO_038,BO_082,5,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-04-21,0,,2023-04-21,,,,7.13,-,0,0,0,0,0,0,0,1,0,0
255,9,6R,G1,BO_005,BO_176,5,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-05-05,14,,2023-05-05,3,,,23.26,-,1,0,3,3,1,3,3,1,1,1
256,9,7R,G2,BO_065,BO_115,3,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,,2023-05-05,2,,,9.75,X,0,3,0,0,3,0,0,1,1,0
257,9,8L,G2,BO_168,BO_155,5,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,,,,,,4.73,X,0,3,0,0,3,0,0,1,1,0
257,9,8R,G2,BO_074,BO_027,5,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,,,,,,3.94,X,0,1,0,0,1,0,0,1,1,0
258,9,9L,G1,BO_074,BO_118,1,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,,2023-05-05,2,,,10.96,-,0,4,0,0,4,0,0,1,1,0
258,9,9R,G1,BO_073,BO_070,4,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-05-05,14,2023-05-17,,1,,,4.51,-,1,1,2,3,2,2,4,1,1,1
259,9,10L,G1,BO_192,BO_127,4,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-04-21,0,2023-05-17,2023-04-21,,,,6.72,-,1,1,0,2,2,0,0,1,1,0
259,9,10R,G1,BO_198,BO_159,3,TRUE,2022-10-31,2022-11-03,,,,,,,,,,,1.94,-,0,1,0,0,1,0,0,0,1,0
260,9,11L,G2,BO_022,BO_146,1,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-05-05,14,,2023-04-21,1,,,8.22,X,2,1,2,2,3,1,3,1,1,1
260,9,11R,G1,BO_151,BO_056,4,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,,,1,,,2.39,-,1,0,4,4,1,4,4,1,1,1
261,9,12L,G1,BO_128,BO_105,5,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-05-05,14,,2023-04-21,1,,,12.62,-,3,0,3,3,3,1,3,1,1,1
261,9,12R,G1,BO_192,BO_127,5,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-04-21,0,,,,,,,-,0,1,0,0,1,0,0,1,1,0
262,9,13L,G2,BO_101,BO_080,5,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-04-21,0,,2023-04-21,,,,,X,0,0,0,0,0,0,0,1,0,0
262,9,13R,G2,BO_058,BO_123,1,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,2023-05-17,,1,,,3.16,X,1,0,0,0,1,0,0,1,1,0
263,9,14R,G1,BO_173,BO_091,3,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-04-21,0,,2023-04-21,,,,,-,0,0,0,0,0,0,0,1,0,0
264,9,15L,G1,BO_162,BO_089,1,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-04-21,0,,2023-04-21,,,,,-,0,2,0,0,2,0,0,1,1,0
264,9,15R,G1,BO_194,BO_125,1,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-04-21,0,,2023-04-21,,,,1.76,-,0,1,0,0,1,0,0,1,1,0
265,9,16L,G1,BO_198,BO_159,2,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-04-21,0,,2023-04-21,,,,2.59,-,0,1,0,0,1,0,0,1,1,0
265,9,16R,G1,BO_201,BO_130,3,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-05-05,14,,2023-04-21,1,,,,-,1,2,2,2,3,2,6,1,1,1
266,9,17L,G1,BO_070,BO_066,1,TRUE,2022-10-31,2022-11-03,2023-05-17,198,195,2023-05-17,0,,2023-05-17,,1,,2.34,-,1,0,2,2,1,2,2,1,1,1
266,9,17R,G1,BO_005,BO_176,3,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-04-21,0,,,,,,3.04,-,0,0,0,0,0,0,0,1,0,0
267,9,18L,G2,BO_187,BO_150,3,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-05-05,14,,2023-04-21,2,,,10.06,X,1,4,5,5,5,5,25,1,1,1
267,9,18R,G2,BO_194,BO_125,1,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,,2023-05-05,2,,,,X,1,3,6,6,4,6,24,1,1,1
268,9,19L,G1,BO_065,BO_014,5,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,,,3,,,7.83,-,2,2,7,8,4,3.5,14,1,1,1
269,9,20L,G1,BO_109,BO_095,5,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-17,12,2023-05-17,,,2,,,-,4,1,6,12,5,1.5,7.5,1,1,1
269,9,20R,G1,BO_143,BO_195,3,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,,,,,,5.82,-,0,0,0,0,0,0,0,1,0,0
270,9,21L,G2,BO_069,BO_043,3,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,2023-05-17,2023-05-05,1,,,,X,0,0,0,0,0,0,0,1,0,0
270,9,21R,G1,BO_185,BO_085,5,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,2023-05-17,,1,,,13.58,-,3,1,8,8,4,2.666666667,10.66666667,1,1,1
271,9,22R,G2,BO_001,BO_025,5,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-04-21,0,2023-05-17,2023-04-21,,,,,X,0,0,0,0,0,0,0,1,0,0
272,9,23L,G1,BO_073,BO_186,1,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,,2023-05-05,1,,,12.96,-,2,0,3,5,2,1.5,3,1,1,1
272,9,23R,G1,BO_188,BO_052,2,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,,,1,,,,-,1,0,2,2,1,2,2,1,1,1
273,9,24L,G2,BO_029,BO_061,4,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-04-21,0,,2023-04-21,,,,5.12,X,0,1,0,0,1,0,0,1,1,0
273,9,24R,G1,BO_149,BO_106,1,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-04-21,0,2023-05-17,2023-04-21,,,,5.48,-,0,1,0,0,1,0,0,1,1,0
274,9,25L,G1,BO_170,BO_111,4,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-04-21,0,,2023-04-21,,,,,-,0,0,0,0,0,0,0,1,0,0
274,9,25R,G1,BO_022,BO_009,5,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-05-05,14,,2023-05-05,1,,,31.3,-,3,1,6,6,4,2,8,1,1,1
276,9,27L,G2,BO_192,BO_166,5,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-05-17,26,2023-05-17,2023-04-21,1,1,,,X,0,2,0,0,2,0,0,1,1,0
276,9,27R,G1,BO_088,BO_169,2,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,2023-05-17,2023-05-05,1,,,25.59,-,3,1,6,10,4,2,8,1,1,1
279,9,30R,G2,BO_199,BO_018,1,TRUE,2022-10-31,2022-11-03,2023-05-17,198,195,2023-05-17,0,,2023-05-17,1,,,,X,0,0,0,0,0,0,0,1,0,0
281,10,2L,G2,BO_070,BO_184,3,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-06-15,41,,,1,1,,,X,3,0,7,12,3,2.333333333,7,1,1,1
281,10,2R,G2,BO_189,BO_142,5,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-17,12,,2023-05-05,2,3,,20.08,X,3,2,19,23,5,6.333333333,31.66666667,1,1,1
282,10,3R,G2,BO_201,BO_199,3,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,,,1,,,,X,0,1,0,0,1,0,0,1,1,0
283,10,4R,G1,BO_070,BO_184,5,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-05-05,14,,2023-04-21,1,,,25.74,-,2,1,3,4,3,1.5,4.5,1,1,1
285,10,6L,G2,BO_149,BO_032,3,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,2023-05-05,2023-05-05,1,,,,X,0,0,0,0,0,0,0,1,0,0
286,10,7L,G2,BO_065,BO_115,4,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-05-05,14,,2023-04-21,1,,,,X,0,6,0,0,6,0,0,1,1,0
286,10,7R,G1,BO_038,BO_149,2,TRUE,2022-10-31,2022-11-03,,,,,,2023-05-17,,,,,4.32,-,1,3,0,0,4,0,0,0,1,0
287,10,8L,G1,BO_189,BO_142,1,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,,,2,,,,-,1,0,1,1,1,1,1,1,1,1
287,10,8R,G1,BO_119,BO_013,4,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-05-05,14,,,1,,,,-,0,0,0,0,0,0,0,1,0,0
288,10,9L,G1,BO_005,BO_019,5,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-04-21,0,2023-05-17,2023-04-21,,,,,-,0,1,0,0,1,0,0,1,1,0
288,10,9R,G2,BO_162,BO_089,5,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,2023-05-17,2023-05-05,2,,,17.74,X,1,0,5,5,1,5,5,1,1,1
289,10,10R,G2,BO_033,BO_143,1,TRUE,2022-10-31,2022-11-03,2023-06-02,214,211,2023-06-02,0,,,,,1,,X,0,0,0,0,0,0,0,1,0,0
291,10,12L,G2,BO_168,BO_180,1,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,2023-05-17,2023-05-05,1,,,,X,0,2,0,0,2,0,0,1,1,0
291,10,12R,G1,BO_188,BO_008,5,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-05-05,14,2023-05-17,2023-04-21,1,,,96.9,-,7,2,59,60,9,8.428571429,75.85714286,1,1,1
292,10,13R,G1,BO_128,BO_060,1,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,2023-05-17,2023-05-05,1,,,5.99,-,0,0,0,0,0,0,0,1,0,0
293,10,14L,G1,BO_109,BO_095,4,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-05-05,14,,2023-04-21,1,,,13.02,-,2,1,7,7,3,3.5,10.5,1,1,1
293,10,14R,G1,BO_096,BO_012,3,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,2023-05-17,2023-05-05,3,,,12.35,-,0,3,0,0,3,0,0,1,1,0
294,10,15R,G2,BO_194,BO_125,5,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,,,1,,,5,X,0,1,0,0,1,0,0,1,1,0
295,10,16L,G1,BO_022,BO_146,5,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,2023-05-17,,1,,,36.53,-,3,1,6,6,4,2,8,1,1,1
296,10,17R,G2,BO_173,BO_079,3,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-06-02,42,2023-05-17,2023-04-21,1,1,,,X,8,2,22,23,10,2.75,27.5,1,1,1
297,10,18R,G1,BO_073,BO_186,4,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,2023-05-17,2023-05-05,2,,,10.76,-,3,2,3,6,5,1,5,1,1,1
298,10,19R,G1,BO_162,BO_108,3,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-04-21,0,,2023-04-21,,,,15.39,-,1,1,0,0,2,0,0,1,1,0
301,10,22L,G2,BO_109,BO_001,3,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,,,1,,,11.07,X,1,3,4,4,4,4,16,1,1,1
302,10,23L,G1,BO_194,BO_037,5,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-05-05,14,2023-05-17,2023-04-21,1,,,7.98,-,1,1,0,2,2,0,0,1,1,0
302,10,23R,G1,BO_194,BO_098,2,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-05-05,14,,2023-04-21,1,,,4.94,-,1,2,2,2,3,2,6,1,1,1
303,10,24R,G2,BO_001,BO_025,4,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-05-05,14,,2023-04-21,1,,,12.15,X,0,1,0,0,1,0,0,1,1,0
304,10,25R,G2,BO_153,BO_177,2,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-05-05,14,2023-05-17,2023-04-21,1,,,1.45,X,0,1,0,0,1,0,0,1,1,0
305,10,26L,G1,BO_070,BO_184,5,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,,2023-05-05,1,,,3.53,-,0,1,0,0,1,0,0,1,1,0
305,10,26R,G1,BO_040,BO_171,1,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,,,1,,,13.85,-,3,0,5,5,3,1.666666667,5,1,1,1
307,10,28L,G1,BO_005,BO_176,1,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-05-05,14,,,1,,,26.18,-,3,1,7,16,4,2.333333333,9.333333333,1,1,1
308,10,29R,G1,BO_168,BO_180,3,TRUE,2022-10-31,2022-11-03,2023-05-17,198,195,2023-05-17,0,2023-05-17,,,1,,2.62,-,0,0,0,0,0,0,0,1,0,0
309,10,30L,G2,BO_032,BO_088,1,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,,,1,,,10.66,X,3,0,10,10,3,3.333333333,10,1,1,1
309,10,30R,G1,BO_199,BO_018,4,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,,2023-05-05,3,,,,-,7,0,23,23,7,3.285714286,23,1,1,1
