Sequence,Transect,Segment,position,Gen,Recipient,Fit_plant
1,1,1,L,G1,AC_057,2
1,1,1,R,G2,AC_130,2
2,1,2,L,G2,AC_215,5
2,1,2,R,G2,AC_191,5
3,1,3,L,G2,AC_189,5
3,1,3,R,G1,AC_032,2
4,1,4,L,G1,AC_072,4
4,1,4,R,G2,AC_032,2
5,1,5,L,G1,AC_204,5
5,1,5,R,G1,AC_119,3
6,1,6,L,G2,AC_094,3
6,1,6,R,G1,AC_123,2
7,1,7,L,G1,AC_030,1
7,1,7,R,G2,AC_151,1
8,1,8,L,G2,AC_147,1
8,1,8,R,G1,AC_147,2
9,1,9,L,G1,AC_086,3
9,1,9,R,G1,AC_089,3
10,1,10,L,G2,AC_212,4
10,1,10,R,G1,AC_212,
11,1,11,L,G1,AC_179,3
11,1,11,R,G2,AC_192,1
12,1,12,L,G2,AC_107,2
12,1,12,R,G2,AC_188,2
13,1,13,L,G1,AC_068,3
13,1,13,R,G2,AC_195,5
14,1,14,L,G1,AC_148,
14,1,14,R,G1,AC_034,1
15,1,15,L,G2,AC_094,2
15,1,15,R,G2,AC_107,4
16,1,16,L,G2,AC_199,3
16,1,16,R,G1,AC_113,
17,1,17,L,G1,AC_195,
17,1,17,R,G2,AC_066,2
18,1,18,L,G1,AC_081,3
18,1,18,R,G1,AC_153,1
19,1,19,L,G2,AC_155,1
19,1,19,R,G1,AC_119,3
20,1,20,L,G2,AC_213,3
20,1,20,R,G1,AC_178,3
21,1,21,L,G1,AC_188,4
21,1,21,R,G2,AC_011,4
22,1,22,L,G1,AC_133,1
22,1,22,R,G2,AC_062,1
23,1,23,L,G2,AC_130,5
23,1,23,R,G2,AC_005,3
24,1,24,L,G1,AC_218,3
24,1,24,R,G1,AC_178,5
25,1,25,L,G1,AC_107,5
25,1,25,R,G1,AC_154,3
26,1,26,L,G1,AC_086,2
26,1,26,R,G2,AC_118,5
27,1,27,L,G2,AC_015,2
27,1,27,R,G2,AC_201,1
28,1,28,L,G1,AC_189,2
28,1,28,R,G2,AC_089,
29,1,29,L,G1,AC_123,5
29,1,29,R,G1,AC_208,4
30,1,30,L,G1,AC_119,5
30,1,30,R,G2,AC_056,
31,1,31,L,G2,AC_040,5
31,1,31,R,G1,AC_148,
32,1,32,L,G1,AC_052,
32,1,32,R,G2,AC_113,4
33,1,33,L,G2,AC_083,5
33,1,33,R,G1,AC_148,3
34,1,34,L,G1,AC_152,
34,1,34,R,G2,AC_181,2
35,1,35,L,G2,AC_136,5
35,1,35,R,G1,AC_113,3
36,1,36,L,G2,AC_115,4
36,1,36,R,G1,AC_048,
37,2,1,L,G2,AC_005,4
37,2,1,R,G1,AC_054,3
38,2,2,L,G2,AC_206,5
38,2,2,R,G2,AC_011,5
39,2,3,L,G2,AC_111,5
39,2,3,R,G1,AC_203,5
40,2,4,L,G2,AC_119,4
40,2,4,R,G2,AC_082,1
41,2,5,L,G2,AC_118,3
41,2,5,R,G1,AC_216,3
42,2,6,L,G1,AC_131,1
42,2,6,R,G2,AC_086,3
43,2,7,L,G1,AC_205,1
43,2,7,R,G2,AC_062,4
44,2,8,L,G1,AC_205,5
44,2,8,R,G1,AC_118,4
45,2,9,L,G1,AC_144,1
45,2,9,R,G1,AC_088,5
46,2,10,L,G1,AC_030,2
46,2,10,R,G2,AC_040,4
47,2,11,L,G1,AC_051,5
47,2,11,R,G1,AC_090,2
48,2,12,L,G2,AC_038,3
48,2,12,R,G2,AC_193,5
49,2,13,L,G2,AC_168,1
49,2,13,R,G1,AC_089,1
50,2,14,L,G2,AC_190,4
50,2,14,R,G2,AC_016,5
51,2,15,L,G2,AC_010,3
51,2,15,R,G1,AC_054,1
52,2,16,L,G1,AC_010,
52,2,16,R,G2,AC_144,2
53,2,17,L,G2,AC_075,5
53,2,17,R,G1,AC_120,2
54,2,18,L,G2,AC_066,2
54,2,18,R,G1,AC_075,4
55,2,19,L,G1,AC_056,3
55,2,19,R,G2,AC_217,4
56,2,20,L,G1,AC_086,5
56,2,20,R,G1,AC_072,4
57,2,21,L,G1,AC_181,1
57,2,21,R,G2,AC_131,5
58,2,22,L,G1,AC_032,3
58,2,22,R,G1,AC_109,2
59,2,23,L,G1,AC_055,3
59,2,23,R,G1,AC_154,1
60,2,24,L,G2,AC_128,5
60,2,24,R,G1,AC_185,
61,2,25,L,G1,AC_154,4
61,2,25,R,G1,AC_122,1
62,2,26,L,G1,AC_133,3
62,2,26,R,G1,AC_197,4
63,2,27,L,G2,AC_058,4
63,2,27,R,G1,AC_014,5
64,2,28,L,G2,AC_054,5
64,2,28,R,G2,AC_133,2
65,2,29,L,G1,AC_107,2
65,2,29,R,G2,AC_046,3
66,2,30,L,G1,AC_088,3
66,2,30,R,G2,AC_114,2
67,2,31,L,G2,AC_200,2
67,2,31,R,G2,AC_203,5
68,2,32,L,G2,AC_074,4
68,2,32,R,G1,AC_046,3
69,2,33,L,G1,AC_187,4
69,2,33,R,G1,AC_182,2
70,2,34,L,G2,AC_095,5
70,2,34,R,G2,AC_092,2
71,2,35,L,G2,AC_205,4
71,2,35,R,G2,AC_186,
72,2,36,L,G1,AC_158,2
72,2,36,R,G2,AC_048,4
73,3,1,L,G1,AC_052,3
73,3,1,R,G2,AC_113,2
74,3,2,L,G1,AC_215,1
74,3,2,R,G1,AC_038,3
75,3,3,L,G2,AC_089,3
75,3,3,R,G1,AC_190,2
76,3,4,L,G2,AC_197,2
76,3,4,R,G1,AC_057,1
77,3,5,L,G2,AC_197,1
77,3,5,R,G1,AC_159,
78,3,6,L,G1,AC_082,4
78,3,6,R,G2,AC_096,2
79,3,7,L,G1,AC_099,5
79,3,7,R,G2,AC_154,3
80,3,8,L,G1,AC_010,1
80,3,8,R,G2,AC_181,3
81,3,9,L,G1,AC_005,1
81,3,9,R,G1,AC_187,1
82,3,10,L,G1,AC_094,3
82,3,10,R,G2,AC_190,4
83,3,11,L,G2,AC_148,2
83,3,11,R,G1,AC_096,1
84,3,12,L,G2,AC_068,5
84,3,12,R,G1,AC_057,4
85,3,13,L,G2,AC_064,5
85,3,13,R,G2,AC_100,3
86,3,14,L,G2,AC_075,3
86,3,14,R,G2,AC_185,2
87,3,15,L,G1,AC_212,
87,3,15,R,G2,AC_088,1
88,3,16,L,G2,AC_114,3
88,3,16,R,G1,AC_144,5
89,3,17,L,G1,AC_122,2
89,3,17,R,G1,AC_159,3
90,3,18,L,G2,AC_068,5
90,3,18,R,G1,AC_064,4
91,3,19,L,G1,AC_215,2
91,3,19,R,G2,AC_099,5
92,3,20,L,G1,AC_016,5
92,3,20,R,G1,AC_038,4
93,3,21,L,G1,AC_215,2
93,3,21,R,G1,AC_199,5
94,3,22,L,G2,AC_206,1
94,3,22,R,G1,AC_190,1
95,3,23,L,G2,AC_038,4
95,3,23,R,G1,AC_199,1
96,3,24,L,G1,AC_032,5
96,3,24,R,G1,AC_211,5
97,3,25,L,G1,AC_181,5
97,3,25,R,G1,AC_186,4
98,3,26,L,G1,AC_046,4
98,3,26,R,G1,AC_016,4
99,3,27,L,G1,AC_136,2
99,3,27,R,G2,AC_179,5
100,3,28,L,G2,AC_081,2
100,3,28,R,G2,AC_212,
101,3,29,L,G1,AC_191,2
101,3,29,R,G2,AC_213,2
102,3,30,L,G2,AC_144,5
102,3,30,R,G2,AC_154,3
103,3,31,L,G2,AC_015,2
103,3,31,R,G2,AC_171,3
104,3,32,L,G1,AC_051,5
104,3,32,R,G1,AC_197,4
105,3,33,L,G2,AC_058,5
105,3,33,R,G1,AC_111,4
106,3,34,L,G2,AC_119,
106,3,34,R,G1,AC_190,5
107,3,35,L,G2,AC_034,3
107,3,35,R,G2,AC_074,4
108,4,1,L,G2,AC_111,3
108,4,1,R,G2,AC_187,4
109,4,2,L,G2,AC_046,3
109,4,2,R,G1,AC_096,3
110,4,3,L,G2,AC_055,5
110,4,3,R,G1,AC_011,2
111,4,4,L,G1,AC_104,5
111,4,4,R,G2,AC_107,1
112,4,5,L,G2,AC_178,4
112,4,5,R,G1,AC_201,2
113,4,6,L,G1,AC_179,4
113,4,6,R,G2,AC_109,1
114,4,7,L,G2,AC_014,4
114,4,7,R,G1,AC_136,2
115,4,8,L,G1,AC_168,2
115,4,8,R,G2,AC_057,2
116,4,9,L,G1,AC_147,1
116,4,9,R,G1,AC_186,2
117,4,10,L,G2,AC_083,1
117,4,10,R,G2,AC_110,3
118,4,11,L,G1,AC_058,3
118,4,11,R,G2,AC_204,3
119,4,12,L,G2,AC_054,5
119,4,12,R,G1,AC_128,3
120,4,13,L,G1,AC_168,4
120,4,13,R,G2,AC_070,4
121,4,14,L,G2,AC_072,3
121,4,14,R,G2,AC_151,4
122,4,15,L,G2,AC_099,3
122,4,15,R,G1,AC_075,
123,4,16,L,G1,AC_048,3
123,4,16,R,G1,AC_160,5
124,4,17,L,G1,AC_068,3
124,4,17,R,G2,AC_109,3
125,4,18,L,G2,AC_011,4
125,4,18,R,G1,AC_088,4
126,4,19,L,G2,AC_055,3
126,4,19,R,G1,AC_017,3
127,4,20,L,G1,AC_203,1
127,4,20,R,G2,AC_030,3
128,4,21,L,G2,AC_160,2
128,4,21,R,G2,AC_195,4
129,4,22,L,G1,AC_005,1
129,4,22,R,G2,AC_172,4
130,4,23,L,G1,AC_188,
130,4,23,R,G1,AC_120,5
131,4,24,L,G1,AC_123,4
131,4,24,R,G1,AC_200,
132,4,25,L,G2,AC_215,
132,4,25,R,G1,AC_130,3
133,4,26,L,G1,AC_100,4
133,4,26,R,G2,AC_051,2
134,4,27,L,G1,AC_208,4
134,4,27,R,G2,AC_040,5
135,4,28,L,G1,AC_070,2
135,4,28,R,G1,AC_040,3
136,4,29,L,G1,AC_203,3
136,4,29,R,G1,AC_216,5
137,4,30,L,G2,AC_143,5
137,4,30,R,G1,AC_204,4
138,4,31,L,G2,AC_095,1
138,4,31,R,G2,AC_068,1
139,4,32,L,G2,AC_179,5
139,4,32,R,G2,AC_190,1
140,4,33,L,G2,AC_118,3
140,4,33,R,G2,AC_064,3
141,4,34,L,G2,AC_147,1
141,4,34,R,G2,AC_131,3
142,4,35,L,G1,AC_094,
142,4,35,R,G1,AC_062,3
143,4,36,L,G2,AC_159A,5
143,4,36,R,G2,AC_159B,5
144,5,1,L,G1,AC_109,2
144,5,1,R,G1,AC_153,1
145,5,2,L,G1,AC_200,5
145,5,2,R,G1,AC_171,2
146,5,3,L,G2,AC_128,5
146,5,3,R,G2,AC_046,2
147,5,4,L,G1,AC_058,2
147,5,4,R,G1,AC_195,5
148,5,5,L,G2,AC_208,5
148,5,5,R,G2,AC_178,5
149,5,6,L,G1,AC_192,
149,5,6,R,G2,AC_010,5
150,5,7,L,G1,AC_068,2
150,5,7,R,G2,AC_188,2
151,5,8,L,G1,AC_206,5
151,5,8,R,G2,AC_032,4
152,5,9,L,G2,AC_111,1
152,5,9,R,G1,AC_056,4
153,5,10,L,G1,AC_217,3
153,5,10,R,G1,AC_064,5
154,5,11,L,G2,AC_064,3
154,5,11,R,G1,AC_070,2
155,5,12,L,G2,AC_055,
155,5,12,R,G1,AC_142,3
156,5,13,L,G2,AC_153,2
156,5,13,R,G1,AC_051,
157,5,14,L,G2,AC_128,2
157,5,14,R,G1,AC_040,2
158,5,15,L,G1,AC_104,1
158,5,15,R,G1,AC_005,3
159,5,16,L,G1,AC_030,1
159,5,16,R,G2,AC_048,5
160,5,17,L,G1,AC_144,1
160,5,17,R,G1,AC_213,4
161,5,18,L,G1,AC_115,3
161,5,18,R,G2,AC_090,2
162,5,19,L,G2,AC_109,4
162,5,19,R,G1,AC_090,4
163,5,20,L,G2,AC_192,4
163,5,20,R,G2,AC_205,2
164,5,21,L,G1,AC_097,5
164,5,21,R,G2,AC_182,1
165,5,22,L,G1,AC_160,4
165,5,22,R,G2,AC_204,3
166,5,23,L,G1,AC_155,4
166,5,23,R,G2,AC_056,
167,5,24,L,G2,AC_192,4
167,5,24,R,G1,AC_046,4
168,5,25,L,G2,AC_181,2
168,5,25,R,G2,AC_123,1
169,5,26,L,G2,AC_215,2
169,5,26,R,G1,AC_095,4
170,5,27,L,G2,AC_142,5
170,5,27,R,G2,AC_206,1
171,5,28,L,G2,AC_120,3
171,5,28,R,G2,AC_171,4
172,5,29,L,G1,AC_185,4
172,5,29,R,G1,AC_147,1
173,5,30,L,G1,AC_130,1
173,5,30,R,G1,AC_058,1
174,5,31,L,G1,AC_159,5
174,5,31,R,G2,AC_158,3
175,5,32,L,G1,AC_011,2
175,5,32,R,G1,AC_168,
176,5,33,L,G1,AC_114,2
176,5,33,R,G1,AC_100,5
177,5,34,L,G1,AC_153,3
177,5,34,R,G2,AC_081,3
178,5,35,L,G2,AC_216,3
178,5,35,R,G2,AC_168,3
179,5,36,L,G1,AC_205,1
179,5,36,R,G1,AC_034,3
180,6,1,L,G1,AC_083,5
180,6,1,R,G2,AC_016,2
181,6,2,L,G1,AC_115,5
181,6,2,R,G2,AC_160,4
182,6,3,L,G1,AC_094,
182,6,3,R,G1,AC_120,3
183,6,4,L,G1,AC_099,1
183,6,4,R,G1,AC_131,4
184,6,5,L,G2,AC_110,3
184,6,5,R,G1,AC_054,5
185,6,6,L,G1,AC_104,2
185,6,6,R,G1,AC_171,2
186,6,7,L,G1,AC_185,3
186,6,7,R,G1,AC_089,
187,6,8,L,G1,AC_187,2
187,6,8,R,G2,AC_195,
188,6,9,L,G2,AC_136,2
188,6,9,R,G1,AC_191,
189,6,10,L,G2,AC_187,4
189,6,10,R,G1,AC_016,
190,6,11,L,G1,AC_111,5
190,6,11,R,G1,AC_095,5
191,6,12,L,G1,AC_211,
191,6,12,R,G1,AC_197,
192,6,13,L,G1,AC_172,
192,6,13,R,G1,AC_122,5
193,6,14,L,G2,AC_197,1
193,6,14,R,G2,AC_120,3
194,6,15,L,G2,AC_213,3
194,6,15,R,G1,AC_158,5
195,6,16,L,G1,AC_109,4
195,6,16,R,G2,AC_205,
196,6,17,L,G1,AC_172,3
196,6,17,R,G2,AC_143,3
197,6,18,L,G2,AC_094,
197,6,18,R,G1,AC_099,2
198,6,19,L,G2,AC_185,
198,6,19,R,G1,AC_066,5
199,6,20,L,G1,AC_172,4
199,6,20,R,G2,AC_142,4
200,6,21,L,G2,AC_171,4
200,6,21,R,G2,AC_199,5
201,6,22,L,G1,AC_074,
201,6,22,R,G1,AC_193,3
202,6,23,L,G2,AC_115,1
202,6,23,R,G1,AC_062,5
203,6,24,L,G1,AC_151,
203,6,24,R,G1,AC_189,3
204,6,25,L,G2,AC_090,1
204,6,25,R,G1,AC_055,5
205,6,26,L,G1,AC_143,
205,6,26,R,G2,AC_208,1
206,6,27,L,G2,AC_182,2
206,6,27,R,G1,AC_130,5
207,6,28,L,G2,AC_016,2
207,6,28,R,G2,AC_131,5
208,6,29,L,G2,AC_086,2
208,6,29,R,G2,AC_186,1
209,6,30,L,G2,AC_052,3
209,6,30,R,G2,AC_158,5
210,6,31,L,G2,AC_034,3
210,6,31,R,G1,AC_171,5
211,6,32,L,G1,AC_178,
211,6,32,R,G1,AC_181,
212,6,33,L,G1,AC_213,
212,6,33,R,G1,AC_182,3
213,6,34,L,G1,AC_128,1
213,6,34,R,G2,AC_147,4
214,6,35,L,G2,AC_203,
214,6,35,R,G1,AC_118,5
215,7,1,L,G1,AC_142,3
215,7,1,R,G1,AC_191,
216,7,2,L,G2,AC_072,5
216,7,2,R,G1,AC_110,5
217,7,3,L,G2,AC_191,5
217,7,3,R,G2,AC_070,1
218,7,4,L,G2,AC_187,2
218,7,4,R,G1,AC_201,5
219,7,5,L,G1,AC_070,
219,7,5,R,G1,AC_083,
220,7,6,L,G2,AC_172,2
220,7,6,R,G1,AC_095,3
221,7,7,L,G1,AC_056,3
221,7,7,R,G1,AC_055,3
222,7,8,L,G2,AC_211,1
222,7,8,R,G2,AC_199,4
223,7,9,L,G1,AC_052,3
223,7,9,R,G2,AC_204,4
224,7,10,L,G1,AC_074,4
224,7,10,R,G1,AC_179,5
225,7,11,L,G1,AC_114,
225,7,11,R,G2,AC_200,3
226,7,12,L,G1,AC_017,2
226,7,12,R,G2,AC_056,1
227,7,13,L,G2,AC_216,2
227,7,13,R,G2,AC_054,
228,7,14,L,G1,AC_048,4
228,7,14,R,G2,AC_189,1
229,7,15,L,G2,AC_088,
229,7,15,R,G2,AC_122,2
230,7,16,L,G2,AC_217,1
230,7,16,R,G2,AC_072,
231,7,17,L,G1,AC_217,
231,7,17,R,G1,AC_066,5
232,7,18,L,G1,AC_092,
232,7,18,R,G2,AC_159,
233,7,19,L,G2,AC_153,
233,7,19,R,G2,AC_155,2
234,7,20,L,G2,AC_110,5
234,7,20,R,G1,AC_212,
235,7,21,L,G1,AC_017,
235,7,21,R,G2,AC_017,3
236,7,22,L,G2,AC_051,1
236,7,22,R,G2,AC_086,5
237,7,23,L,G2,AC_104,1
237,7,23,R,G2,AC_057,2
238,7,24,L,G1,AC_218,5
238,7,24,R,G2,AC_081,1
239,7,25,L,G1,AC_114,2
239,7,25,R,G2,AC_010,
240,7,26,L,G2,AC_082,
240,7,26,R,G1,AC_092,5
241,7,27,L,G2,AC_203,
241,7,27,R,G2,AC_017,5
242,7,28,L,G1,AC_151,1
242,7,28,R,G2,AC_189,2
243,7,29,L,G2,AC_178,4
243,7,29,R,G1,AC_216,5
244,7,30,L,G2,AC_096,1
244,7,30,R,G1,AC_192,
245,7,31,L,G2,AC_114,2
245,7,31,R,G2,AC_123,3
246,7,32,L,G2,AC_083,2
246,7,32,R,G2,AC_034,2
247,7,33,L,G2,AC_216,5
247,7,33,R,G1,AC_075,4
248,7,34,L,G1,AC_107,5
248,7,34,R,G1,AC_082,1
249,7,35,L,G1,AC_097,5
249,7,35,R,G2,AC_211,1
250,7,36,L,G2,AC_052,3
250,7,36,R,G2,AC_030,5
251,8,1,L,G2,AC_193,1
251,8,1,R,G1,AC_011,5
252,8,2,L,G2,AC_038,4
252,8,2,R,G2,AC_191,1
253,8,3,L,G2,AC_148,4
253,8,3,R,G1,AC_038,2
254,8,4,L,G2,AC_144,
254,8,4,R,G2,AC_089,3
255,8,5,L,G1,AC_131,5
255,8,5,R,G2,AC_218,1
256,8,6,L,G1,AC_206,1
256,8,6,R,G1,AC_186,2
257,8,7,L,G2,AC_148,
257,8,7,R,G2,AC_057,
258,8,8,L,G1,AC_211,1
258,8,8,R,G2,AC_017,1
259,8,9,L,G2,AC_185,4
259,8,9,R,G2,AC_172,
260,8,10,L,G2,AC_100,1
260,8,10,R,G2,AC_142,2
261,8,11,L,G1,AC_204,4
261,8,11,R,G2,AC_212,
262,8,12,L,G2,AC_066,
262,8,12,R,G1,AC_072,2
263,8,13,L,G2,AC_104,
263,8,13,R,G1,AC_082,2
264,8,14,L,G1,AC_193,
264,8,14,R,G1,AC_074,5
265,8,15,L,G2,AC_160,1
265,8,15,R,G1,AC_160,1
266,8,16,L,G2,AC_133,5
266,8,16,R,G2,AC_005,2
267,8,17,L,G1,AC_206,4
267,8,17,R,G1,AC_110,3
268,8,18,L,G2,AC_200,
268,8,18,R,G2,AC_123,5
269,8,19,L,G1,AC_213,
269,8,19,R,G1,AC_062,4
270,8,20,L,G1,AC_014,2
270,8,20,R,G2,AC_058,5
271,8,21,L,G2,AC_155,4
271,8,21,R,G1,AC_115,3
272,8,22,L,G2,AC_113,5
272,8,22,R,G1,AC_189,3
273,8,23,L,G1,AC_188,
273,8,23,R,G2,AC_052,5
274,8,24,L,G2,AC_218,4
274,8,24,R,G2,AC_104,5
275,8,25,L,G2,AC_208,4
275,8,25,R,G2,AC_097,5
276,8,26,L,G2,AC_158,1
276,8,26,R,G1,AC_143,
277,8,27,L,G2,AC_096,5
277,8,27,R,G1,AC_083,4
278,8,28,L,G2,AC_133,3
278,8,28,R,G1,AC_142,1
279,8,29,L,G2,AC_130,1
279,8,29,R,G1,AC_092,5
280,8,30,L,G1,AC_152,
280,8,30,R,G1,AC_014,2
281,8,31,L,G1,AC_151,1
281,8,31,R,G1,AC_195,
282,8,32,L,G2,AC_120,2
282,8,32,R,G2,AC_014,2
283,8,33,L,G1,AC_015,1
283,8,33,R,G2,AC_151,2
284,8,34,L,G2,AC_119,3
284,8,34,R,G2,AC_088,4
285,8,35,L,G1,AC_064,4
285,8,35,R,G1,AC_182,5
286,8,36,L,G1,AC_111,
286,8,36,R,G1,AC_200,2
287,9,1,L,G2,AC_182,4
287,9,1,R,G2,AC_099,
288,9,2,L,G2,AC_090,2
288,9,2,R,G1,AC_218,3
289,9,3,L,G1,AC_217,4
289,9,3,R,G2,AC_097,1
290,9,4,L,G1,AC_158,1
290,9,4,R,G1,AC_100,3
291,9,5,L,G1,AC_118,1
291,9,5,R,G1,AC_097,5
292,9,6,L,G1,AC_201,3
292,9,6,R,G1,AC_066,1
293,9,7,L,G1,AC_040,3
293,9,7,R,G1,AC_208,5
294,9,8,L,G2,AC_032,
294,9,8,R,G2,AC_168,1
295,9,9,L,G2,AC_100,
295,9,9,R,G1,AC_110,1
296,9,10,L,G1,AC_015,4
296,9,10,R,G1,AC_155,2
297,9,11,L,G2,AC_015,1
297,9,11,R,G2,AC_154,5
298,9,12,L,G2,AC_115,1
298,9,12,R,G2,AC_092,2
299,9,13,L,G2,AC_122,4
299,9,13,R,G2,AC_048,4
300,9,14,L,G2,AC_074,5
300,9,14,R,G2,AC_211,1
301,9,15,L,G2,AC_218,1
301,9,15,R,G1,AC_143,
302,9,16,L,G2,AC_082,1
302,9,16,R,G1,AC_152,
303,9,17,L,G2,AC_153,1
303,9,17,R,G2,AC_030,
304,9,18,L,G1,AC_192,
304,9,18,R,G2,AC_051,5
305,9,19,L,G1,AC_090,3
305,9,19,R,G2,AC_095,
306,9,20,L,G1,AC_199,2
306,9,20,R,G2,AC_201,
307,9,21,L,G1,AC_034,2
307,9,21,R,G2,AC_070,5
308,9,22,L,G2,AC_062,
308,9,22,R,G2,AC_217,4
309,9,23,L,G1,AC_081,4
309,9,23,R,G2,AC_122,
310,9,24,L,G2,AC_143,
310,9,24,R,G1,AC_096,
311,9,25,L,G1,AC_155,5
311,9,25,R,G1,AC_010,
312,9,26,L,G2,AC_092,2
312,9,26,R,G2,AC_186,1
313,9,27,L,G1,AC_015,3
313,9,27,R,G2,AC_193,
314,9,28,L,G2,AC_075,5
314,9,28,R,G1,AC_193,3
315,9,29,L,G1,AC_128,2
315,9,29,R,G2,AC_179,1
316,9,30,L,G2,AC_097,5
316,9,30,R,G2,AC_136,
317,9,31,L,G1,AC_136,4
317,9,31,R,G2,AC_014,1
318,9,32,L,G2,AC_188,5
318,9,32,R,G1,AC_133,5
319,9,33,L,G1,AC_081,5
319,9,33,R,G2,AC_201,1
320,9,34,L,Random seeds,AC_ NA,
320,9,34,R,G1,AC_113,1
