Location,Sequence,SegPos,Gen,Donor,Recipient,Fit_plant,latitude,longitude
55,164,164L,G2,BB_051,BB_143,4,38.3144,-123.06969
55,164,164R,G1,BB_075,BB_079,3,38.3144,-123.06969
55,165,165L,G1,BB_005,BB_166,,38.3144,-123.06969
55,165,165R,G1,BB_073,BB_092,2,38.3144,-123.06969
56,166,166L,G1,BB_001,BB_074,3,38.31441,-123.06973
56,166,166R,G1,BB_182,BB_103,,38.31441,-123.06973
56,167,167L,G2,BB_047,BB_131,1,38.31441,-123.06973
56,167,167R,G1,BB_176,BB_059,3,38.31441,-123.06973
56,168,168L,G1,BB_028,BB_109,3,38.31441,-123.06973
56,168,168R,G1,BB_144,BB_030,1,38.31441,-123.06973
57,169,169L,G2,BB_182,BB_103,1,38.31439,-123.06978
57,169,169R,G2,BB_177,BB_117,1,38.31439,-123.06978
57,170,170L,G1,BB_177,BB_117,3,38.31439,-123.06978
57,170,170R,G2,BB_169,BB_076,5,38.31439,-123.06978
57,171,171L,G1,BB_051,BB_118,3,38.31439,-123.06978
57,171,171R,G1,BB_144,BB_030,4,38.31439,-123.06978
58,172,172L,G1,BB_197,BB_211,4,38.31446,-123.06974
58,172,172R,G1,BB_011,BB_056,1,38.31446,-123.06974
58,173,173L,G1,BB_142,BB_093,2,38.31446,-123.06974
58,173,173R,G2,BB_055,BB_145,4,38.31446,-123.06974
58,174,174L,G2,BB_198,BB_045,4,38.31446,-123.06974
58,174,174R,G1,BB_122,BB_027,4,38.31446,-123.06974
59,175,175L,G2,BB_005,BB_166,4,38.31446,-123.06979
59,175,175R,G1,BB_065,BB_013,1,38.31446,-123.06979
59,176,176L,G1,BB_066,BB_019,1,38.31446,-123.06979
59,176,176R,G1,BB_091,BB_098,,38.31446,-123.06979
59,177,177L,G2,BB_196,BB_089,2,38.31446,-123.06979
59,177,177R,G1,BB_197,BB_199,4,38.31446,-123.06979
60,178,178L,G1,BB_001,BB_072,5,38.31443,-123.06982000000001
60,178,178R,G1,BB_173,BB_170,4,38.31443,-123.06982000000001
60,179,179L,G2,BB_026,BB_053,,38.31443,-123.06982000000001
60,179,179R,G2,BB_066,BB_019,5,38.31443,-123.06982000000001
60,180,180L,G1,BB_047,BB_071,,38.31443,-123.06982000000001
60,180,180R,G1,BB_175,BB_172,5,38.31443,-123.06982000000001
61,181,181L,G2,BB_142,BB_150,2,38.31451,-123.06982000000001
61,181,181R,G1,BB_215,BB_210,4,38.31451,-123.06982000000001
61,182,182L,G1,BB_141,BB_029,,38.31451,-123.06982000000001
61,182,182R,G1,BB_015,BB_218,1,38.31451,-123.06982000000001
61,183,183L,G1,BB_065,BB_133,2,38.31451,-123.06982000000001
61,183,183R,G1,BB_028,BB_083,,38.31451,-123.06982000000001
62,184,184L,G2,BB_066,BB_052,4,38.31448,-123.06985
62,184,184R,G1,BB_099,BB_161,1,38.31448,-123.06985
62,185,185L,G1,BB_015,BB_111,1,38.31448,-123.06985
62,185,185R,G1,BB_168,BB_058,3,38.31448,-123.06985
62,186,186L,G2,BB_176,BB_017,3,38.31448,-123.06985
62,186,186R,G1,BB_142,BB_093,3,38.31448,-123.06985
63,187,187L,G2,BB_107,BB_123,2,38.31446,-123.06985
63,187,187R,G1,BB_047,BB_131,3,38.31446,-123.06985
63,188,188L,G1,BB_167,BB_110,,38.31446,-123.06985
63,188,188R,G1,BB_122,BB_208,2,38.31446,-123.06985
63,189,189L,G1,BB_005,BB_034,4,38.31446,-123.06985
63,189,189R,G1,BB_215,BB_210,2,38.31446,-123.06985
64,190,190L,G1,BB_202,BB_025,3,38.31446,-123.06989
64,190,190R,G1,BB_066,BB_052,5,38.31446,-123.06989
64,191,191L,G1,BB_173,BB_095,1,38.31446,-123.06989
64,191,191R,G1,BB_142,BB_086,4,38.31446,-123.06989
64,192,192L,G1,BB_100,BB_113,5,38.31446,-123.06989
64,192,192R,G1,BB_217,BB_016,5,38.31446,-123.06989
65,193,193L,G1,BB_073,BB_084,3,38.31443,-123.06989
65,193,193R,G1,BB_198,BB_138,,38.31443,-123.06989
65,194,194L,G1,BB_115,BB_077,2,38.31443,-123.06989
65,194,194R,G2,BB_065,BB_133,,38.31443,-123.06989
65,195,195L,G2,BB_188,BB_009,,38.31443,-123.06989
65,195,195R,G1,BB_169,BB_160,5,38.31443,-123.06989
66,196,196L,G1,BB_014,BB_185,1,38.31441,-123.06989
66,196,196R,G2,BB_202,BB_101,,38.31441,-123.06989
66,197,197L,G2,BB_142,BB_093,3,38.31441,-123.06989
66,197,197R,G1,BB_168,BB_081,1,38.31441,-123.06989
66,198,198L,G1,BB_171,BB_157,5,38.31441,-123.06989
66,198,198R,G2,BB_217,BB_205A,5,38.31441,-123.06989
67,199,199L,G2,BB_169,BB_160,1,38.31436,-123.06985
67,199,199R,G1,BB_047,BB_193,1,38.31436,-123.06985
67,200,200L,G1,BB_175,BB_050,4,38.31436,-123.06985
67,200,200R,G1,BB_182,BB_201,2,38.31436,-123.06985
67,201,201L,G1,BB_099,BB_032,3,38.31436,-123.06985
67,201,201R,G1,BB_142,BB_150,5,38.31436,-123.06985
68,202,202L,G1,BB_108,BB_189,3,38.31437,-123.06992
68,202,202R,G1,BB_130,BB_007,,38.31437,-123.06992
68,203,203L,G1,BB_176,BB_017,,38.31437,-123.06992
68,203,203R,G2,BB_047,BB_193,,38.31437,-123.06992
68,204,204L,G1,BB_125,BB_024,2,38.31437,-123.06992
68,204,204R,G1,BB_162,BB_040,1,38.31437,-123.06992
69,205,205L,G2,BB_047,BB_131,1,38.31436,-123.06992
69,205,205R,G1,BB_168,BB_081,2,38.31436,-123.06992
69,206,206L,G1,BB_197,BB_211,4,38.31436,-123.06992
69,206,206R,G1,BB_075,BB_079,5,38.31436,-123.06992
69,207,207L,G1,BB_217,BB_054,2,38.31436,-123.06992
69,207,207R,G1,BB_130,BB_120,1,38.31436,-123.06992
70,208,208R,G2,BB_023,BB_190,,38.31433,-123.06995
70,209,209L,G1,BB_168,BB_046,2,38.31433,-123.06995
70,209,209R,G1,BB_015,BB_063,5,38.31433,-123.06995
70,210,210L,G1,BB_188,BB_205B,,38.31433,-123.06995
70,210,210R,G1,BB_167,BB_114,,38.31433,-123.06995
71,211,211L,G1,BB_174,BB_002,4,38.31431,-123.06992
71,211,211R,G1,BB_188,BB_171,,38.31431,-123.06992
71,212,212L,G1,BB_091,BB_098,3,38.31431,-123.06992
71,212,212R,G2,BB_011,BB_215,1,38.31431,-123.06992
71,213,213L,G1,BB_108,BB_097,5,38.31431,-123.06992
71,213,213R,G2,BB_196,BB_089,5,38.31431,-123.06992
72,214,214L,G1,BB_176,BB_059,,38.3143,-123.06992
72,214,214R,G1,BB_100,BB_031,,38.3143,-123.06992
72,215,215L,G2,BB_091,BB_139,2,38.3143,-123.06992
72,215,215R,G1,BB_047,BB_193,,38.3143,-123.06992
72,216,216L,G1,BB_168,BB_058,,38.3143,-123.06992
72,216,216R,G2,BB_100,BB_135,,38.3143,-123.06992
73,217,217L,G1,BB_177,BB_134,4,38.31429,-123.06987
73,217,217R,G1,BB_055,BB_183,1,38.31429,-123.06987
73,218,218L,G1,BB_075,BB_085,5,38.31429,-123.06987
73,218,218R,G2,BB_005,BB_166,,38.31429,-123.06987
73,219,219L,G2,BB_168,BB_058,,38.31429,-123.06987
73,219,219R,G1,BB_014,BB_102,,38.31429,-123.06987
74,220,220L,G2,BB_215,BB_004,2,38.31428,-123.06982000000001
74,220,220R,G2,BB_141,BB_037,,38.31428,-123.06982000000001
74,221,221L,G2,BB_057,BB_146,,38.31428,-123.06982000000001
74,221,221R,G2,BB_057,BB_121,4,38.31428,-123.06982000000001
74,222,222L,G1,BB_100,BB_135,4,38.31428,-123.06982000000001
74,222,222R,G1,BB_075,BB_164,4,38.31428,-123.06982000000001
75,223,223L,G2,BB_168,BB_058,,38.31424,-123.06983
75,223,223R,G1,BB_026,BB_070,2,38.31424,-123.06983
75,224,224L,G1,BB_125,BB_051,,38.31424,-123.06983
75,224,224R,G1,BB_026,BB_070,4,38.31424,-123.06983
75,225,225L,G1,BB_099,BB_161,,38.31424,-123.06983
75,225,225R,G2,BB_011,BB_056,,38.31424,-123.06983
76,226,226L,G2,BB_141,BB_029,2,38.31422,-123.0698
76,226,226R,G1,BB_047,BB_131,,38.31422,-123.0698
76,227,227L,G2,BB_107,BB_179,4,38.31422,-123.0698
76,227,227R,G1,BB_026,BB_153,,38.31422,-123.0698
76,228,228L,G1,BB_028,BB_209,,38.31422,-123.0698
76,228,228R,G1,BB_171,BB_127,,38.31422,-123.0698
77,229,229L,G2,BB_142,BB_150,,38.31425,-123.06976
77,229,229R,G1,BB_011,BB_116,2,38.31425,-123.06976
77,230,230L,G1,BB_168,BB_058,,38.31425,-123.06976
77,230,230R,G1,BB_011,BB_116,,38.31425,-123.06976
77,231,231L,G2,BB_213,BB_147,,38.31425,-123.06976
77,231,231R,G2,BB_047,BB_193,,38.31425,-123.06976
78,232,232L,G1,BB_023,BB_078,3,38.31422,-123.06963
78,232,232R,G2,BB_028,BB_109,,38.31422,-123.06963
78,233,233L,G2,BB_057,BB_146,,38.31422,-123.06963
78,233,233R,G1,BB_100,BB_135,5,38.31422,-123.06963
78,234,234L,G1,BB_066,BB_087,,38.31422,-123.06963
78,234,234R,G2,BB_202,BB_101,3,38.31422,-123.06963
79,235,235L,G1,BB_115,BB_077,1,38.31424,-123.06959
79,235,235R,G1,BB_047,BB_131,2,38.31424,-123.06959
79,236,236L,G1,BB_198,BB_045,3,38.31424,-123.06959
79,236,236R,G1,BB_144,BB_158,5,38.31424,-123.06959
79,237,237L,G1,BB_173,BB_095,4,38.31424,-123.06959
79,237,237R,G1,BB_196,BB_186,1,38.31424,-123.06959
80,238,238L,G2,BB_194,BB_214,,38.31424,-123.0656
80,238,238R,G2,BB_107,BB_123,4,38.31424,-123.0656
80,239,239L,G1,BB_141,BB_003,5,38.31424,-123.0656
80,239,239R,G1,BB_213,BB_204,1,38.31424,-123.0656
80,240,240L,G2,BB_073,BB_092,,38.31424,-123.0656
80,240,240R,G2,BB_107,BB_151,3,38.31424,-123.0656
81,241,241L,G2,BB_075,BB_079,,38.31419,-123.06956
81,241,241R,G1,BB_173,BB_170,5,38.31419,-123.06956
81,242,242L,G1,BB_047,BB_193,,38.31419,-123.06956
81,242,242R,G1,BB_047,BB_071,,38.31419,-123.06956
81,243,243L,G1,BB_176,BB_049,2,38.31419,-123.06956
81,243,243R,G2,BB_026,BB_053,3,38.31419,-123.06956
82,244,244L,G1,BB_173,BB_170,2,38.31419,-123.06951
82,244,244R,G1,BB_197,BB_060,3,38.31419,-123.06951
82,245,245L,G1,BB_162,BB_040,4,38.31419,-123.06951
82,245,245R,G1,BB_026,BB_053,2,38.31419,-123.06951
82,246,246L,G2,BB_011,BB_215,5,38.31419,-123.06951
82,246,246R,G2,BB_182,BB_103,,38.31419,-123.06951
83,247,247L,G1,BB_011,BB_056,3,38.31412,-123.06958
83,247,247R,G1,BB_175,BB_104,5,38.31412,-123.06958
83,248,248L,G1,BB_015,BB_218,,38.31412,-123.06958
83,248,248R,G2,BB_174,BB_002,4,38.31412,-123.06958
83,249,249L,G1,BB_100,BB_031,3,38.31412,-123.06958
83,249,249R,G2,BB_196,BB_089,5,38.31412,-123.06958
84,250,250L,G1,BB_177,BB_140,,38.3141,-123.0696
84,250,250R,G1,BB_217,BB_205A,2,38.3141,-123.0696
84,251,251L,G2,BB_175,BB_104,4,38.3141,-123.0696
84,251,251R,G1,BB_107,BB_179,5,38.3141,-123.0696
84,252,252L,G1,BB_182,BB_103,1,38.3141,-123.0696
84,252,252R,G1,BB_108,BB_069,,38.3141,-123.0696
85,253,253L,G1,BB_038,BB_042,,38.31403,-123.06953
85,253,253R,G1,BB_188,BB_009,1,38.31403,-123.06953
85,254,254L,G2,BB_023,BB_206,,38.31403,-123.06953
85,254,254R,G1,BB_001,BB_072,,38.31403,-123.06953
85,255,255L,G1,BB_091,BB_139,,38.31403,-123.06953
85,255,255R,G2,BB_175,BB_172,,38.31403,-123.06953
86,256,256L,G1,BB_015,BB_111,2,38.31403,-123.06956
86,256,256R,G2,BB_176,BB_059,4,38.31403,-123.06956
86,257,257L,G1,BB_122,BB_027,,38.31403,-123.06956
86,257,257R,G1,BB_142,BB_150,3,38.31403,-123.06956
86,258,258L,G1,BB_028,BB_083,1,38.31403,-123.06956
86,258,258R,G1,BB_026,BB_070,,38.31403,-123.06956
87,259,259L,G2,BB_075,BB_164,5,38.31396,-123.06951
87,259,259R,G1,BB_198,BB_138,,38.31396,-123.06951
87,260,260L,G1,BB_194,BB_214,1,38.31396,-123.06951
87,260,260R,G1,BB_065,BB_133,3,38.31396,-123.06951
87,261,261L,G2,BB_217,BB_054,3,38.31396,-123.06951
87,261,261R,G1,BB_107,BB_123,,38.31396,-123.06951
88,262,262L,G2,BB_194,BB_214,,38.31395,-123.06953
88,262,262R,G1,BB_213,BB_132,,38.31395,-123.06953
88,263,263L,G1,BB_217,BB_016,5,38.31395,-123.06953
88,263,263R,G1,BB_014,BB_102,,38.31395,-123.06953
88,264,264L,G1,BB_169,BB_076,,38.31395,-123.06953
88,264,264R,G1,BB_171,BB_127,,38.31395,-123.06953
89,265,265L,G2,BB_176,BB_059,,38.31392,-123.06953
89,265,265R,G1,BB_174,BB_068,,38.31392,-123.06953
89,266,266L,G2,BB_065,BB_013,,38.31392,-123.06953
89,266,266R,G2,BB_038,BB_149,3,38.31392,-123.06953
89,267,267L,G2,BB_011,BB_215,,38.31392,-123.06953
89,267,267R,G1,BB_125,BB_137,,38.31392,-123.06953
90,268,268L,G2,BB_125,BB_024,4,38.3139,-123.06945
90,268,268R,G1,BB_091,BB_139,4,38.3139,-123.06945
90,269,269L,G2,BB_065,BB_133,5,38.3139,-123.06945
90,269,269R,G1,BB_038,BB_042,4,38.3139,-123.06945
90,270,270L,G2,BB_217,BB_205A,3,38.3139,-123.06945
90,270,270R,G1,BB_051,BB_143,,38.3139,-123.06945
91,271,271L,G2,BB_065,BB_013,4,38.31388,-123.06945
91,271,271R,G1,BB_182,BB_021,2,38.31388,-123.06945
91,272,272L,G1,BB_038,BB_149,5,38.31388,-123.06945
91,272,272R,G1,BB_171,BB_039,2,38.31388,-123.06945
91,273,273L,G1,BB_028,BB_209,2,38.31388,-123.06945
91,273,273R,G1,BB_213,BB_204,5,38.31388,-123.06945
92,274,274L,G1,BB_141,BB_003,1,38.31383,-123.06949
92,274,274R,G2,BB_026,BB_070,4,38.31383,-123.06949
92,275,275L,G1,BB_177,BB_134,1,38.31383,-123.06949
92,275,275R,G1,BB_144,BB_158,,38.31383,-123.06949
92,276,276L,G1,BB_162,BB_080,1,38.31383,-123.06949
92,276,276R,G1,BB_099,BB_061,4,38.31383,-123.06949
93,277,277L,G1,BB_038,BB_216,2,38.31384,-123.06947
93,277,277R,G2,BB_107,BB_179,1,38.31384,-123.06947
93,278,278L,G2,BB_198,BB_045,2,38.31384,-123.06947
93,278,278R,G1,BB_197,BB_060,1,38.31384,-123.06947
93,279,279L,G1,BB_167,BB_110,4,38.31384,-123.06947
93,279,279R,G1,BB_194,BB_214,4,38.31384,-123.06947
94,280,280L,G2,BB_176,BB_017,,38.31378,-123.06947
94,280,280R,G2,BB_130,BB_120,,38.31378,-123.06947
94,281,281L,G1,BB_202,BB_018,3,38.31378,-123.06947
94,281,281R,G1,BB_130,BB_048,5,38.31378,-123.06947
94,282,282L,G2,BB_130,BB_048,,38.31378,-123.06947
94,282,282R,G2,BB_197,BB_060,,38.31378,-123.06947
95,283,283L,G1,BB_175,BB_050,2,38.31374,-123.06946
95,283,283R,G1,BB_015,BB_111,,38.31374,-123.06946
95,284,284L,G1,BB_026,BB_053,1,38.31374,-123.06946
95,284,284R,G1,BB_099,BB_161,,38.31374,-123.06946
95,285,285L,G1,BB_115,BB_187,,38.31374,-123.06946
95,285,285R,G1,BB_169,BB_181,5,38.31374,-123.06946
96,286,286L,G1,BB_023,BB_190,,38.31371,-123.06944
96,286,286R,G1,BB_023,BB_190,,38.31371,-123.06944
96,287,287L,G1,BB_194,BB_163,2,38.31371,-123.06944
96,287,287R,G1,BB_108,BB_097,4,38.31371,-123.06944
96,288,288L,G1,BB_055,BB_145,1,38.31371,-123.06944
96,288,288R,G2,BB_213,BB_147,3,38.31371,-123.06944
97,289,289L,G1,BB_057,BB_146,1,38.31367,-123.0694
97,289,289R,G1,BB_122,BB_208,5,38.31367,-123.0694
97,290,290L,G2,BB_107,BB_179,3,38.31367,-123.0694
97,290,290R,G1,BB_075,BB_164,1,38.31367,-123.0694
97,291,291L,G1,BB_141,BB_037,1,38.31367,-123.0694
97,291,291R,G2,BB_066,BB_052,4,38.31367,-123.0694
98,292,292L,G1,BB_051,BB_105,,38.31363,-123.06937
98,292,292R,G1,BB_188,BB_205B,5,38.31363,-123.06937
98,293,293L,G1,BB_091,BB_094,2,38.31363,-123.06937
98,293,293R,G1,BB_215,BB_148,5,38.31363,-123.06937
98,294,294L,G1,BB_108,BB_069,,38.31363,-123.06937
98,294,294R,G1,BB_066,BB_087,,38.31363,-123.06937
99,295,295L,G2,BB_197,BB_060,5,38.31359,-123.06928
99,295,295R,G2,BB_198,BB_138,5,38.31359,-123.06928
99,296,296L,G1,BB_011,BB_056,,38.31359,-123.06928
99,296,296R,G1,BB_073,BB_092,,38.31359,-123.06928
99,297,297L,G1,BB_198,BB_035,,38.31359,-123.06928
99,297,297R,G1,BB_144,BB_207,1,38.31359,-123.06928
100,298,298L,G1,BB_168,BB_081,4,38.31353,-123.06927
100,298,298R,G2,BB_066,BB_087,4,38.31353,-123.06927
100,299,299L,G2,BB_196,BB_088,,38.31353,-123.06927
100,299,299R,G1,BB_051,BB_143,5,38.31353,-123.06927
100,300,300L,G1,BB_176,BB_049,1,38.31353,-123.06927
100,300,300R,G1,BB_057,BB_121,1,38.31353,-123.06927
101,301,301L,G2,BB_174,BB_002,4,38.31353,-123.06926
101,301,301R,G1,BB_213,BB_132,1,38.31353,-123.06926
101,302,302L,G1,BB_075,BB_085,4,38.31353,-123.06926
101,302,302R,G2,BB_005,BB_166,1,38.31353,-123.06926
101,303,303L,G2,BB_142,BB_150,3,38.31353,-123.06926
101,303,303R,G1,BB_130,BB_007,3,38.31353,-123.06926
102,304,304L,G1,BB_011,BB_215,5,38.31343,-123.06924
102,304,304R,G1,BB_099,BB_061,3,38.31343,-123.06924
102,305,305L,G2,BB_091,BB_098,3,38.31343,-123.06924
102,305,305R,G1,BB_028,BB_083,,38.31343,-123.06924
102,306,306L,G1,BB_115,BB_187,,38.31343,-123.06924
102,306,306R,G2,BB_167,BB_114,1,38.31343,-123.06924
103,307,307L,G1,BB_100,BB_113,4,38.31345,-123.06918
103,307,307R,G1,BB_108,BB_069,,38.31345,-123.06918
103,308,308L,G1,BB_196,BB_186,3,38.31345,-123.06918
103,308,308R,G2,BB_028,BB_209,4,38.31345,-123.06918
103,309,309L,G2,BB_115,BB_020,2,38.31345,-123.06918
103,309,309R,G2,BB_038,BB_149,5,38.31345,-123.06918
104,310,310L,G1,BB_057,BB_200,2,38.31341,-123.06912
104,310,310R,G1,BB_167,BB_008,,38.31341,-123.06912
104,311,311L,G1,BB_215,BB_148,1,38.31341,-123.06912
104,311,311R,G1,BB_005,BB_195,,38.31341,-123.06912
104,312,312L,G1,BB_213,BB_204,5,38.31341,-123.06912
104,312,312R,G2,BB_162,BB_080,3,38.31341,-123.06912
105,313,313L,G1,BB_174,BB_068,2,38.31337,-123.06906
105,313,313R,G2,BB_198,BB_045,2,38.31337,-123.06906
105,314,314L,G1,BB_028,BB_109,5,38.31337,-123.06906
105,314,314R,G1,BB_202,BB_101,,38.31337,-123.06906
105,315,315L,G1,BB_107,BB_123,3,38.31337,-123.06906
105,315,315R,G2,BB_107,BB_151,,38.31337,-123.06906
106,316,316L,G1,BB_122,BB_126,2,38.3134,-123.06904
106,316,316R,G1,BB_038,BB_042,4,38.3134,-123.06904
106,317,317L,G2,BB_202,BB_018,3,38.3134,-123.06904
106,317,317R,G1,BB_023,BB_206,4,38.3134,-123.06904
106,318,318L,G1,BB_001,BB_043,,38.3134,-123.06904
106,318,318R,G1,BB_051,BB_118,,38.3134,-123.06904
107,319,319L,G1,BB_051,BB_105,1,38.31355,-123.06918
107,319,319R,G1,BB_015,BB_218,1,38.31355,-123.06918
107,320,320L,G1,BB_169,BB_160,4,38.31355,-123.06918
107,320,320R,G2,BB_015,BB_111,3,38.31355,-123.06918
107,321,321L,G1,BB_038,BB_216,2,38.31355,-123.06918
107,321,321R,G1,BB_125,BB_024,3,38.31355,-123.06918
108,322,322L,G1,BB_144,BB_030,3,38.31358,-123.06918
