Transect,Segment,side,Gen (G1 = â€”; G2 = X),Recipient,Plant_ID,Fitness (y/n),Skeleton Weights (mg),Notes (complete or incomplete),Chosen for Pulverization? >1.09mg (y/n) 
1,1,L,G2,HR_027,4,y,13.27,c,y
1,1,R,G1,HR_010,4,n,,i,y
1,2,L,G1,HR_051,5,y,58.64,c,y
1,2,R,G2,HR_044,2,y,9.65,c,y
1,3,L,G2,HR_178,4,y,25.51,c,y
1,3,R,G2,HR_108,1,y,10.76,c,y
1,4,L,G1,HR_036,4,y,,i,y
1,4,R,G2,HR_121,3,y,6.19,c,y
1,5,L,G1,HR_162,2,y,,i,n
1,5,R,G1,HR_134,4,y,17.82,c,y
1,6,L,G2,HR_041,1,y,4.33,i,y
1,6,R,G2,HR_124,3,y,34.95,c,y
1,7,L,G1,HR_162,2,n,,i,n
1,7,R,G1,HR_179,3,y,6.13,c,y
1,8,L,G1,HR_196,3,y,6.5,c,y
1,8,R,G1,HR_005,1,y,7.9,c,y
1,9,L,G1,HR_095,4,y,11.57,c,y
1,9,R,G2,HR_196,1,y,,i,y
1,10,L,G1,HR_019,5,y,18.09,c,y
1,10,R,G2,HR_111,4,y,11.13,c,y
1,11,L,G1,HR_047,4,n,3.87,c,y
1,11,R,G1,HR_095,1,y,2.87,c,y
1,12,L,G1,HR_111,4,y,1.5,c,y
1,12,R,G1,HR_042,2,y,13,c,y
1,13,L,G2,HR_086,4,y,5.33,i,y
1,13,R,G2,HR_111,1,y,21.91,c,y
1,14,L,G2,HR_174,1,y,3.73,c,y
,14,R,G1,HR_105,1,y,4.96,c,y
1,15,L,G2,HR_044,3,y,7.09,c,y
1,15,R,G2,HR_107,5,n,3.77,c,y
1,16,L,G1,HR_104,1,y,2.52,i,y
1,16,R,G2,HR_012,4,y,2.79,i,y
1,17,L,G2,HR_156,3,y,29.5,c,y
1,17,R,G2,HR_050,2,y,1.67,c,y
1,18,L,G1,HR_071,5,y,5.07,c,y
1,18,R,G1,HR_137,4,y,12.51,c,y
1,19,L,G2,HR_110,5,y,2.91,c,y
1,19,R,G1,HR_087,1,y,,i,y
1,20,L,G1,HR_047,1,y,3.21,c,y
1,20,R,G2,HR_070,3,y,2.93,c,y
1,21,L,G1,HR_177,2,y,0.84,i,n
1,21,R,G2,HR_061,3,y,2.94,c,y
1,22,L,G1,HR_047,3,y,6.02,i,y
1,22,R,G1,HR_058,4,y,1.79,c,y
1,23,L,G2,HR_169,5,y,7.41,c,y
1,23,R,G2,HR_032,5,y,6.86,c,y
1,24,R,G2,HR_121,2,n,1.61,c,y
1,25,L,G2,HR_118,5,y,28.65,c,y
1,25,R,G2,HR_020,5,y,3.38,c,y
1,26,L,G1,HR_135,4,y,5.58,c,y
1,26,R,G2,HR_062,2,y,,i,y
1,27,L,G1,HR_111,5,y,2.08,c,y
1,27,R,G1,HR_070,2,y,22.4,c,y
1,28,L,G1,HR_183,3,y,,i,n
1,28,R,G2,HR_028,4,y,,i,y
1,29,L,G1,HR_136,1,y,5.77,c,y
1,29,R,G1,HR_131,1,y,2.88,i,y
1,30,L,G1,HR_119,3,y,5.54,c,y
1,30,R,G2,HR_072,1,y,5.89,c,y
1,31,L,G2,HR_044,4,y,,i,n
1,31,R,G2,HR_166,1,y,4.49,c,y
1,32,L,G1,HR_158,1,y,3.81,c,y
1,32,R,G1,HR_111,5,y,10.06,c,y
1,33,L,G2,HR_179,3,n,7.61,c,y
1,33,R,G1,HR_178,1,y,4.05,c,y
1,34,L,G2,HR_137,4,y,12.64,c,y
1,34,R,G1,HR_068,5,y,,i,y
1,35,L,G2,HR_005,5,y,1.64,c,y
1,35,R,G2,HR_127,3,y,11.8,c,y
1,36,L,G2,HR_038,5,y,4.22,c,y
1,36,R,G2,HR_005,3,y,2.98,c,y
1,37,L,G2,HR_109,4,y,0.73,c,n
1,37,R,G1,HR_147,4,n,,i,y
1,38,L,G1,HR_197,3,y,1.54,c,y
1,38,R,G2,HR_168,1,y,9.87,c,y
1,39,L,G1,HR_156,2,y,21.88,c,y
1,39,R,G1,HR_158,5,y,2.3,c,y
1,40,L,G1,HR_065,3,y,,i,y
1,40,R,G1,HR_115,3,y,,i,y
1,41,R,G1,HR_033,2,y,,i,y
1,42,L,G2,HR_184,4,y,43.71,c,y
1,42,R,G1,HR_135,4,y,14.57,c,y
1,43,L,G1,HR_178,4,y,4.11,c,y
1,43,R,G1,HR_116,4,y,1.54,c,y
1,44,L,G2,HR_101,3,y,5.65,c,y
1,44,R,G1,HR_018,5,y,3.03,i,y
1,45,L,G2,HR_037,3,n,,i,y
1,45,R,G1,HR_071,4,y,,i,y
2,1,L,G1,HR_059,3,y,84.6,c,y
2,1,R,G2,HR_139,5,y,63.67,c,y
2,2,L,G1,HR_114,5,y,10.85,c,y
2,2,R,G2,HR_053,3,y,6.81,c,y
2,3,L,G2,HR_146,1,y,83.7,c,y
2,3,R,G1,HR_182,1,y,26.38,c,y
2,4,L,G1,HR_156,2,y,15.2,c,y
2,4,R,G2,HR_026,3,y,22.61,c,y
2,5,L,G2,HR_152,2,y,14.18,c,y
2,5,R,G1,HR_009,3,y,7.4,i,y
2,6,L,G2,HR_058,5,y,15.05,c,y
2,6,R,G2,HR_036,4,y,16.88,c,y
2,7,L,G1,HR_145,1,y,9.57,c,y
2,7,R,G2,HR_126,4,y,8.74,c,y
2,8,L,G2,HR_049,2,y,9.01,c,y
2,8,R,G1,HR_155,3,y,11.75,c,y
2,9,L,G1,HR_169,4,y,16.37,c,y
2,9,R,G2,HR_179,3,y,4.02,c,y
2,10,L,G1,HR_007,3,,,,
2,10,R,G1,HR_153,2,y,11.49,c,y
,11,L,G2,HR_007,2,n,6.8,c,y
2,11,L,G2,HR_007,5,y,4.5,c,y
2,11,R,G1,HR_036,2,y,11.6,c,y
2,12,L,G1,HR_001,1,n,,i,y
2,12,R,G1,HR_168,1,y,3.4,c,y
2,13,L,G2,HR_034,1,y,2.87,c,y
2,13,R,G2,HR_088,3,y,5.21,c,y
2,14,L,G1,HR_108,5,y,,i,n
2,14,R,G1,HR_035,4,y,7.84,c,y
2,15,L,G1,HR_105,2,y,13.47,c,y
2,15,R,G2,HR_104,2,y,3.24,c,y
2,16,L,G1,HR_026,1,y,1.89,c,y
2,16,R,G2,HR_019,3,y,9.56,c,y
2,17,L,G2,HR_028,2,y,2.05,c,y
2,17,R,G2,HR_168,4,y,6.14,c,y
2,18,L,G1,HR_103,5,y,2.12,c,y
2,18,R,G2,HR_068,4,y,,i,n
2,19,L,G1,HR_021,3,y,19.86,c,y
2,19,R,G1,HR_195,4,y,1.45,c,y
2,20,L,G1,HR_175,4,y,0.55,c,n
2,20,R,G2,HR_067,3,y,5.41,c,y
2,21,L,G2,HR_145,2,y,4.23,c,y
2,21,R,G2,HR_040,3,y,2.83,c,y
2,22,L,G2,HR_068,4,y,8.16,c,y
2,22,R,G1,HR_153,5,y,5.02,c,y
2,23,L,G1,HR_044,5,y,8.89,c,y
2,23,R,G2,HR_149,1,y,3.83,c,y
2,24,L,G1,HR_010,3,y,21.31,c,y
2,24,R,G2,HR_015,4,n,7.13,i,y
2,25,L,G2,HR_065,4,y,10.34,c,y
2,25,R,G1,HR_174,5,y,78.68,c,y
2,26,L,G1,HR_065,2,y,,i,y
2,26,R,G1,HR_175,1,y,6.29,c,y
2,27,L,G2,HR_036,4,y,1.16,i,y
2,27,R,G1,HR_037,3,y,14.19,c,y
2,28,L,G1,HR_169,1,y,0.83,i,n
2,28,R,G2,HR_182,1,y,18.52,c,y
2,29,L,G2,HR_054,5,y,12.55,c,y
2,29,R,G1,HR_195,5,y,14.35,i,y
2,30,L,G1,HR_017,4,y,,i,n
2,30,R,G2,HR_073,4,y,,i,y
2,31,L,G1,HR_107,5,y,3.38,c,y
2,31,R,G1,HR_145,2,y,4.65,c,y
2,32,L,G2,HR_182,1,y,6.41,c,y
2,32,R,G1,HR_146,1,y,6.33,c,y
2,33,L,G2,HR_033,2,y,8.07,c,y
2,33,R,G1,HR_073,2,y,11.16,c,y
2,34,L,G1,HR_071,1,y,15.71,c,y
2,34,R,G1,HR_043,3,y,3.6,c,y
2,35,L,G2,HR_165,2,y,1.04,i,n
2,35,R,G2,HR_062,2,y,13.5,c,y
2,36,L,G2,HR_176,5,y,5.73,c,y
2,36,R,G1,HR_092,1,y,1.08,i,n
2,37,L,G1,HR_193,2,y,,i,y
2,37,R,G2,HR_195,4,y,1.92,c,y
2,38,L,G1,HR_166,2,y,4.39,c,y
2,38,R,G2,HR_173,1,y,3.5,c,y
2,39,L,G1,HR_152,4,y,4.16,c,y
2,39,R,G2,HR_142,5,y,3.43,c,y
2,40,L,G1,HR_115,4,y,2.79,c,y
2,40,R,G2,HR_058,2,y,11.21,c,y
2,41,L,G2,HR_023,4,y,7.84,c,y
2,41,R,G2,HR_192,5,y,38.11,c,y
2,42,L,G2,HR_067,4,y,5.3,c,y
2,42,R,G1,HR_133,4,y,10.45,c,y
2,43,L,G1,HR_067,5,y,2.53,i,y
2,43,R,G1,HR_038,4,y,27.41,c,y
2,44,L,G1,HR_101,1,y,3.89,c,y
2,44,R,G1,HR_079,2,y,14.4,c,y
2,45,L,G2,HR_175,1,y,8.03,c,y
2,45,R,G1,HR_121,3,y,19.19,c,y
3,1,L,G1,HR_088,1,y,7.69,c,y
3,1,R,G2,HR_012,1,y,19.88,i,y
3,2,L,G1,HR_193,1,y,29.28,c,y
3,2,R,G1,HR_011,1,y,8.69,c,y
3,3,L,G1,HR_112,2,y,22.49,c,y
3,3,R,G1,HR_056,1,y,7.86,c,y
3,4,L,G2,HR_018,2,y,29.53,c,y
3,4,R,G2,HR_020,3,,,,
3,5,L,G2,HR_149,4,,,,
3,5,R,G1,HR_150,3,,,,
3,6,L,G2,HR_134,2,,,,
3,6,R,G2,HR_165,5,,,,
3,7,L,G2,HR_026,1,,,,
3,8,L,G1,HR_067,5,,,,
3,8,R,G1,HR_067B,5,,,,
3,9,L,G2,HR_193,4,,,,
3,9,R,G1,HR_123,4,,,,
3,10,L,G2,HR_006,5,,,,
3,10,R,G2,HR_066,3,,,,
3,11,L,G2,HR_046,4,,,,
3,11,R,G2,HR_164,3,,,,
3,12,L,G1,HR_170,5,,,,
3,12,R,G2,HR_158,2,,,,
3,13,L,G2,HR_193,5,,,,
3,13,R,G2,HR_156,5,,,,
3,14,L,G1,HR_049,1,,,,
3,14,R,G2,HR_065,5,,,,
3,15,R,G2,HR_145,4,,,,
3,16,L,G1,HR_017,3,,,,
3,16,R,G1,HR_176,1,,,,
3,17,L,G1,HR_164,5,,,,
3,17,R,G1,HR_041,1,,,,
3,18,L,G2,HR_104,1,,,,
3,18,R,G2,HR_153,2,,,,
3,19,L,G2,HR_190,3,,,,
3,19,R,G2,HR_155,4,,,,
3,20,L,G2,HR_021,2,,,,
3,20,R,G2,HR_174,5,,,,
3,21,R,G2,HR_159,2,,,,
3,22,L,G1,HR_175,1,,,,
3,22,R,G2,HR_107,1,,,,
3,23,R,G2,HR_053,1,,,,
3,24,L,G2,HR_083,4,,,,
3,24,R,G2,HR_071,2,,,,
3,25,L,G1,HR_027,4,,,,
3,25,R,G1,HR_053,4,,,,
3,26,L,G1,HR_179,2,,,,
3,26,R,G1,HR_116,5,,,,
3,27,L,G2,HR_039,4,,,,
3,27,R,G1,HR_006,5,,,,
3,28,L,G1,HR_139,3,,,,
3,28,R,G1,HR_103,4,,,,
3,29,L,G2,HR_095,3,,,,
3,29,R,G2,HR_005,3,,,,
3,30,L,G2,HR_015,4,,,,
3,30,R,G2,HR_042,2,,,,
3,31,L,G2,HR_190,3,,,,
3,31,R,G2,HR_079,1,,,,
3,32,L,G2,HR_161,5,,,,
3,32,R,G2,HR_112,3,,,,
3,33,L,G2,HR_047,5,,,,
3,33,R,G2,HR_036,2,,,,
3,34,L,G2,HR_179,3,,,,
3,34,R,G1,HR_104,5,,,,
3,35,L,G2,HR_201,1,,,,
3,35,R,G1,HR_164,2,,,,
3,36,L,G1,HR_147,1,,,,
3,36,R,G1,HR_162,1,,,,
3,37,L,G2,HR_116,3,,,,
3,37,R,G1,HR_046,3,,,,
3,38,L,G1,HR_014,5,,,,
3,38,R,G1,HR_020,3,,,,
3,39,L,G1,HR_147,5,,,,
3,39,R,G1,HR_032,2,,,,
3,40,L,G2,HR_173,1,,,,
3,40,R,G2,HR_119,4,,,,
3,41,L,G1,HR_166,5,,,,
3,41,R,G1,HR_037,5,,,,
3,42,L,G1,HR_078,2,,,,
3,42,R,G2,HR_153,3,,,,
3,43,L,G2,HR_068,1,,,,
3,43,R,G2,HR_023,3,,,,
3,44,L,G2,HR_026,4,,,,
3,44,R,G1,HR_142,1,,,,
3,45,R,G2,HR_126,5,,,,
4,1,L,G2,HR_108,5,,,,
4,1,R,G2,HR_177,2,,,,
4,2,L,G1,HR_124,1,,,,
4,2,R,G1,HR_165,2,,,,
4,3,L,G1,HR_019,4,,,,
4,3,R,G2,HR_123,5,,,,
4,4,L,G2,HR_190,4,,,,
4,4,R,G1,HR_015,5,,,,
4,5,L,G1,HR_041,3,,,,
4,5,R,G2,HR_135,4,,,,
4,6,L,G1,HR_006,1,,,,
4,6,R,G1,HR_184,3,,,,
4,7,L,G1,HR_017,3,,,,
4,7,R,G1,HR_141,4,,,,
4,8,L,G1,HR_150,1,,,,
4,8,R,G2,HR_146,3,,,,
4,9,L,G2,HR_181,5,,,,
4,9,R,G2,HR_183,3,,,,
4,10,L,G1,HR_174,4,,,,
4,10,R,G1,HR_072,4,,,,
4,11,L,G2,HR_137,2,,,,
4,11,R,G2,HR_056,3,,,,
4,12,L,G2,HR_009,1,,,,
4,12,R,G2,HR_078,3,,,,
4,13,L,G1,HR_159,1,,,,
4,13,R,G1,HR_166,1,,,,
4,14,L,G1,HR_042,5,,,,
4,14,R,G1,HR_046,3,,,,
4,15,L,G2,HR_088,1,,,,
4,15,R,G1,HR_192,1,,,,
4,16,R,G2,HR_170,5,,,,
4,17,L,G2,HR_001,1,,,,
4,17,R,G1,HR_118,5,,,,
4,18,L,G1,HR_064,3,,,,
4,18,R,G1,HR_127,3,,,,
4,19,L,G2,HR_177,5,,,,
4,19,R,G2,HR_016,5,,,,
4,20,L,G2,HR_073,4,,,,
4,20,R,G1,HR_192,3,,,,
4,21,L,G2,HR_158,2,,,,
4,21,R,G1,HR_112,2,,,,
4,22,L,G2,HR_180,4,,,,
4,22,R,G2,HR_043,1,,,,
4,23,L,G2,HR_201,3,,,,
4,23,R,G1,HR_088,3,,,,
4,24,L,G2,HR_162,3,,,,
4,24,R,G2,HR_039,2,,,,
4,25,L,G1,HR_056,1,,,,
4,25,R,G1,HR_124,2,,,,
4,26,L,G2,HR_110,1,,,,
4,26,R,G2,HR_039,3,,,,
4,27,L,G2,HR_134,3,,,,
4,27,R,G2,HR_123,3,,,,
4,28,L,G1,HR_050,3,,,,
4,28,R,G2,HR_164,3,,,,
4,29,L,G1,HR_038,5,,,,
4,29,R,G1,HR_023,3,,,,
4,30,L,G2,HR_107,3,,,,
4,30,R,G1,HR_181,3,,,,
4,31,L,G1,HR_050,4,,,,
4,31,R,G2,HR_062,4,,,,
4,32,L,G1,HR_007,1,,,,
4,32,R,G1,HR_042,3,,,,
4,33,L,G1,HR_018,2,,,,
4,33,R,G1,HR_005,4,,,,
4,34,L,G2,HR_009,5,,,,
4,34,R,G2,HR_033,4,,,,
4,35,L,G2,HR_181,1,,,,
4,35,R,G1,HR_182,1,,,,
4,36,L,G2,HR_083,1,,,,
4,36,R,G2,HR_115,4,,,,
4,37,L,G1,HR_016,5,,,,
4,37,R,G2,HR_114,4,,,,
4,38,L,G2,HR_070,2,,,,
4,38,R,G2,HR_113,3,,,,
4,39,L,G1,HR_043,1,,,,
4,39,R,G1,HR_021,4,,,,
4,40,L,G2,HR_017,5,,,,
4,40,R,G2,HR_149,4,,,,
4,41,L,G2,HR_079,5,,,,
4,41,R,G2,HR_142,2,,,,
4,42,L,G2,HR_085,4,,,,
4,42,R,G2,HR_025,2,,,,
4,43,L,G2,HR_004,3,,,,
4,43,R,G1,HR_028,5,,,,
4,44,L,G2,HR_124,4,,,,
4,44,R,G2,HR_181,1,,,,
4,45,L,G2,HR_180,5,,,,
4,45,R,G1,HR_065,2,,,,
5,1,L,G2,HR_118,3,,,,
5,1,R,G1,HR_196,5,,,,
5,2,L,G1,HR_112,4,,,,
5,2,R,G1,HR_201,3,,,,
5,3,L,G1,HR_059,1,,,,
5,3,R,G1,HR_146,5,,,,
5,4,L,G2,HR_071,2,,,,
