Block,Location,Sequence,Co.,Donor,Recipient,Replicated,Plant_ID,FitP,Rep_FitP,any_FitP,F_plant,F_multi,F_plant_notes,Germ_Date,Sow_Date,Fl_2.25,Fl_3.3,Fl_3.11,Fl_3.17,Fl_3.25,Fl_4.1,Fl_4.9,Fl_4.22,Fl_4.28,Fl_5.4,Fl_5.12,Fl_5.19,Fl_5.25,LEAF,flr_P,closed_fruits_F,open_fruits_F,damaged_fruits_F,total_fruits_F,nonfitness_fruits,seed_ct,mean_seeds_per_fruit,total_est_seed_production,FFD,days_germ2flower,days_sow2flower,LFD,fl_duration,surv_to_germ,surv_to_flower,surv_to_fruitprod,surv_to_seedprod
1,1,1,5,BB_173,BB_170,n,7,TRUE,FALSE,TRUE,7,7,NA,2021-12-12,2021-12-02,NA,NA,NA,NA,NA,2022-04-01,2022-04-08,NA,NA,NA,NA,NA,NA,NA,2022-04-08,0,0,0,0,2,0,0,0,2022-04-01,110,120,2022-04-08,7,1,1,0,0
1,1,2,1,BB_023,BB_206,n,5,TRUE,FALSE,TRUE,5,5,NA,2021-12-19,2021-12-02,NA,NA,NA,2022-03-17,NA,2022-04-01,2022-04-08,NA,NA,NA,NA,NA,NA,NA,2022-03-17,1,1,0,2,0,6,6,12,2022-03-17,88,105,2022-04-08,22,1,1,1,1
1,2,3,1,BB_075,BB_085,R,3,TRUE,TRUE,TRUE,3,"6,3,7",NA,2021-12-12,2021-12-02,NA,NA,NA,2022-03-17,2022-03-25,NA,2022-04-08,NA,NA,NA,NA,NA,NA,NA,2022-03-17,0,0,0,0,0,0,0,0,2022-03-17,95,105,2022-04-08,22,1,1,0,0
1,2,4,2,BB_107,BB_179,n,3,TRUE,FALSE,TRUE,3,3,NA,2021-12-19,2021-12-02,NA,NA,NA,2022-03-17,2022-03-25,2022-04-01,2022-04-08,NA,NA,NA,NA,NA,NA,NA,2022-03-17,0,0,0,0,4,0,0,0,2022-03-17,88,105,2022-04-08,22,1,1,0,0
1,3,6,1,BB_028,BB_109,n,2,TRUE,FALSE,TRUE,2,2,NA,2021-12-12,2021-12-02,NA,NA,2022-03-11,2022-03-17,NA,2022-04-01,NA,NA,NA,NA,NA,NA,NA,NA,2022-03-11,1,0,0,1,3,2,2,2,2022-03-11,89,99,2022-04-01,21,1,1,1,1
1,3,7,5,BB_141,BB_003,n,1,TRUE,FALSE,TRUE,1,1,NA,2021-12-12,2021-12-02,NA,NA,NA,2022-03-17,2022-03-25,2022-04-01,NA,NA,NA,NA,NA,NA,NA,NA,2022-03-17,0,0,0,0,3,0,0,0,2022-03-17,95,105,2022-04-01,15,1,1,0,0
1,3,8,3,BB_174,BB_010,n,5,TRUE,FALSE,TRUE,5,5,NA,2021-12-12,2021-12-02,NA,NA,2022-03-11,2022-03-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-03-11,0,0,0,0,1,NA,0,0,2022-03-11,89,99,2022-03-17,6,1,1,0,0
1,4,9,4,BB_099,BB_161,R,4,TRUE,TRUE,TRUE,4,"6,4",NA,2021-12-30,2021-12-02,NA,NA,NA,NA,NA,2022-04-01,2022-04-08,NA,NA,NA,NA,NA,NA,NA,2022-04-01,0,NA,NA,0,NA,NA,0,0,2022-04-01,92,120,2022-04-08,7,1,1,0,0
1,4,10,1,BB_194,BB_214,n,6,TRUE,FALSE,TRUE,6,6,NA,2021-12-12,2021-12-02,NA,NA,NA,NA,NA,2022-04-01,NA,NA,NA,NA,NA,NA,NA,NA,2022-04-01,0,0,0,0,1,0,0,0,2022-04-01,110,120,2022-04-01,0,1,1,0,0
1,4,11,5,BB_051,BB_143,R,7,TRUE,TRUE,TRUE,7,"6,7,4",NA,2021-12-12,2021-12-02,NA,NA,NA,2022-03-17,2022-03-25,2022-04-01,2022-04-08,NA,NA,NA,NA,NA,NA,2022-05-04,2022-03-25,3,2,0,5,0,28,9.333333333333334,46.66666666666667,2022-03-17,95,105,2022-04-08,22,1,1,1,1
1,5,12,3,BB_115,BB_020,R,5,TRUE,TRUE,TRUE,5,"1,5,7",NA,2021-12-12,2021-12-02,NA,NA,NA,2022-03-17,2022-03-25,2022-04-01,2022-04-08,NA,NA,NA,NA,NA,NA,NA,2022-03-17,2,1,0,3,0,7,3.5,10.5,2022-03-17,95,105,2022-04-08,22,1,1,1,1
1,5,13,3,BB_167,BB_114,n,5,TRUE,FALSE,TRUE,5,5,NA,2021-12-19,2021-12-02,NA,NA,NA,NA,2022-03-25,2022-04-01,NA,2022-04-22,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,2,1,1,1,2022-03-25,96,113,2022-04-22,28,1,1,1,1
1,5,14,5,BB_108,BB_069,n,4,TRUE,FALSE,TRUE,4,4,NA,2021-12-12,2021-12-02,NA,NA,NA,2022-03-17,2022-03-25,2022-04-01,2022-04-08,NA,NA,NA,NA,NA,NA,NA,2022-04-01,1,3,0,4,0,6,6,24,2022-03-17,95,105,2022-04-08,22,1,1,1,1
1,5,15,3,BB_065,BB_013,n,8,TRUE,FALSE,TRUE,8,8,NA,2021-12-19,2021-12-02,NA,NA,2022-03-11,2022-03-17,2022-03-25,2022-04-01,2022-04-08,2022-04-22,2022-04-28,NA,NA,NA,NA,NA,2022-03-11,1,0,1,1,3,0,0,0,2022-03-11,82,99,2022-04-28,48,1,1,1,0
1,6,16,4,BB_175,BB_104,n,8,TRUE,FALSE,TRUE,8,8,NA,2021-12-12,2021-12-02,2022-02-25,NA,NA,2022-03-17,2022-03-25,NA,2022-04-08,2022-04-22,2022-04-28,NA,NA,2022-05-19,NA,NA,2022-03-11,0,0,0,0,0,NA,0,0,2022-02-25,75,85,2022-05-19,83,1,1,0,0
1,6,17,4,BB_005,BB_195,n,4,TRUE,FALSE,TRUE,4,4,NA,2021-12-12,2021-12-02,NA,2022-03-03,NA,2022-03-17,2022-03-25,2022-04-01,NA,NA,NA,NA,NA,NA,NA,NA,2022-03-17,0,0,0,0,0,NA,0,0,2022-03-03,81,91,2022-04-01,29,1,1,0,0
1,6,18,4,BB_047,BB_193,n,8,TRUE,FALSE,TRUE,8,8,NA,2021-12-19,2021-12-02,NA,NA,2022-03-11,2022-03-17,2022-03-25,2022-04-01,NA,NA,NA,NA,NA,NA,NA,NA,2022-03-17,1,0,0,1,0,6,6,6,2022-03-11,82,99,2022-04-01,21,1,1,1,1
1,7,19,2,BB_196,BB_186,n,7,TRUE,FALSE,TRUE,7,7,NA,2021-12-12,2021-12-02,NA,NA,2022-03-11,2022-03-17,2022-03-25,2022-04-01,2022-04-08,2022-04-22,2022-04-28,NA,NA,NA,NA,NA,2022-03-11,1,3,0,4,0,2,2,8,2022-03-11,89,99,2022-04-28,48,1,1,1,1
1,7,20,2,BB_182,BB_201,n,1,TRUE,FALSE,TRUE,1,1,NA,2021-12-19,2021-12-02,NA,NA,2022-03-11,2022-03-17,2022-03-25,2022-04-01,2022-04-08,2022-04-22,2022-04-28,NA,2022-05-12,NA,NA,NA,2022-03-11,0,0,0,0,0,NA,0,0,2022-03-11,82,99,2022-05-12,62,1,1,0,0
1,7,21,1,BB_122,BB_027,n,2,TRUE,FALSE,TRUE,2,2,NA,2021-12-19,2021-12-02,NA,NA,NA,2022-03-17,2022-03-25,2022-04-01,2022-04-08,2022-04-22,2022-04-28,NA,NA,NA,NA,NA,2022-04-08,1,0,0,1,0,3,3,3,2022-03-17,88,105,2022-04-28,42,1,1,1,1
1,8,22,4,BB_125,BB_137,R,3,TRUE,TRUE,TRUE,3,"6,3,7",NA,2021-12-30,2021-12-02,NA,NA,NA,NA,2022-03-25,2022-04-01,2022-04-08,NA,NA,NA,NA,NA,NA,NA,2022-03-25,0,NA,NA,0,NA,NA,0,0,2022-03-25,85,113,2022-04-08,14,1,1,0,0
1,8,23,2,BB_015,BB_218,n,7,TRUE,FALSE,TRUE,7,7,NA,2021-12-30,2021-12-02,NA,NA,NA,NA,2022-03-25,2022-04-01,2022-04-08,NA,NA,NA,NA,NA,NA,NA,2022-04-08,0,0,0,0,0,NA,0,0,2022-03-25,85,113,2022-04-08,14,1,1,0,0
1,8,24,3,BB_144,BB_207,n,6,TRUE,FALSE,TRUE,6,6,NA,2021-12-12,2021-12-02,NA,NA,NA,NA,2022-03-25,2022-04-01,2022-04-08,NA,NA,NA,NA,NA,NA,NA,2022-03-25,0,1,0,1,0,0,0,0,2022-03-25,103,113,2022-04-08,14,1,1,1,0
1,9,25,5,BB_108,BB_189,n,6,TRUE,FALSE,TRUE,6,6,NA,2021-12-12,2021-12-02,NA,NA,NA,NA,NA,2022-04-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0,2022-04-01,110,120,2022-04-01,0,1,1,0,0
1,9,26,6,BB_188,BB_009,n,2,TRUE,FALSE,TRUE,2,2,NA,2021-12-12,2021-12-02,NA,NA,NA,NA,NA,2022-04-01,2022-04-08,2022-04-22,2022-04-28,NA,NA,NA,NA,NA,2022-04-01,0,2,0,2,0,0,0,0,2022-04-01,110,120,2022-04-28,27,1,1,1,0
1,9,27,5,BB_176,BB_017,R,4,TRUE,TRUE,TRUE,4,"5,4,8",NA,2021-12-12,2021-12-02,NA,NA,2022-03-11,2022-03-17,2022-03-25,2022-04-01,NA,NA,NA,NA,NA,NA,NA,NA,2022-03-11,0,1,0,1,0,0,0,0,2022-03-11,89,99,2022-04-01,21,1,1,1,0
1,10,28,3,BB_115,BB_187,R,3,TRUE,TRUE,TRUE,3,3,NA,2021-12-19,2021-12-02,NA,NA,NA,NA,NA,NA,2022-04-08,NA,NA,NA,NA,NA,NA,NA,2022-04-08,1,0,0,1,0,0,0,0,2022-04-08,110,127,2022-04-08,0,1,1,1,0
1,10,29,4,BB_099,BB_032,R,5,TRUE,TRUE,TRUE,5,5,NA,2021-12-12,2021-12-02,NA,NA,NA,NA,2022-03-25,2022-04-01,NA,NA,NA,NA,NA,NA,NA,NA,2022-03-25,0,0,0,0,0,NA,0,0,2022-03-25,103,113,2022-04-01,7,1,1,0,0
1,10,30,3,BB_168,BB_058,n,2,TRUE,FALSE,TRUE,2,2,NA,2021-12-12,2021-12-02,NA,NA,NA,NA,2022-03-25,2022-04-01,NA,NA,NA,NA,NA,NA,NA,NA,2022-03-25,1,0,0,1,2,11,11,11,2022-03-25,103,113,2022-04-01,7,1,1,1,1
1,10,31,2,BB_182,BB_021,n,3,TRUE,FALSE,TRUE,3,3,NA,2021-12-12,2021-12-02,NA,NA,NA,NA,2022-03-25,2022-04-01,2022-04-08,2022-04-22,2022-04-28,NA,NA,NA,NA,NA,2022-03-25,1,0,0,1,1,0,0,0,2022-03-25,103,113,2022-04-28,34,1,1,1,0
1,11,32,2,BB_197,BB_060,n,3,TRUE,FALSE,TRUE,3,3,NA,2021-12-12,2021-12-02,NA,NA,NA,NA,2022-03-25,2022-04-01,2022-04-08,2022-04-22,2022-04-28,NA,2022-05-12,2022-05-19,2022-05-25,NA,2022-04-01,13,4,0,17,2,47,3.6153846153846154,61.46153846153846,2022-03-25,103,113,2022-05-25,61,1,1,1,1
1,11,33,2,BB_142,BB_093,n,7,TRUE,FALSE,TRUE,7,7,NA,2021-12-19,2021-12-02,NA,NA,NA,2022-03-17,NA,2022-04-01,2022-04-08,NA,NA,NA,NA,NA,NA,NA,2022-03-17,4,1,0,5,0,41,10.25,51.25,2022-03-17,88,105,2022-04-08,22,1,1,1,1
1,12,35,3,BB_174,BB_068,n,2,TRUE,FALSE,TRUE,2,2,NA,2021-12-12,2021-12-02,NA,NA,NA,NA,NA,2022-04-01,2022-04-08,2022-04-22,NA,NA,NA,NA,NA,NA,2022-04-01,0,0,0,0,0,NA,0,0,2022-04-01,110,120,2022-04-22,21,1,1,0,0
1,12,36,1,BB_202,BB_018,n,6,TRUE,FALSE,TRUE,6,6,NA,2021-12-19,2021-12-02,NA,NA,NA,NA,2022-03-25,2022-04-01,2022-04-08,NA,NA,NA,NA,NA,NA,NA,2022-03-25,1,2,0,3,0,14,14,42,2022-03-25,96,113,2022-04-08,14,1,1,1,1
1,13,37,4,BB_047,BB_131,n,6,TRUE,FALSE,TRUE,6,6,NA,2021-12-12,2021-12-02,NA,NA,2022-03-11,2022-03-17,2022-03-25,2022-04-01,2022-04-08,2022-04-22,NA,NA,NA,NA,NA,NA,2022-03-11,1,0,2,1,4,4,4,4,2022-03-11,89,99,2022-04-22,42,1,1,1,1
1,13,38,5,BB_141,BB_029,n,5,TRUE,FALSE,TRUE,5,5,NA,2021-12-12,2021-12-02,NA,NA,NA,NA,NA,2022-04-01,2022-04-08,2022-04-22,NA,NA,NA,NA,NA,NA,2022-04-01,1,0,0,1,0,3,3,3,2022-04-01,110,120,2022-04-22,21,1,1,1,1
1,13,39,3,BB_198,BB_045,n,6,TRUE,FALSE,TRUE,6,6,NA,2021-12-19,2021-12-02,NA,NA,NA,NA,2022-03-25,2022-04-01,2022-04-08,2022-04-22,2022-04-28,NA,NA,NA,NA,NA,2022-04-01,0,1,0,1,2,0,0,0,2022-03-25,96,113,2022-04-28,34,1,1,1,0
1,14,40,4,BB_175,BB_172,n,4,TRUE,FALSE,TRUE,4,4,NA,2021-12-30,2021-12-02,NA,NA,NA,NA,NA,2022-04-01,2022-04-08,2022-04-22,NA,NA,NA,NA,NA,NA,2022-04-01,1,1,0,2,0,1,1,2,2022-04-01,92,120,2022-04-22,21,1,1,1,1
1,14,41,1,BB_028,BB_083,n,7,TRUE,FALSE,TRUE,7,7,NA,2021-12-12,2021-12-02,NA,NA,NA,2022-03-17,2022-03-25,2022-04-01,2022-04-08,2022-04-22,2022-04-28,NA,NA,NA,NA,NA,2022-03-17,4,2,2,6,0,25,6.25,37.5,2022-03-17,95,105,2022-04-28,42,1,1,1,1
1,14,42,3,BB_011,BB_116,n,6,TRUE,FALSE,TRUE,6,6,NA,2021-12-30,2021-12-02,NA,NA,NA,NA,NA,2022-04-01,NA,2022-04-22,2022-04-28,NA,NA,NA,NA,NA,2022-04-01,0,1,0,1,4,0,0,0,2022-04-01,92,120,2022-04-28,27,1,1,1,0
1,15,43,2,BB_066,BB_019,n,1,TRUE,FALSE,TRUE,1,1,NA,2021-12-19,2021-12-02,NA,NA,NA,NA,NA,NA,NA,2022-04-22,NA,NA,NA,NA,NA,NA,2022-04-22,0,0,0,0,0,NA,0,0,2022-04-22,124,141,2022-04-22,0,1,1,0,0
1,15,44,4,BB_099,BB_061,R,8,TRUE,TRUE,TRUE,8,8,NA,2021-12-19,2021-12-02,NA,NA,NA,NA,NA,NA,NA,2022-04-22,NA,NA,NA,2022-05-19,NA,NA,NA,2,2,0,4,0,0,0,0,2022-04-22,124,141,2022-05-19,27,1,1,1,0
1,16,45,5,BB_215,BB_210,n,6,TRUE,FALSE,TRUE,6,6,NA,2021-12-12,2021-12-02,NA,NA,NA,NA,NA,2022-04-01,2022-04-08,2022-04-22,2022-04-28,NA,NA,NA,NA,NA,2022-04-01,0,0,0,0,0,NA,0,0,2022-04-01,110,120,2022-04-28,27,1,1,0,0
1,16,46,4,BB_005,BB_166,n,5,TRUE,FALSE,TRUE,5,5,NA,2021-12-12,2021-12-02,NA,NA,NA,NA,2022-03-25,2022-04-01,2022-04-08,2022-04-22,2022-04-28,NA,2022-05-12,NA,NA,NA,2022-03-25,2,0,0,2,3,5,2.5,5,2022-03-25,103,113,2022-05-12,48,1,1,1,1
1,17,47,4,BB_005,BB_034,n,5,TRUE,FALSE,TRUE,5,5,NA,2021-12-12,2021-12-02,NA,NA,NA,2022-03-17,2022-03-25,2022-04-01,2022-04-08,2022-04-22,NA,NA,NA,NA,NA,NA,2022-03-17,1,0,0,1,0,3,3,3,2022-03-17,95,105,2022-04-22,36,1,1,1,1
1,17,48,5,BB_057,BB_146,n,7,TRUE,FALSE,TRUE,7,7,NA,2021-12-12,2021-12-02,NA,NA,NA,2022-03-17,2022-03-25,2022-04-01,NA,NA,NA,NA,NA,NA,NA,NA,2022-03-17,2,0,0,2,1,12,6,12,2022-03-17,95,105,2022-04-01,15,1,1,1,1
1,17,49,5,BB_091,BB_098,n,2,TRUE,FALSE,TRUE,2,2,NA,2021-12-12,2021-12-02,NA,NA,NA,NA,2022-03-25,2022-04-01,2022-04-08,2022-04-22,NA,NA,NA,NA,NA,NA,2022-03-25,1,0,0,1,0,0,0,0,2022-03-25,103,113,2022-04-22,28,1,1,1,0
1,18,50,1,BB_202,BB_101,n,2,TRUE,FALSE,TRUE,2,2,NA,2021-12-19,2021-12-02,NA,NA,NA,NA,NA,2022-04-01,2022-04-08,2022-04-22,2022-04-28,NA,NA,NA,NA,NA,2022-04-08,2,0,0,2,5,9,4.5,9,2022-04-01,103,120,2022-04-28,27,1,1,1,1
1,18,51,2,BB_066,BB_052,n,5,TRUE,FALSE,TRUE,5,5,NA,2021-12-12,2021-12-02,NA,NA,NA,NA,2022-03-25,2022-04-01,2022-04-08,2022-04-22,NA,NA,NA,NA,NA,NA,2022-04-01,1,0,0,1,8,1,1,1,2022-03-25,103,113,2022-04-22,28,1,1,1,1
1,19,52,4,BB_177,BB_134,n,6,TRUE,FALSE,TRUE,6,6,NA,2021-12-19,2021-12-02,NA,NA,NA,2022-03-17,2022-03-25,2022-04-01,2022-04-08,NA,NA,NA,NA,NA,NA,NA,2022-03-17,0,1,0,1,0,0,0,0,2022-03-17,88,105,2022-04-08,22,1,1,1,0
1,19,53,4,BB_177,BB_117,n,5,TRUE,FALSE,TRUE,5,5,NA,2021-12-30,2021-12-02,NA,NA,NA,NA,NA,NA,2022-04-08,2022-04-22,2022-04-28,NA,NA,2022-05-19,2022-05-25,NA,2022-04-08,6,0,0,6,0,8,1.3333333333333333,8,2022-04-08,99,127,2022-05-25,47,1,1,1,1
1,19,54,1,BB_028,BB_209,n,6,TRUE,FALSE,TRUE,6,6,NA,NA,2021-12-02,NA,NA,NA,NA,2022-03-25,2022-04-01,2022-04-08,NA,NA,NA,NA,NA,NA,NA,2022-03-25,0,1,0,1,2,0,0,0,2022-03-25,NA,113,2022-04-08,14,0,1,1,0
1,20,55,1,BB_075,BB_164,R,4,TRUE,TRUE,TRUE,4,"1,4,8",NA,2021-12-12,2021-12-02,NA,NA,NA,NA,2022-03-25,2022-04-01,2022-04-08,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,6,4,4,4,2022-03-25,103,113,2022-04-08,14,1,1,1,1
1,20,56,2,BB_142,BB_150,n,3,TRUE,FALSE,TRUE,3,3,NA,2021-12-19,2021-12-02,NA,NA,2022-03-11,2022-03-17,2022-03-25,2022-04-01,2022-04-08,2022-04-22,NA,NA,NA,NA,NA,NA,2022-03-11,7,1,0,8,4,53,7.571428571428571,60.57142857142857,2022-03-11,82,99,2022-04-22,42,1,1,1,1
1,20,57,4,BB_130,BB_048,n,8,TRUE,FALSE,TRUE,8,8,NA,2021-12-19,2021-12-02,NA,NA,NA,NA,2022-03-25,2022-04-01,NA,NA,NA,NA,NA,NA,NA,NA,2022-03-25,1,0,0,1,0,2,2,2,2022-03-25,96,113,2022-04-01,7,1,1,1,1
1,21,58,3,BB_167,BB_110,n,6,TRUE,FALSE,TRUE,6,6,NA,2021-12-20,2021-12-02,NA,NA,NA,NA,NA,2022-04-01,NA,NA,NA,NA,NA,NA,NA,NA,2022-04-01,0,0,0,0,0,NA,0,0,2022-04-01,102,120,2022-04-01,0,1,1,0,0
1,21,59,3,BB_169,BB_160,n,3,TRUE,FALSE,TRUE,3,3,NA,2021-12-12,2021-12-02,NA,NA,NA,2022-03-17,2022-03-25,2022-04-01,2022-04-08,NA,2022-04-28,NA,2022-05-12,NA,NA,NA,2022-03-25,1,1,0,2,3,2,2,4,2022-03-17,95,105,2022-05-12,56,1,1,1,1
1,21,60,5,BB_215,BB_004,n,4,TRUE,FALSE,TRUE,4,4,NA,2021-12-20,2021-12-02,NA,NA,NA,2022-03-17,2022-03-25,2022-04-01,2022-04-08,2022-04-22,NA,NA,NA,NA,NA,NA,2022-03-17,1,2,0,3,0,6,6,18,2022-03-17,87,105,2022-04-22,36,1,1,1,1
1,22,61,4,BB_073,BB_084,n,4,TRUE,FALSE,TRUE,4,4,NA,2021-12-20,2021-12-02,NA,NA,NA,NA,NA,2022-04-01,NA,NA,NA,NA,NA,NA,NA,NA,2022-04-01,1,0,0,1,1,1,1,1,2022-04-01,102,120,2022-04-01,0,1,1,1,1
1,22,62,3,BB_011,BB_215,n,5,TRUE,FALSE,TRUE,5,5,NA,2021-12-12,2021-12-02,NA,NA,NA,NA,NA,2022-04-01,2022-04-08,NA,2022-04-28,NA,NA,NA,NA,NA,2022-04-01,0,0,0,0,7,0,0,0,2022-04-01,110,120,2022-04-28,27,1,1,0,0
1,22,63,3,BB_038,BB_149,n,6,TRUE,FALSE,TRUE,6,6,NA,2021-12-12,2021-12-02,NA,NA,NA,NA,NA,NA,2022-04-08,2022-04-22,2022-04-28,NA,2022-05-12,2022-05-19,NA,NA,2022-04-08,2,0,2,2,2,29,14.5,29,2022-04-08,117,127,2022-05-19,41,1,1,1,1
1,23,64,2,BB_182,BB_103,n,5,TRUE,FALSE,TRUE,5,5,NA,2021-12-12,2021-12-02,NA,NA,2022-03-11,2022-03-17,2022-03-25,2022-04-01,2022-04-08,2022-04-22,2022-04-28,NA,NA,NA,NA,NA,2022-03-11,16,18,1,34,51,139,8.6875,295.375,2022-03-11,89,99,2022-04-28,48,1,1,1,1
1,23,65,4,BB_130,BB_007,n,7,TRUE,FALSE,TRUE,7,7,NA,2021-12-12,2021-12-02,NA,NA,NA,NA,NA,NA,2022-04-08,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,7,NA,0,0,2022-04-08,117,127,2022-04-08,0,1,1,0,0
1,23,66,5,BB_173,BB_044,n,4,TRUE,FALSE,TRUE,4,4,NA,2021-12-12,2021-12-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,1,0,0,0
1,24,67,5,BB_057,BB_200,n,5,TRUE,FALSE,TRUE,5,5,Plants 5 and 8 originally selected,2021-12-20,2021-12-02,NA,NA,2022-03-11,2022-03-17,2022-03-25,2022-04-01,NA,NA,NA,NA,NA,NA,NA,NA,2022-03-11,2,1,0,3,10,10,5,15,2022-03-11,81,99,2022-04-01,21,1,1,1,1
1,24,68,2,BB_197,BB_199,n,1,TRUE,FALSE,TRUE,1,1,NA,2021-12-12,2021-12-02,NA,NA,NA,NA,NA,NA,NA,2022-04-22,NA,NA,NA,NA,NA,NA,2022-04-22,0,0,0,0,0,NA,0,0,2022-04-22,131,141,2022-04-22,0,1,1,0,0
1,24,69,2,BB_197,BB_211,n,3,TRUE,FALSE,TRUE,3,3,NA,2021-12-12,2021-12-02,NA,NA,NA,NA,NA,2022-04-01,2022-04-08,2022-04-22,2022-04-28,NA,NA,NA,NA,NA,2022-04-01,0,0,0,0,0,NA,0,0,2022-04-01,110,120,2022-04-28,27,1,1,0,0
1,25,70,1,BB_100,BB_113,n,2,TRUE,FALSE,TRUE,2,2,NA,2021-12-12,2021-12-02,NA,NA,NA,2022-03-17,2022-03-25,NA,2022-04-08,NA,NA,NA,NA,NA,NA,NA,2022-03-17,1,0,0,1,0,0,0,0,2022-03-17,95,105,2022-04-08,22,1,1,1,0
