Block,Transect,Sequence,Donor,Recipient,Replicated,Plant_ID,FitP,Rep_FitP,any_FitP,F_plant,F_multi,F_plant_notes,Germ_Date,Sow_Date,Fl_3.10,Fl_3.16,Fl_3.24,Fl_3.31,Fl_4.7,Fl_4.14,Fl_4.20,Fl_4.26,Fl_5.4,Fl_5.11,Fl_5.20,Fl_5.24,LEAF,flr_P,closed_fruits_F,open_fruits_F,damaged_fruits_F,total_fruits_F,nonfitness_fruits,seed_ct,mean_seeds_per_fruit,total_est_seed_production,FFD,days_germ2flower,days_sow2flower,LFD,fl_duration,surv_to_germ,surv_to_flower,surv_to_fruitprod,surv_to_seedprod
1,1,1,HR_008,HR_058,n,2,TRUE,FALSE,TRUE,2,2,NA,2021-12-06,2021-11-19,NA,NA,NA,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-03-31,28,1,0,29,1,11,0.39285714285714285,11.392857142857142,2022-03-31,115,132,2022-04-26,26,1,1,1,1
1,1,2,HR_196,HR_183,n,2,TRUE,FALSE,TRUE,2,2,NA,2021-12-06,2021-11-19,NA,NA,NA,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-03-31,16,0,0,16,1,11,0.6875,11,2022-03-31,115,132,2022-04-26,26,1,1,1,1
1,1,3,HR_085,HR_176,n,7,TRUE,FALSE,TRUE,7,7,NA,2021-11-19,2021-11-19,NA,NA,2022-03-24,2022-03-31,2022-04-07,2022-04-14,NA,2022-04-26,NA,NA,NA,NA,NA,2022-03-24,8,3,0,11,4,5,0.625,6.875,2022-03-24,125,125,2022-04-26,33,1,1,1,1
1,1,4,HR_006,HR_146,R,8,TRUE,TRUE,TRUE,8,"6,3,8",NA,2021-12-06,2021-11-19,NA,NA,2022-03-24,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-03-24,0,NA,NA,0,NA,NA,0,0,2022-03-24,108,125,2022-04-26,33,1,1,0,0
1,1,5,HR_108,HR_177,n,3,TRUE,FALSE,TRUE,3,3,NA,2021-12-06,2021-11-19,NA,NA,2022-03-24,2022-03-31,2022-04-07,2022-04-14,2022-04-20,NA,NA,NA,NA,NA,NA,2022-03-24,14,0,0,14,1,37,2.642857142857143,37,2022-03-24,108,125,2022-04-20,27,1,1,1,1
1,1,6,HR_074,HR_115,n,6,TRUE,FALSE,TRUE,6,6,NA,2021-12-06,2021-11-19,NA,NA,NA,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-03-31,12,1,0,13,0,24,2,26,2022-03-31,115,132,2022-04-26,26,1,1,1,1
1,1,7,HR_180,HR_036,n,4,TRUE,FALSE,TRUE,4,4,NA,2021-12-06,2021-11-19,NA,NA,NA,2022-03-31,2022-04-07,2022-04-14,NA,NA,NA,NA,NA,NA,NA,2022-03-31,8,1,0,9,0,8,1,9,2022-03-31,115,132,2022-04-14,14,1,1,1,1
1,1,8,HR_160,HR_033,n,5,TRUE,FALSE,TRUE,5,5,NA,2021-12-06,2021-11-19,NA,NA,2022-03-24,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-03-31,18,6,0,24,0,21,1.1666666666666667,28,2022-03-24,108,125,2022-04-26,33,1,1,1,1
1,1,9,HR_070,HR_061,n,2,TRUE,FALSE,TRUE,2,2,NA,2021-12-06,2021-11-19,NA,NA,2022-03-24,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-03-24,19,6,0,25,0,22,1.1578947368421053,28.947368421052634,2022-03-24,108,125,2022-04-26,33,1,1,1,1
1,1,10,HR_133,HR_158,n,4,TRUE,FALSE,TRUE,4,4,NA,2021-12-06,2021-11-19,NA,NA,NA,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-03-31,27,6,0,33,2,69,2.5555555555555554,84.33333333333333,2022-03-31,115,132,2022-04-26,26,1,1,1,1
1,1,11,HR_108,HR_175,n,6,TRUE,FALSE,TRUE,6,6,NA,2021-12-06,2021-11-19,NA,NA,NA,2022-03-31,2022-04-07,2022-04-14,2022-04-20,NA,NA,NA,NA,NA,NA,2022-03-31,9,4,0,13,0,14,1.5555555555555556,20.22222222222222,2022-03-31,115,132,2022-04-20,20,1,1,1,1
1,1,12,HR_164,HR_005,n,4,TRUE,FALSE,TRUE,4,4,NA,2021-12-06,2021-11-19,NA,NA,NA,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,2022-05-05,NA,NA,NA,NA,2022-03-31,25,4,0,29,0,42,1.68,48.72,2022-03-31,115,132,2022-05-05,35,1,1,1,1
1,1,13,HR_171,HR_057,n,4,TRUE,FALSE,TRUE,4,4,NA,2021-12-06,2021-11-19,NA,NA,NA,2022-03-31,NA,2022-04-14,2022-04-20,NA,NA,NA,NA,NA,NA,2022-03-31,2,3,0,5,3,2,1,5,2022-03-31,115,132,2022-04-20,20,1,1,1,1
1,1,14,HR_196,HR_170,n,5,TRUE,FALSE,TRUE,5,5,NA,2021-12-06,2021-11-19,NA,NA,NA,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-03-31,25,2,0,27,9,53,2.12,57.24,2022-03-31,115,132,2022-04-26,26,1,1,1,1
1,1,15,HR_148,HR_114,n,7,TRUE,FALSE,TRUE,7,7,NA,2021-12-06,2021-11-19,NA,NA,NA,NA,2022-04-07,2022-04-14,2022-04-20,NA,NA,NA,NA,NA,NA,2022-04-07,8,0,0,8,2,5,0.625,5,2022-04-07,122,139,2022-04-20,13,1,1,1,1
1,1,16,HR_069,HR_108,n,1,TRUE,FALSE,TRUE,1,1,NA,2021-12-06,2021-11-19,NA,NA,NA,NA,2022-04-07,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-04-07,13,0,0,13,0,21,1.6153846153846154,21,2022-04-07,122,139,2022-04-26,19,1,1,1,1
1,1,17,HR_175,HR_196,n,5,TRUE,FALSE,TRUE,5,5,NA,2021-12-06,2021-11-19,NA,NA,NA,NA,2022-04-07,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-04-07,28,0,0,28,0,62,2.2142857142857144,62,2022-04-07,122,139,2022-04-26,19,1,1,1,1
1,1,18,HR_131,HR_046,n,6,TRUE,FALSE,TRUE,6,6,NA,2021-12-06,2021-11-19,NA,NA,NA,NA,2022-04-07,2022-04-14,2022-04-20,2022-04-26,2022-05-05,NA,NA,NA,2022-05-16,2022-04-07,16,1,0,17,0,6,0.375,6.375,2022-04-07,122,139,2022-05-05,28,1,1,1,1
1,1,19,HR_095,HR_020,n,8,TRUE,FALSE,TRUE,8,8,NA,2021-12-17,2021-11-19,NA,NA,NA,NA,2022-04-07,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,NA,4,0,0,4,0,7,1.75,7,2022-04-07,111,139,2022-04-26,19,1,1,1,1
1,1,20,HR_108,HR_016,n,4,TRUE,FALSE,TRUE,4,4,NA,2021-12-17,2021-11-19,NA,NA,NA,NA,2022-04-07,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-04-07,7,0,0,7,0,0,0,0,2022-04-07,111,139,2022-04-26,19,1,1,1,0
1,1,21,HR_200,HR_010,n,5,TRUE,FALSE,TRUE,5,5,NA,2021-12-06,2021-11-19,NA,NA,NA,NA,2022-04-07,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-04-07,6,3,0,9,0,1,0.16666666666666666,1.5,2022-04-07,122,139,2022-04-26,19,1,1,1,1
1,1,22,HR_164,HR_041,n,3,TRUE,FALSE,TRUE,3,3,NA,NA,2021-11-19,NA,NA,NA,NA,NA,2022-04-14,2022-04-20,NA,NA,NA,NA,NA,NA,2022-04-14,2,0,0,2,0,8,4,8,2022-04-14,NA,146,2022-04-20,6,0,1,1,1
1,1,23,HR_168,HR_148,R,5,TRUE,TRUE,TRUE,5,"5,6",NA,2021-12-06,2021-11-19,NA,NA,NA,NA,NA,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-04-14,5,1,0,6,0,2,0.4,2.4000000000000004,2022-04-14,129,146,2022-04-26,12,1,1,1,1
1,1,24,HR_121,HR_105,n,7,TRUE,FALSE,TRUE,7,7,NA,2021-12-06,2021-11-19,NA,NA,NA,NA,NA,NA,2022-04-20,2022-04-26,2022-05-05,NA,NA,NA,NA,2022-04-20,3,1,0,4,0,13,4.333333333333333,17.333333333333332,2022-04-20,135,152,2022-05-05,15,1,1,1,1
1,1,25,HR_062,HR_134,n,4,TRUE,FALSE,TRUE,4,4,NA,2021-12-06,2021-11-19,NA,NA,NA,NA,NA,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-04-14,7,0,0,7,0,2,0.2857142857142857,2,2022-04-14,129,146,2022-04-26,12,1,1,1,1
1,1,28,HR_005,HR_040,R,5,TRUE,TRUE,TRUE,5,"5,3,7",NA,2021-12-06,2021-11-19,NA,NA,NA,NA,2022-04-07,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-04-14,5,1,0,6,0,2,0.4,2.4000000000000004,2022-04-07,122,139,2022-04-26,19,1,1,1,1
1,1,29,HR_149,HR_007,n,6,TRUE,FALSE,TRUE,6,6,NA,2021-12-06,2021-11-19,NA,NA,NA,NA,2022-04-07,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-04-26,7,2,0,9,0,8,1.1428571428571428,10.285714285714285,2022-04-07,122,139,2022-04-26,19,1,1,1,1
1,1,30,HR_131,HR_113,n,5,TRUE,FALSE,TRUE,5,5,NA,2021-12-06,2021-11-19,NA,NA,NA,NA,2022-04-07,2022-04-14,2022-04-20,2022-04-26,2022-05-05,2022-05-11,NA,NA,NA,2022-04-20,27,0,0,27,0,6,0.2222222222222222,6,2022-04-07,122,139,2022-05-11,34,1,1,1,1
1,1,31,HR_157,HR_095,n,8,TRUE,FALSE,TRUE,8,8,NA,2021-12-06,2021-11-19,NA,NA,NA,NA,NA,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-04-14,8,0,0,8,0,6,0.75,6,2022-04-14,129,146,2022-04-26,12,1,1,1,1
1,1,32,HR_131,HR_049,n,3,TRUE,FALSE,TRUE,3,3,NA,2021-12-06,2021-11-19,NA,NA,NA,NA,2022-04-07,2022-04-14,2022-04-20,2022-04-26,2022-05-05,2022-05-11,NA,NA,NA,2022-04-07,11,0,0,11,0,4,0.36363636363636365,4,2022-04-07,122,139,2022-05-11,34,1,1,1,1
1,1,33,HR_062,HR_136,n,3,TRUE,FALSE,TRUE,3,3,NA,2021-12-06,2021-11-19,NA,NA,NA,NA,NA,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-04-14,13,0,0,13,0,3,0.23076923076923078,3,2022-04-14,129,146,2022-04-26,12,1,1,1,1
1,1,34,HR_110,HR_032,n,4,TRUE,FALSE,TRUE,4,4,NA,2021-12-06,2021-11-19,NA,NA,NA,NA,2022-04-07,2022-04-14,2022-04-20,2022-04-26,2022-05-05,NA,NA,NA,NA,2022-04-07,9,2,0,11,0,6,0.6666666666666666,7.333333333333333,2022-04-07,122,139,2022-05-05,28,1,1,1,1
1,1,35,HR_057,HR_110,n,6,TRUE,FALSE,TRUE,6,6,NA,2021-12-06,2021-11-19,NA,NA,NA,NA,2022-04-07,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-04-07,7,2,0,9,0,8,1.1428571428571428,10.285714285714285,2022-04-07,122,139,2022-04-26,19,1,1,1,1
1,1,36,HR_059,HR_011,n,8,TRUE,FALSE,TRUE,8,8,NA,2021-12-06,2021-11-19,NA,NA,NA,NA,2022-04-07,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-04-07,11,0,0,11,0,16,1.4545454545454546,16,2022-04-07,122,139,2022-04-26,19,1,1,1,1
1,1,37,HR_095,HR_178,n,6,TRUE,FALSE,TRUE,6,6,NA,2021-12-06,2021-11-19,NA,NA,NA,NA,2022-04-07,2022-04-14,2022-04-20,2022-04-26,2022-05-05,NA,NA,NA,NA,2022-04-07,10,7,0,17,0,11,1.1,18.700000000000003,2022-04-07,122,139,2022-05-05,28,1,1,1,1
1,1,38,HR_155,HR_047,n,2,TRUE,FALSE,TRUE,2,2,NA,2021-11-19,2021-11-19,NA,NA,NA,NA,2022-04-07,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-04-07,9,0,0,9,0,8,0.8888888888888888,8,2022-04-07,139,139,2022-04-26,19,1,1,1,1
1,1,39,HR_070,HR_123,n,5,TRUE,FALSE,TRUE,5,5,NA,2021-12-06,2021-11-19,NA,NA,NA,NA,2022-04-07,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-04-14,8,2,0,10,0,4,0.5,5,2022-04-07,122,139,2022-04-26,19,1,1,1,1
1,1,40,HR_053,HR_092,n,1,TRUE,FALSE,TRUE,1,1,NA,2021-12-06,2021-11-19,NA,NA,NA,NA,NA,2022-04-14,2022-04-20,2022-04-26,2022-05-05,NA,NA,NA,NA,2022-04-14,9,0,0,9,0,1,0.1111111111111111,1,2022-04-14,129,146,2022-05-05,21,1,1,1,1
1,1,41,HR_110,HR_039,n,1,TRUE,FALSE,TRUE,1,1,NA,2021-12-06,2021-11-19,NA,NA,NA,NA,2022-04-07,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-04-07,5,0,0,5,0,7,1.4,7,2022-04-07,122,139,2022-04-26,19,1,1,1,1
1,1,42,HR_160,HR_173,n,5,TRUE,FALSE,TRUE,5,5,NA,2021-12-06,2021-11-19,NA,NA,NA,NA,NA,2022-04-14,NA,2022-04-26,NA,NA,NA,NA,NA,2022-04-14,1,0,0,1,0,0,0,0,2022-04-14,129,146,2022-04-26,12,1,1,1,0
1,1,43,HR_189,HR_018,n,8,TRUE,FALSE,TRUE,8,8,NA,2021-12-17,2021-11-19,NA,NA,NA,NA,2022-04-07,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-04-07,0,0,0,0,0,NA,0,0,2022-04-07,111,139,2022-04-26,19,1,1,0,0
1,1,44,HR_115,HR_026,n,4,TRUE,FALSE,TRUE,4,4,NA,2021-12-06,2021-11-19,NA,NA,NA,NA,NA,2022-04-14,2022-04-20,NA,NA,NA,NA,NA,NA,NA,3,0,0,3,0,1,0.3333333333333333,1,2022-04-14,129,146,2022-04-20,6,1,1,1,1
1,1,45,HR_110,HR_037,n,5,TRUE,FALSE,TRUE,5,5,NA,2021-11-19,2021-11-19,NA,NA,NA,NA,2022-04-07,2022-04-14,2022-04-20,2022-04-26,2022-05-05,NA,NA,NA,NA,2022-04-14,8,0,0,8,0,11,1.375,11,2022-04-07,139,139,2022-05-05,28,1,1,1,1
1,1,46,HR_006,HR_162,R,2,TRUE,TRUE,TRUE,2,"5,2,8",NA,2021-12-06,2021-11-19,NA,NA,NA,NA,NA,2022-04-14,2022-04-20,2022-04-26,2022-05-05,NA,NA,NA,NA,2022-04-14,10,0,0,10,10,0,0,0,2022-04-14,129,146,2022-05-05,21,1,1,1,0
1,2,47,HR_100,HR_195,n,3,TRUE,FALSE,TRUE,3,3,NA,2021-11-19,2021-11-19,NA,NA,NA,NA,NA,2022-04-14,2022-04-20,NA,NA,NA,NA,NA,NA,2022-04-14,7,1,0,8,4,11,1.5714285714285714,12.571428571428571,2022-04-14,146,146,2022-04-20,6,1,1,1,1
1,2,48,HR_088,HR_014,n,6,TRUE,FALSE,TRUE,6,6,NA,2021-12-06,2021-11-19,NA,NA,NA,2022-03-31,2022-04-07,2022-04-14,2022-04-20,NA,NA,NA,NA,NA,NA,2022-03-31,0,0,0,0,0,NA,0,0,2022-03-31,115,132,2022-04-20,20,1,1,0,0
1,2,49,HR_148,HR_050,n,1,TRUE,FALSE,TRUE,1,1,NA,2021-11-19,2021-11-19,NA,NA,2022-03-24,2022-03-31,2022-04-07,2022-04-14,NA,NA,NA,NA,NA,NA,NA,2022-03-24,11,1,0,12,5,14,1.2727272727272727,15.272727272727273,2022-03-24,125,125,2022-04-14,21,1,1,1,1
1,2,50,HR_175,HR_027,n,8,TRUE,FALSE,TRUE,8,8,NA,2021-12-06,2021-11-19,NA,NA,2022-03-24,2022-03-31,2022-04-07,2022-04-14,2022-04-20,NA,NA,NA,NA,NA,NA,2022-03-24,0,0,0,0,0,NA,0,0,2022-03-24,108,125,2022-04-20,27,1,1,0,0
1,2,51,HR_157,HR_085,n,4,TRUE,FALSE,TRUE,4,4,NA,2021-12-06,2021-11-19,NA,NA,2022-03-24,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-03-24,30,5,0,35,12,42,1.4,49,2022-03-24,108,125,2022-04-26,33,1,1,1,1
1,2,52,HR_141,HR_015,R,6,TRUE,TRUE,TRUE,6,"6,3,7",NA,2021-12-06,2021-11-19,NA,NA,NA,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-03-31,5,7,0,12,0,5,1,12,2022-03-31,115,132,2022-04-26,26,1,1,1,1
1,2,53,HR_034,HR_112,R,3,TRUE,TRUE,TRUE,3,"5,3,7",NA,2021-12-06,2021-11-19,NA,NA,2022-03-24,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-03-31,31,4,0,35,0,67,2.161290322580645,75.64516129032258,2022-03-24,108,125,2022-04-26,33,1,1,1,1
1,2,54,HR_005,HR_149,R,1,TRUE,TRUE,TRUE,1,"1,2,4",NA,2021-12-06,2021-11-19,NA,NA,NA,NA,2022-04-07,2022-04-14,2022-04-20,2022-04-26,2022-05-05,NA,NA,NA,NA,2022-04-07,29,0,0,29,0,5,0.1724137931034483,5,2022-04-07,122,139,2022-05-05,28,1,1,1,1
1,2,55,HR_027,HR_119,R,5,TRUE,TRUE,TRUE,5,"1,5,8",NA,2021-12-06,2021-11-19,NA,NA,2022-03-24,2022-03-31,2022-04-07,2022-04-14,2022-04-20,NA,NA,NA,NA,NA,NA,2022-03-24,14,1,0,15,0,29,2.0714285714285716,31.071428571428573,2022-03-24,108,125,2022-04-20,27,1,1,1,1
1,2,56,HR_085,HR_107,n,6,TRUE,FALSE,TRUE,6,6,NA,2021-11-19,2021-11-19,NA,NA,NA,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,2022-05-05,NA,NA,NA,NA,2022-03-31,18,0,0,18,1,15,0.8333333333333334,15,2022-03-31,132,132,2022-05-05,35,1,1,1,1
1,2,57,HR_133,HR_072,n,7,TRUE,FALSE,TRUE,7,7,NA,2021-12-06,2021-11-19,NA,NA,2022-03-24,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-03-31,19,0,0,19,10,20,1.0526315789473684,20,2022-03-24,108,125,2022-04-26,33,1,1,1,1
1,2,58,HR_133,HR_161,n,8,TRUE,FALSE,TRUE,8,8,NA,2021-12-06,2021-11-19,NA,NA,2022-03-24,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-03-24,21,2,0,23,6,63,3,69,2022-03-24,108,125,2022-04-26,33,1,1,1,1
1,2,59,HR_085,HR_035,n,6,TRUE,FALSE,TRUE,6,6,NA,2021-12-06,2021-11-19,NA,NA,2022-03-24,2022-03-31,2022-04-07,2022-04-14,2022-04-20,NA,NA,NA,NA,NA,NA,2022-03-31,6,0,0,6,4,4,0.6666666666666666,4,2022-03-24,108,125,2022-04-20,27,1,1,1,1
1,2,60,HR_090,HR_126,n,7,TRUE,FALSE,TRUE,7,7,NA,2021-12-17,2021-11-19,NA,NA,2022-03-24,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-03-24,21,0,0,21,0,36,1.7142857142857142,36,2022-03-24,97,125,2022-04-26,33,1,1,1,1
1,2,61,HR_053,HR_169,n,5,TRUE,FALSE,TRUE,5,5,NA,2021-12-06,2021-11-19,NA,NA,2022-03-24,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-03-24,44,5,0,49,0,70,1.5909090909090908,77.95454545454545,2022-03-24,108,125,2022-04-26,33,1,1,1,1
1,2,62,HR_125,HR_034,n,5,TRUE,FALSE,TRUE,5,5,NA,2021-12-06,2021-11-19,NA,NA,NA,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-03-31,22,6,0,28,1,36,1.6363636363636365,45.81818181818182,2022-03-31,115,132,2022-04-26,26,1,1,1,1
1,2,63,HR_164,HR_201,n,6,TRUE,FALSE,TRUE,6,6,NA,2021-12-06,2021-11-19,NA,NA,NA,2022-03-31,NA,2022-04-14,2022-04-20,NA,NA,NA,NA,NA,NA,2022-03-31,13,3,0,16,6,21,1.6153846153846154,25.846153846153847,2022-03-31,115,132,2022-04-20,20,1,1,1,1
1,2,64,HR_034,HR_080,R,1,TRUE,TRUE,TRUE,1,"1,5,6",NA,2021-12-06,2021-11-19,NA,NA,NA,2022-03-31,2022-04-07,NA,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-04-07,11,0,0,11,0,11,1,11,2022-03-31,115,132,2022-04-26,26,1,1,1,1
1,2,65,HR_155,HR_121,n,1,TRUE,FALSE,TRUE,1,1,NA,2021-12-06,2021-11-19,NA,NA,NA,2022-03-31,2022-04-07,2022-04-14,2022-04-20,NA,NA,NA,NA,NA,NA,2022-03-31,8,0,0,8,0,7,0.875,7,2022-03-31,115,132,2022-04-20,20,1,1,1,1
1,2,66,HR_168,HR_101,R,3,TRUE,TRUE,TRUE,3,"6,3,4",NA,2021-12-06,2021-11-19,NA,NA,NA,NA,2022-04-07,2022-04-14,2022-04-20,NA,NA,NA,NA,NA,NA,2022-04-07,7,2,0,9,7,13,1.8571428571428572,16.714285714285715,2022-04-07,122,139,2022-04-20,13,1,1,1,1
1,2,67,HR_053,HR_038,n,8,TRUE,FALSE,TRUE,8,8,NA,2021-12-06,2021-11-19,NA,NA,NA,2022-03-31,2022-04-07,2022-04-14,2022-04-20,NA,NA,NA,NA,NA,NA,2022-03-31,12,5,0,17,0,8,0.6666666666666666,11.333333333333332,2022-03-31,115,132,2022-04-20,20,1,1,1,1
1,2,68,HR_005,HR_180,R,6,TRUE,TRUE,TRUE,6,"2,6,7",NA,2021-12-06,2021-11-19,NA,NA,NA,NA,2022-04-07,2022-04-14,2022-04-20,NA,NA,NA,NA,NA,NA,2022-04-07,5,0,0,5,0,8,1.6,8,2022-04-07,122,139,2022-04-20,13,1,1,1,1
