Transect,Recipient,ALL Fitness Plants,SINGLE Fitness Plant,Replicated?,NOTES,,
1,HR_10,5,5,,,,
1,HR_105,7,7,,,,
1,HR_108,1,1,,,,
1,HR_11,8,8,,,,
1,HR_110,6,6,,,,
1,HR_113,5,5,,,,
1,HR_114,7,7,,,,
1,HR_115,6,6,,,,
1,HR_123,5,5,,,,
1,HR_134,4,4,,,,
1,HR_136,3,3,,,,
1,HR_146,"6,3,8",8,R,,,
1,HR_148,"5,6",5,R,,,
1,HR_158,4,4,,,,
1,HR_16,4,4,,,,
1,HR_162,"5,2,8",2,R,,,
1,HR_170,5,5,,,,
1,HR_173,5,5,,,,
1,HR_175,6,6,,,,
1,HR_176,7,7,,,,
1,HR_177,3,3,,,,
1,HR_178,6,6,,,,
1,HR_18,8,8,,,,
1,HR_183,2,2,,,,
1,HR_196,5,5,,,,
1,HR_20,8,8,,,,
1,HR_25,,NA,,,,
1,HR_26,4,4,,,,
1,HR_32,4,4,,,,
1,HR_33,5,5,,,,
1,HR_36,4,4,,,,
1,HR_37,5,5,,,,
1,HR_39,1,1,,,,
1,HR_40,"5,3,7",5,R,,,
1,HR_41,3,3,,,,
1,HR_46,6,6,,,,
1,HR_47,2,2,,,,
1,HR_49,3,3,,,,
1,HR_5,4,4,,,,
1,HR_57,4,4,,,,
1,HR_58,2,2,,,,
1,HR_61,2,2,,,,
1,HR_7,6,6,,,,
1,HR_83,,NA,,,,
1,HR_92,1,1,,,,
1,HR_95,8,8,,,,
2,HR_101,"6,3,4",3,R,,,
2,HR_104,4,4,,,,
2,HR_107,6,6,,,,
2,HR_109,8,8,,,,
2,HR_112,"5,3,7",3,R,,,
2,HR_119,"1,5,8",5,R,,,
2,HR_12,7,7,,,,
2,HR_121,1,1,,,,
2,HR_126,7,7,,,,
2,HR_129,1,1,,,,
2,HR_133,6,6,,,,
2,HR_137,8,8,,,,
2,HR_14,6,6,,,,
2,HR_142,"1,3,4",4,R,,,
2,HR_145,"5,6,3",3,R,,,
2,HR_149,"1,2,4",1,R,,,
2,HR_15,"6,3,7",6,R,,,
2,HR_153,4,4,,,,
2,HR_161,8,8,,,,
2,HR_164,3,3,,,,
2,HR_165,8,8,,,,
2,HR_169,5,5,,,,
2,HR_180,"2,6,7",6,R,,,
2,HR_195,3,3,,,,
2,HR_201,6,6,,,,
2,HR_23,2,2,,,,
2,HR_27,8,8,,,,
2,HR_34,5,5,,,,
2,HR_35,6,6,,,,
2,HR_38,8,8,,,,
2,HR_43,"1,5,4",4,R,,,
2,HR_50,1,1,,,,
2,HR_51,3,3,,,,
2,HR_54,1,1,,,,
2,HR_59,"1,5,8",5,R,,,
2,HR_6,6,6,,,,
2,HR_62,5,5,,,,
2,HR_64,"6,7,8",8,R,,,
2,HR_71,"5,2,7",7,R,,,
2,HR_72,7,7,,,,
2,HR_73,3,3,,,,
2,HR_78,2,2,,,,
2,HR_80,"1,5,6",1,R,,,
2,HR_85,4,4,,,,
2,HR_86,1,1,,,,
2,HR_88,8,8,,,,
3,HR_1,7,7,,,,
3,HR_103,2,2,,,,
3,HR_111,3,3,,,,
3,HR_116,5,5,,,,
3,HR_118,8,8,,,,
3,HR_124,6,6,,,,
3,HR_127,7,7,,,,
3,HR_131,6,6,,,,
3,HR_135,4,4,,,,
3,HR_139,2,2,,,,
3,HR_141,5,5,,,,
3,HR_147,7,7,,,,
3,HR_150,2,2,,,,
3,HR_152,1,1,,,,
3,HR_155,7,7,,,,
3,HR_156,5,5,,,,
3,HR_159,3,3,,,,
3,HR_166,4,4,,,,
3,HR_168,4,4,,,,
3,HR_17,"7,4,8",8,R,,,
3,HR_174,7,7,,,,
3,HR_179,7,7,,,,
3,HR_181,5,5,,,,
3,HR_182,3,3,,,,
3,HR_184,"2,6,3",6,R,,,
3,HR_19,5,5,,Two fitness plants? 1 and 5 originally recorded,,
3,HR_190,4,4,,,,
3,HR_192,1,1,,,,
3,HR_193,6,6,,,,
3,HR_197,3,3,,,,
3,HR_21,4,4,,,,
3,HR_28,1,1,,,,
3,HR_4,3,3,,,,
3,HR_42,7,7,,,,
3,HR_44,"1,4,8",8,R,,,
3,HR_53,3,3,,,,
3,HR_56,"2,6,7",7,R,,,
3,HR_65,6,6,,,,
3,HR_66,7,7,,,,
3,HR_67,5,5,,,,
3,HR_68,2,2,,,,
3,HR_70,7,7,,,,
3,HR_79,4,4,,,,
3,HR_87,7,7,,,,
3,HR_9,8,8,,,,
4,HR_107,7,7,,,,
4,HR_108,2,2,,,,
4,HR_11,4,4,,,,
4,HR_118,1,1,,,,
4,HR_12,1,1,,,,
4,HR_126,8,8,,,,
4,HR_136,3,3,,,,
4,HR_139,6,6,,,,
4,HR_141,4,4,,,,
4,HR_145,"1,6,3",6,R,,,
4,HR_146,"1,5,7",7,R,,,
4,HR_147,5,5,,,,
4,HR_150,5,5,,,,
4,HR_156,6,6,,,,
4,HR_158,7,7,,,,
4,HR_164,1,1,,,,
4,HR_166,6,6,,,,
4,HR_168,4,4,,,,
4,HR_169,5,5,,,,
4,HR_17,"2,6,3",3,R,,,
4,HR_175,6,6,,,,
4,HR_184,"2,6,8",8,R,,,
4,HR_192,6,6,,,,
4,HR_193,3,3,,,,
4,HR_196,1,1,,,,
4,HR_34,7,7,,,,
4,HR_35,8,8,,,,
4,HR_36,8,8,,,,
4,HR_39,6,6,,,,
4,HR_4,3,3,,,,
4,HR_40,"5,2,8",5,R,,,
4,HR_42,8,8,,,,
4,HR_49,4,4,,,,
4,HR_5,8,8,,,,
4,HR_53,7,7,,,,
4,HR_58,2,2,,,,
4,HR_61,3,3,,,,
4,HR_64,"2,7,4",4,R,,,
4,HR_67,3,3,,,,
4,HR_7,7,7,,,,
4,HR_70,5,5,,,,
4,HR_71,"5,2,4",5,R,,,
4,HR_78,5,5,,,,
4,HR_80,"1,5,2",5,R,,,
4,HR_83,4,4,,,,
4,HR_85,5,5,,,,
5,HR_1,5,5,,,,
5,HR_103,8,8,,,,
5,HR_109,8,8,,,,
5,HR_110,4,4,,,,
5,HR_119,"1,2,7",1,R,,,
5,HR_123,6,6,,,,
5,HR_124,6,6,,,,
5,HR_127,1,1,,,,
5,HR_131,2,2,,,,
5,HR_133,5,5,,,,
5,HR_134,8,8,,,,
5,HR_142,"5,2,6",6,R,,,
5,HR_152,7,7,,,,
5,HR_153,1,1,,,,
5,HR_162,"1,2,6",6,R,,,
5,HR_165,5,5,,,,
5,HR_170,4,4,,,,
5,HR_173,,NA,,**Why is there no fitness plant here? 2 or 3? No fruit collected from either.,,
5,HR_176,6,6,,,,
5,HR_177,6,6,,,,
5,HR_180,"2,4,8",8,R,,,
5,HR_181,6,6,,,,
5,HR_183,3,3,,,,
5,HR_197,1,1,,,,
5,HR_20,6,6,,,,
5,HR_201,6,6,,,,
5,HR_21,1,1,,,,
5,HR_33,6,6,,,,
5,HR_43,"1,2,7",1,R,,,
5,HR_44,"5,6,3",3,R,,,
5,HR_46,4,4,,,,
5,HR_47,5,5,,,,
5,HR_50,6,6,,,,
5,HR_54,5,5,,,,
5,HR_56,"3,7,4",7,R,,,
5,HR_57,5,5,,,,
5,HR_6,1,1,,,,
5,HR_62,2,2,,,,
5,HR_65,4,4,,,,
5,HR_66,3,3,,,,
5,HR_68,7,7,,,,
5,HR_72,6,6,,,,
5,HR_73,5,5,,,,
5,HR_86,3,3,,,,
5,HR_87,3,3,,,,
5,HR_9,6,6,,,,
6,HR_10,,NA,,**No fitness plant?,,
6,HR_101,"1,2,4",4,R,,,
6,HR_104,2,2,,,,
6,HR_105,1,1,,,,
6,HR_111,4,4,,**Why is there no fitness plant here? 6 or 7?,,
6,HR_112,"1,7,8",7,R,,,
6,HR_113,5,5,,,,
6,HR_114,7,7,,,,
6,HR_115,6,6,,,,
6,HR_116,3,3,,,,
6,HR_121,7,7,,,,
6,HR_129,7,7,,,,
6,HR_135,3,3,,,,
6,HR_137,4,4,,,,
6,HR_14,5,5,,,,
6,HR_148,"6,3,4",4,R,,,
6,HR_149,"3,6,7",3,R,,,
6,HR_15,"2,6,7",7,R,,,
6,HR_155,4,4,,,,
6,HR_159,4,4,,,,
6,HR_16,8,8,,,,
6,HR_161,7,7,,,,
6,HR_174,7,7,,,,
6,HR_178,2,2,,,,
6,HR_179,6,6,,,,
6,HR_18,4,4,,,,
6,HR_182,6,6,,,,
6,HR_19,4,4,,Two plants - 4 and 8 - recorded originally,,
6,HR_190,4,4,,,,
6,HR_195,5,5,,,,
6,HR_23,3,3,,,,
6,HR_25,3,3,,,,
6,HR_26,2,2,,,,
6,HR_27,5,5,,,,
6,HR_28,1,1,,,,
6,HR_32,3,3,,,,
6,HR_37,6,6,,,,
6,HR_38,7,7,,,,
6,HR_41,6,6,,Two plants recorded originally - 5 and 6,,
6,HR_51,6,6,,,,
6,HR_59,"3,4,8",4,R,,,
6,HR_79,NA,1,,Fitness plant chosen in field but never recorded.,,
6,HR_88,2,2,,,,
6,HR_92,3,3,,,,
6,HR_95,6,6,,,,
7,HR_1,5,5,,,,
7,HR_10,1,1,,,,
7,HR_104,5,5,,,,
7,HR_112,"2,3,4",3,R,,,
7,HR_114,3,3,,,,
7,HR_124,8,8,,,,
7,HR_127,2,2,,,,
7,HR_131,1,1,,,,
7,HR_134,5,5,,,,
7,HR_136,2,2,,,,
7,HR_137,5,5,,,,
7,HR_142,"5,7,8",5,R,,,
7,HR_147,2,2,,,,
7,HR_148,"1,7,4",7,R,,,
7,HR_15,"1,2,6",2,R,,,
7,HR_152,2,2,,,,
7,HR_155,1,1,,,,
7,HR_156,7,7,,,,
7,HR_161,4,4,,,,
7,HR_165,3,3,,,,
7,HR_17,"1,5,3",3,R,,,
7,HR_173,3,3,,,,
7,HR_175,7,7,,,,
7,HR_179,5,5,,,,
7,HR_180,"5,4,8",5,R,,,
7,HR_182,7,7,,,,
7,HR_183,1,1,,,,
7,HR_184,"6,7,4",7,R,,,
7,HR_192,1,1,,Two fitness plants originally recorded - 1 and 7. F plant chosen as plant 1 - no collections from plant 7 ever made.,,
7,HR_201,4,4,,,,
7,HR_23,3,3,,,,
7,HR_28,6,6,,,,
7,HR_32,1,1,,,,
7,HR_46,4,4,,,,
7,HR_49,1,1,,,,
7,HR_5,3,3,,,,"**IDs that had two fitness plants (and were not supposed to) are noted below; in these cases, one of the two fitness plants was randomly selected. Please revise as needed"
7,HR_54,4,4,,,,
7,HR_56,"1,5,8",5,R,,,
7,HR_57,2,2,,,,
7,HR_58,2,2,,,,
7,HR_59,"5,7,4",7,R,,,
7,HR_61,3,3,,,,
7,HR_65,1,1,,,,
7,HR_67,5,5,,,,
7,HR_70,2,2,,Two plants recorded - 2 and 6,,
7,HR_78,3,3,,,,
8,HR_109,3,3,,,,
8,HR_110,1,1,,,,
8,HR_111,1,1,,,,
8,HR_115,6,6,,,,
8,HR_116,7,7,,,,
8,HR_119,"5,6,3",6,R,,,
8,HR_12,1,1,,,,
8,HR_121,1,1,,,,
8,HR_133,5,5,,,,
8,HR_139,1,1,,,,
8,HR_14,1,1,,,,
8,HR_141,6,6,,,,
8,HR_145,"1,3,4",4,R,,,
8,HR_150,2,2,,,,
8,HR_153,3,3,,,,
8,HR_158,3,3,,,,
8,HR_162,"2,7,8",7,R,,,
8,HR_164,3,3,,,,
8,HR_166,3,3,,,,
8,HR_168,2,2,,,,
8,HR_169,6,6,,,,
8,HR_176,8,8,,,,
8,HR_177,2,2,,,,
8,HR_178,6,6,,,,
8,HR_18,6,6,,,,
8,HR_181,6,6,,,,
8,HR_19,3,3,,,,
8,HR_20,7,7,,,,
8,HR_25,,NA,,,,
8,HR_26,2,2,,,,
8,HR_33,7,7,,,,
8,HR_34,6,6,,Two plants recorded originally - 1 and 6,,
8,HR_40,"2,4,8",8,R,,,
8,HR_41,6,6,,,,
8,HR_42,8,8,,,,
8,HR_51,8,8,,,,
8,HR_6,1,1,,,,
8,HR_64,"1,3,8",1,R,,,
8,HR_68,7,7,,,,
8,HR_7,3,3,,,,
8,HR_71,"1,5,3",5,R,,,
8,HR_72,5,5,,,,
8,HR_79,8,8,,,,
8,HR_83,5,5,,,,
8,HR_88,5,5,,,,
8,HR_92,2,2,,,,
9,HR_101,"6,3,8",6,R,,,
9,HR_103,1,1,,,,
9,HR_105,5,5,,,,
9,HR_107,1,1,,,,
9,HR_108,1,1,,,,
9,HR_11,8,8,,,,
9,HR_113,4,4,,,,
9,HR_118,1,1,,,,
9,HR_123,8,8,,,,
9,HR_126,8,8,,,,
9,HR_129,1,1,,,,
9,HR_135,2,2,,,,
9,HR_146,"5,2,6",5,R,,,
9,HR_149,"1,6,7",7,R,,,
9,HR_159,5,5,,Two plants recorded originally - 5 and 2,,
9,HR_16,2,2,,,,
9,HR_170,7,7,,,,
9,HR_174,6,6,,,,
9,HR_190,7,7,,,,
9,HR_193,1,1,,,,
9,HR_195,7,7,,,,
9,HR_196,6,6,,,,
9,HR_197,4,4,,,,
9,HR_21,8,8,,,,
9,HR_27,3,3,,,,
9,HR_35,3,3,,**Fitness plant updated to plant 3. Two fitness palnts - 1 and 3 recorded originally,,
9,HR_36,8,8,,fruits from 2 were also collected multiple times,,
9,HR_37,6,6,,**Fitness Plant changed from 2 to 6. Two fitness palnts - 2 and 6 recorded originally,,
9,HR_38,7,7,,,,
9,HR_39,2,2,,,,
9,HR_4,4,4,,,,
9,HR_43,"3,4,8",4,R,,,
9,HR_44,"1,6,8",6,R,,,
9,HR_47,7,7,,,,
9,HR_50,7,7,,,,
9,HR_53,4,4,,,,
9,HR_62,5,5,,,,
9,HR_66,5,5,,,,
9,HR_73,4,4,,,,
9,HR_80,"5,3,4",4,R,,,
9,HR_85,8,8,,fruits from 4 were also collected multiple times,,
9,HR_86,3,3,,,,
9,HR_87,4,4,,,,
9,HR_9,7,7,,,,
9,HR_95,3,3,,,,
W1,HR_101,"1,2,7",NA,R,,,
W1,HR_112,"1,5,7",NA,R,,,
W1,HR_119,"2,6,7",NA,R,,,
W1,HR_142,"1,6,4",NA,R,,,
W1,HR_145,"5,3,4",NA,R,,,
W1,HR_146,"2,7,8",NA,R,,,
W1,HR_148,"2,6,8",NA,R,,,
W1,HR_149,"2,7,8",NA,R,,,
W1,HR_15,"1,5,8",NA,R,,,
W1,HR_162,"3,7,8",NA,R,,,
W1,HR_17,"1,4,8",NA,R,,,
W1,HR_180,"3,7,4",NA,R,,,
W1,HR_184,"2,6,4",NA,R,,,
W1,HR_40,"6,3,7",NA,R,,,
W1,HR_43,"1,2,7",NA,R,,,
W1,HR_44,"1,2,6",NA,R,,,
W1,HR_56,"1,6,3",NA,R,,,
W1,HR_59,"2,6,7",NA,R,,,
W1,HR_64,"2,4,8",NA,R,,,
W1,HR_71,"1,3,4",NA,R,,,
W1,HR_80,"1,2,8",NA,R,,,
W2,HR_101,"5,3,7",NA,R,,,
W2,HR_112,"5,2,3",NA,R,,,
W2,HR_119,"5,3,4",NA,R,,,
W2,HR_142,"5,6,8",NA,R,,,
W2,HR_145,"2,6,4",NA,R,,,
W2,HR_146,"1,7,8",NA,R,,,
W2,HR_148,"1,3,4",NA,R,,,
W2,HR_149,"2,7,4",NA,R,,,
W2,HR_15,"1,7,8",NA,R,,,
W2,HR_162,"1,2,3",NA,R,,,
W2,HR_17,"1,3,8",NA,R,,,
W2,HR_180,"2,4,8",NA,R,,,
W2,HR_184,"1,5,8",NA,R,,,
W2,HR_40,"1,5,7",NA,R,,,
W2,HR_43,"6,4,8",NA,R,,,
W2,HR_44,"3,7,4",NA,R,,,
W2,HR_56,"2,4,8",NA,R,,,
W2,HR_59,"1,5,6",NA,R,,,
W2,HR_64,"3,7,4",NA,R,,,
W2,HR_71,"3,4,8",NA,R,,,
W2,HR_80,"5,6",NA,R,,,
