,,,,,,,,,,,,,,Collection Date: 2022-05-13 to 2022-05-16,,,Collection Date: 2022-05-24 to 2022-05-26,,,Collection Date: 2022-06-06 to 2022-06-08,,,Collection Date: 2022-06-22,,,Collection Date: NA,,
88,3,AC_216,AC_216,1,4,1,3,5,0.75,3.75,11/04/2021,,-44504,,,,2,,2,2,,1,,,,,,
88,3,AC_216,AC_216,5,14,2,32,16,2.285714286,36.57142857,11/04/2021,,-44504,,,,6,,19,6,,11,2,,2,,,
88,3,AC_216,AC_216,10,4,0,10,4,2.5,10,11/04/2021,,-44504,,,,1,,2,3,,8,,,,,,
97,3,AC_217,AC_217,5,4,3,13,7,3.25,22.75,11/04/2021,,-44504,,,,4,,13,,,,,,,,,
97,3,AC_217,AC_217,10,7,2,17,9,2.428571429,21.85714286,11/04/2021,,-44504,,,,7,,17,,,,,,,,,
111,4,AC_10,AC_010,7,1,2,0,3,0,0,,,0,,,,1,,0,,,,,,,,,
135,4,AC_14,AC_014,1,5,1,12,6,2.4,14.4,,,0,,,,4,,11,1,,1,,,,,,
114,4,AC_16,AC_016,2,4,4,11,8,2.75,22,,,0,,,,,,,4,,11,,,,,,
109,4,AC_32,AC_032,5,3,5,14,8,4.666666667,37.33333333,,,0,,,,,,,3,,14,,,,,,
125,4,AC_34,AC_034,1,6,1,6,7,1,7,,,0,,,,4,,5,2,,1,,,,,,
125,4,AC_34,AC_034,4,5,12,35,17,7,119,,,0,,,,,,,5,,5,,,,8,,30
125,4,AC_34,AC_034,7,6,5,11,11,1.833333333,20.16666667,,,0,,,,4,,6,2,,5,,,,,,
116,4,AC_40,AC_040,2,7,7,12,14,1.714285714,24,,,0,,,,,,,7,,12,,,,,,
116,4,AC_40,AC_040,7,13,4,30,17,2.307692308,39.23076923,,,0,,,,,,,13,,30,,,,,,
116,4,AC_40,AC_040,8,10,5,14,15,1.4,21,,,0,,,,,,,10,,14,,,,,,
126,4,AC_46,AC_046,8,10,3,14,13,1.4,18.2,,,0,1,,0,4,,11,5,,3,,,,,,
113,4,AC_55,AC_055,1,9,9,14,18,1.555555556,28,,,0,,,,2,,3,7,,11,,,,,,
113,4,AC_55,AC_055,2,16,11,28,27,1.75,47.25,,,0,,,,1,,6,15,,22,,,,,,
113,4,AC_55,AC_055,3,14,11,34,25,2.428571429,60.71428571,,,0,,,,,,,11,,30,3,,4,,,
132,4,AC_58,AC_058,4,25,5,31,30,1.24,37.2,,,0,,,,5,,6,13,,17,7,,8,,,
132,4,AC_58,AC_058,7,35,9,82,44,2.342857143,103.0857143,,,0,,,,15,,27,13,,53,7,,2,,,
132,4,AC_58,AC_058,8,13,2,41,15,3.153846154,47.30769231,,,0,,,,8,,30,5,,11,,,,,,
137,4,AC_70,AC_070,4,3,2,7,5,2.333333333,11.66666667,,,0,,,,3,,7,,,,,,,,,
137,4,AC_70,AC_070,5,9,4,28,13,3.111111111,40.44444444,,,0,,,,4,,20,5,,8,,,,,,
137,4,AC_70,AC_070,7,1,4,0,5,0,0,,,0,,,,,,,1,,0,,,,,,
131,4,AC_72,AC_072,2,14,12,23,26,1.642857143,42.71428571,,,0,,,,10,,15,4,,8,,,,,,
134,4,AC_83,AC_083,3,2,1,5,3,2.5,7.5,,,0,,,,,,,2,,5,,,,,,
118,4,AC_88,AC_088,6,7,6,7,13,1,13,,,0,,,,,,,7,,7,,,,,,
119,4,AC_92,AC_092,2,7,0,5,7,0.7142857143,5,,,0,,,,3,,1,4,,4,,,,,,
133,4,AC_109,AC_109,3,33,10,143,43,4.333333333,186.3333333,,,0,,,,13,,56,20,,87,,,,,,
133,4,AC_109,AC_109,6,23,10,112,33,4.869565217,160.6956522,,,0,,,,14,,84,8,,26,1,,2,,,
124,4,AC_113,AC_113,8,0,0,0,0,#DIV/0!,#DIV/0!,,,0,,,,,,,,,,,,,,,
139,4,AC_115,AC_115,8,,,18,,,,,,,,,,4,,11,5,,7,,,,,,
121,4,AC_118,AC_118,4,16,11,54,27,3.375,91.125,,,0,,,,7,,17,9,,37,,,,,,
108,4,AC_119,AC_119,1,8,0,3,8,0.375,3,,,0,,,,2,,0,6,,3,,,,,,
122,4,AC_130,AC_130,5,,2,21,,,,,,,,,,,,,,,,,,,8,,21
117,4,AC_144,AC_144,4,0,3,0,3,#DIV/0!,#DIV/0!,,,0,,,,,,,,,,,,,,,
123,4,AC_148,AC_148,5,14,3,33,17,2.357142857,40.07142857,,,0,,,,5, ,23,6,,7,3,,3,,,
128,4,AC_151,AC_151,5,4,3,6,7,1.5,10.5,,,0,,,,2,,2,2,,4,,,,,,
140,4,AC_152,AC_152,7,2,0,3,2,1.5,3,,,0,,,,,,,,,,2,,3,,,
136,4,AC_154,AC_154,6,13,0,32,13,2.461538462,32,,,0,,,,6,,20,7,,12,,,,,,
141,4,AC_158,AC_158,5,7,1,9,8,1.285714286,10.28571429,,,0,,,,6,,8,1,,1,,,,,,
138,4,AC_171,AC_171,1,0,3,0,3,#DIV/0!,#DIV/0!,,,0,,,,,,,,,,,,,,,
143,4,AC_178,AC_178,3,9,5,20,14,2.222222222,31.11111111,,,0,1,,0,7,,16,1,,4,,,,,,
127,4,AC_179,AC_179,2,3,4,7,7,2.333333333,16.33333333,,,0,,,,3,,7,,,,,,,,,
115,4,AC_182,AC_182,4,5,2,7,7,1.4,9.8,,,0,,,,,,,5,,7,,,,,,
112,4,AC_185,AC_185,4,8,0,13,8,1.625,13,,,0,,,,1,,2,5,,8,2,,3,,,
130,4,AC_197,AC_197,3,30,14,175,44,5.833333333,256.6666667,,,0,,,,9,,49,21,,126,,,,,,
130,4,AC_197,AC_197,6,7,1,22,8,3.142857143,25.14285714,,,0,,,,4,,15,3,,7,,,,,,
130,4,AC_197,AC_197,7,15,10,78,25,5.2,130,,,0,,,,7,,33,8,,45,,,,,,
142,4,AC_203,AC_203,9,0,0,0,0,#DIV/0!,#DIV/0!,,,0,,,,,,,,,,,,,,,
120,4,AC_204,AC_204,3,5,14,38,19,7.6,144.4,,,0,,,,5,,38,,,,,,,,,
120,4,AC_204,AC_204,5,5,9,17,14,3.4,47.6,,,0,,,,5,,17,,,,,,,,,
120,4,AC_204,AC_204,6,12,7,31,19,2.583333333,49.08333333,,,0,,,,6,,20,6,,11,,,,,,
110,4,AC_206,AC_206,2,4,1,6,5,1.5,7.5,,,0,,,,,,,4,,6,,,,,,
129,4,AC_215,AC_215,2,17,5,24,22,1.411764706,31.05882353,,,0,,,,9,,10,8,,14,,,,,,
147,5,AC_5,AC_005,9,0,1,0,1,#DIV/0!,#DIV/0!,,,0,,,,,,,,,,,,,,,
164,5,AC_17,AC_017,3,4,1,10,5,2.5,12.5,,,0,,,,3,,9,1,,1,,,,,,
155,5,AC_48,AC_048,2,20,0,30,20,1.5,30,,,0,,,,6,,9,10,,18,4,,3,,,
174,5,AC_54,AC_054,6,23,2,52,25,2.260869565,56.52173913,,,0,,,,10,,24,12,,28,1,,0,,,
149,5,AC_56,AC_056,6,8,0,19,8,2.375,19,,,0,,,,5,,17,3,,2,,,,,,
146,5,AC_62,AC_062,1,7,1,5,8,0.7142857143,5.714285714,,,0,,,,4,,4,3,,1,,,,,,
156,5,AC_64,AC_064,8,17,1,33,18,1.941176471,34.94117647,,,0,,,,8,,23,7,,7,2,,3,,,
158,5,AC_82,AC_082,6,4,1,10,5,2.5,12.5,,,0,,,,3,,9,1,,1,,,,,,
158,5,AC_82,AC_082,1,2,11,4,13,2,26,,,0,,,,,,,2,,4,,,,,,
158,5,AC_82,AC_082,10,14,8,46,22,3.285714286,72.28571429,,,0,,,,,,,14,,46,,,,,,
169,5,AC_86,AC_086,4,3,0,7,3,2.333333333,7,,,0,,,,1,,5,2,,2,,,,,,
159,5,AC_89,AC_089,6,3,0,2,3,0.6666666667,2,,,0,,,,3,,2,,,,,,,,,
151,5,AC_90,AC_090,3,12,4,28,16,2.333333333,37.33333333,,,0,,,,6,,19,6,,9,,,,,,
175,5,AC_96,AC_096,1,2,0,5,2,2.5,5,,,0,,,,2,,5,,,,,,,,,
161,5,AC_97,AC_097,4,8,0,35,8,4.375,35,,,0,,,,4,,17,4,,18,,,,,,
161,5,AC_97,AC_097,8,4,2,15,6,3.75,22.5,,,0,,,,2,,10,2,,5,,,,,,
161,5,AC_97,AC_097,9,12,1,27,13,2.25,29.25,,,0,,,,8,,23,3,,3,1,,1,,,
179,5,AC_100,AC_100,9,13,2,22,15,1.692307692,25.38461538,,,0,,,,8,,18,5,,4,,,,,,
148,5,AC_110,AC_110,5,7,2,26,9,3.714285714,33.42857143,,,0,,,,3,,14,4,,12,,,,,,
177,5,AC_111,AC_111,8,9,3,21,12,2.333333333,28,,,0,,,,6,,15,2,,5,1,,1,,,
177,5,AC_111,AC_111,9,2,3,4,5,2,10,,,0,,,,2,,4,,,,,,,,,
177,5,AC_111,AC_111,10,2,0,6,2,3,6,,,0,,,,1,,0,1,,6,,,,,,
165,5,AC_122,AC_122,6,1,4,0,5,0,0,,,0,,,,1,,0,,,,,,,,,
170,5,AC_123,AC_123,10,3,2,13,5,4.333333333,21.66666667,,,0,,,,1,,4,2,,9,,,,,,
163,5,AC_128,AC_128,1,11,3,27,14,2.454545455,34.36363636,,,0,,,,8,,19,3,,8,,,,,,
144,5,AC_131,AC_131,3,9,3,9,12,1,12,,,0,,,,2,,0,5,,8,2,,1,,,
173,5,AC_136,AC_136,3,8,2,10,10,1.25,12.5,,,0,,,,6,,8,2,,2,,,,,,
153,5,AC_143,AC_143,8,5,0,2,5,0.4,2,,,0,,,,4,,2,1,,0,,,,,,
167,5,AC_147,AC_147,7,18,2,71,20,3.944444444,78.88888889,,,0,,,,11,,58,6,,12,1,,1,,,
150,5,AC_155,AC_155,9,12,0,16,12,1.333333333,16,,,0,,,,7,,13,4,,2,1,,1,,,
154,5,AC_159,AC_159,1,0,1,0,1,#DIV/0!,#DIV/0!,,,0,,,,,,,,,,,,,,,
171,5,AC_172,AC_172,7,16,4,26,20,1.625,32.5,,,0,,,,9,,20,7,,6,,,,,,
157,5,AC_186,AC_186,6,5,1,9,6,1.8,10.8,,,0,,,,3,,7,2,,2,,,,,,
176,5,AC_192,AC_192,2,3,0,3,3,1,3,,,0,,,,3,,3,,,,,,,,,
172,5,AC_200,AC_200,6,7,1,15,8,2.142857143,17.14285714,,,0,,,,6,,15,1,,0,,,,,,
160,5,AC_201,AC_201,2,4,0,7,4,1.75,7,,,0,,,,4,,7,,,,,,,,,
152,5,AC_211,AC_211,10,6,0,15,6,2.5,15,,,0,,,,2,,7,4,,8,,,,,,
168,5,AC_212,AC_212,9,1,1,0,2,0,0,,,0,,,,1,,0,,,,,,,,,
162,5,AC_213,AC_213,4,12,1,12,13,1,13,,,0,,,,7,,9,5,,3,,,,,,
145,5,AC_216,AC_216,4,24,2,12,26,0.5,13,,,0,,,,5,,1,16,,8,3,,3,,,
145,5,AC_216,AC_216,5,25,0,34,25,1.36,34,,,0,,,,6,,2,11,,19,8,,13,,,
145,5,AC_216,AC_216,6,21,0,29,21,1.380952381,29,,,0,,,,4,,2,11,,21,6,,6,,,
166,5,AC_217,AC_217,2,26,3,86,29,3.307692308,95.92307692,,,0,,,,14,,47,12,,39,,,,,,
166,5,AC_217,AC_217,8,11,3,32,14,2.909090909,40.72727273,,,0,,,,7,,24,4,,8,,,,,,
166,5,AC_217,AC_217,10,31,7,85,38,2.741935484,104.1935484,,,0,,,,13,,49,15,,33,3,,3,,,
178,5,AC_218,AC_218,4,7,11,19,18,2.714285714,48.85714286,,,0,,,,,,,7,,19,,,,,,
178,5,AC_218,AC_218,5,6,25,29,31,4.833333333,149.8333333,,,0,,,,,,,6,,29,,,,,,
178,5,AC_218,AC_218,6,2,3,12,5,6,30,,,0,,,,2,,12,,,,,,,,,
214,6,AC_11,AC_011,6,13,3,20,16,1.538461538,24.61538462,,,0,,,,11,,15,1,,2,1,,3,,,
190,6,AC_15,AC_015,4,3,0,6,3,2,6,,,0,,,,2,,4,1,,2,,,,,,
213,6,AC_30,AC_030,10,2,1,2,3,1,3,,,0,,,,2,,2,,,,,,,,,
191,6,AC_38,AC_038,5,9,11,9,20,1,20,,,0,,,,4,,6,5,,3,,,,,,
194,6,AC_51,AC_051,3,1,1,1,2,1,2,,,0,,,,1,,1,,,,,,,,,
180,6,AC_52,AC_052,6,0,0,0,0,#DIV/0!,#DIV/0!,,,0,,,,,,,,,,,,,,,
206,6,AC_57,AC_057,5,23,3,55,26,2.391304348,62.17391304,,,0,,,,16,,46,7,,9,,,,,,
196,6,AC_66,AC_066,6,0,0,0,0,#DIV/0!,#DIV/0!,,,0,,,,,,,,,,,,,,,
205,6,AC_68,AC_068,8,24,4,94,28,3.916666667,109.6666667,,,0,2,,6,15,,74,7,,14,,,,,,
200,6,AC_74,AC_074,7,3,1,9,4,3,12,,,0,,,,3,,9,,,,,,,,,
199,6,AC_75,AC_075,3,4,0,5,4,1.25,5,,,0,1,,0,3,,5,,,,,,,,,
193,6,AC_81,AC_081,2,4,2,16,6,4,24,,,0,,,,3,,14,1,,2,,,,,,
193,6,AC_81,AC_081,7,17,10,52,27,3.058823529,82.58823529,,,0,,,,8,,14,9,,38,,,,,,
193,6,AC_81,AC_081,8,5,0,17,5,3.4,17,,,0,,,,5,,17,,,,,,,,,
181,6,AC_94,AC_094,5,3,0,3,3,1,3,,,0,,,,1,,0,2,,3,,,,,,
185,6,AC_95,AC_095,6,6,5,8,11,1.333333333,14.66666667,,,0,,,,5,,6,1,,2,,,,,,
202,6,AC_99,AC_099,10,8,11,11,19,1.375,26.125,,,0,,,,8,,11,,,,,,,,,
202,6,AC_99,AC_099,5,6,1,55,7,9.166666667,64.16666667,,,0,,,,6,,55,,,,,,,,,
209,6,AC_104,AC_104,10,13,3,81,16,6.230769231,99.69230769,,,0,2,,16,8,,56,3,,9,,,,,,
203,6,AC_107,AC_107,8,29,7,93,36,3.206896552,115.4482759,,,0,,,,16,,57,13,,36,,,,,,
208,6,AC_114,AC_114,9,24,2,104,26,4.333333333,112.6666667,,,0,2,,11,17,,82,5,,11,,,,,,
182,6,AC_120,AC_120,4,1,1,0,2,0,0,,,0,,,,1,,0,,,,,,,,,
201,6,AC_133,AC_133,3,5,0,6,5,1.2,6,,,0,,,,3,,4,2,,2,,,,,,
189,6,AC_142,AC_142,2,1,0,0,1,0,0,,,0,,,,1,,0,,,,,,,,,
211,6,AC_153,AC_153,7,16,2,64,18,4,72,,,0,2,,13,9,,38,5,,13,,,,,,
207,6,AC_160,AC_160,2,32,5,97,37,3.03125,112.15625,,,0,3,,7,20,,74,8,,14,1,,2,,,
192,6,AC_168,AC_168,3,3,1,4,4,1.333333333,5.333333333,,,0,,,,2,,3,1,,1,,,,,,
197,6,AC_181,AC_181,4,3,0,3,3,1,3,,,0,,,,2,,2,1,,1,,,,,,
212,6,AC_187,AC_187,2,26,0,160,26,6.153846154,160,,,0,,,,19,,135,7,,25,,,,,,
212,6,AC_187,AC_187,5,13,5,64,18,4.923076923,88.61538462,,,0,,,,12,,63,,,,1,,1,,,
212,6,AC_187,AC_187,8,11,0,39,11,3.545454545,39,,,0,1,,4,8,,30,1,,3,1,,2,,,
204,6,AC_188,AC_188,4,6,1,10,7,1.666666667,11.66666667,,,0,,,,4,,8,2,,2,,,,,,
186,6,AC_189,AC_189,4,8,1,13,9,1.625,14.625,,,0,,,,4,,8,4,,5,,,,,,
186,6,AC_189,AC_189,5,3,0,12,3,4,12,,,0,,,,3,,12,,,,,,,,,
186,6,AC_189,AC_189,10,8,1,43,9,5.375,48.375,,,0,,,,8,,43,,,,,,,,,
183,6,AC_190,AC_190,3,3,2,9,5,3,15,,,0,,,,2,,7,1,,2,,,,,,
183,6,AC_190,AC_190,7,9,0,28,9,3.111111111,28,,,0,,,,3,,12,6,,16,,,,,,
183,6,AC_190,AC_190,9,5,0,10,5,2,10,,,0,,,,3,,6,2, ,4,,,,,,
210,6,AC_191,AC_191,7,2,0,4,2,2,4,,,0,,,,1,,4,1,,0,,,,,,
198,6,AC_193,AC_193,8,2,0,10,2,5,10,,,0,,,,2,,10,,,,,,,,,
188,6,AC_195,AC_195,1,12,4,43,16,3.583333333,57.33333333,,,0,,,,7,,27,5, ,16,,,,,,
187,6,AC_199,AC_199,5,22,8,69,30,3.136363636,94.09090909,,,0,,,,12,,43,10,,26,,,,,,
195,6,AC_205,AC_205,5,10,1,14,11,1.4,15.4,,,0,,,,7,,11,3,,3,,,,,,
184,6,AC_208,AC_208,1,2,1,9,3,4.5,13.5,,,0,,,,1,,5,1,,4,,,,,,
184,6,AC_208,AC_208,4,6,0,11,6,1.833333333,11,,,0,,,,3,,5,3,,6,,,,,,
184,6,AC_208,AC_208,8,3,0,4,3,1.333333333,4,,,0,,,,3,,4,,,,,,,,,
228,7,AC_17,AC_017,6,23,0,56,23,2.434782609,56,,,0,,,,13,,39,10,,17,,,,,,
232,7,AC_32,AC_032,6,4,0,7,4,1.75,7,,,0,,,,3,,7,1,,0,,,,,,
243,7,AC_38,AC_038,1,11,2,22,13,2,26,,,0,2,,4,7,,15,2,,3,,,,,,
241,7,AC_40,AC_040,1,7,1,26,8,3.714285714,29.71428571,,,0,,,,7,,26,,,,,,,,,
241,7,AC_40,AC_040,4,0,10,0,10,#DIV/0!,#DIV/0!,,,0,,,,,,,,,,,,,,,
241,7,AC_40,AC_040,7,6,15,13,21,2.166666667,45.5,,,0,2,,4,,,,4,,9,,,,,,
239,7,AC_46,AC_046,8,9,1,9,10,1,10,,,0,,,,6,,6,3,,3,,,,,,
231,7,AC_48,AC_048,1,3,0,11,3,3.666666667,11,,,0,,,,3,,11,,,,,,,,,
233,7,AC_54,AC_054,7,0,2,0,2,#DIV/0!,#DIV/0!,,,0,,,,,,,,,,,,,,,
218,7,AC_58,AC_058,3,9,0,22,9,2.444444444,22,,,0,,,,7,,14,,,,2,,4,2,,4
218,7,AC_58,AC_058,5,14,5,32,19,2.285714286,43.42857143,,,0,,,,8,,24,6,,8,,,,,,
218,7,AC_58,AC_058,9,2,1,5,3,2.5,7.5,,,0,,,,2,,5,,,,,,,,,
237,7,AC_62,AC_062,4,16,6,34,22,2.125,46.75,,,0,5,,5,7,,19,4,,10,,,,,,
238,7,AC_68,AC_068,8,7,1,23,8,3.285714286,26.28571429,,,0,,,,7,,23,,,,,,,,,
246,7,AC_72,AC_072,6,6,0,22,6,3.666666667,22,,,0,,,,6,,22,,,,,,,,,
217,7,AC_74,AC_074,2,5,0,7,5,1.4,7,,,0,,,,3,,4,2,,3,,,,,,
216,7,AC_81,AC_081,3,15,3,42,18,2.8,50.4,,,0,,,,5,,26,10,,16,,,,,,
216,7,AC_81,AC_081,6,29,5,78,34,2.689655172,91.44827586,,,0,,,,8,,11,15,,52,6,,15,,,
216,7,AC_81,AC_081,8,16,2,32,18,2,36,,,0,,,,9,,23,7,,9,,,,,,
225,7,AC_94,AC_094,2,4,0,2,4,0.5,2,,,0,,,,2,,1,2,,1,,,,,,
245,7,AC_97,AC_097,1,7,0,16,7,2.285714286,16,,,0,,,,5,,15,2,,1,,,,,,
245,7,AC_97,AC_097,7,11,1,30,12,2.727272727,32.72727273,,,0,2,,12,9,,18,,,,,,,,,
245,7,AC_97,AC_097,10,24,3,62,27,2.583333333,69.75,,,0,13, ,15,9,,31,2,,16,,,,,,
219,7,AC_100,AC_100,9,9,0,10,9,1.111111111,10,,,0,,,,5,,5,4,,5,,,,,,
244,7,AC_104,AC_104,8,7,0,9,7,1.285714286,9,,,0,1,,1,6,,8,,,,,,,,,
220,7,AC_107,AC_107,6,12,2,16,14,1.333333333,18.66666667,,,0,,,,7,,6,5,,10,,,,,,
223,7,AC_111,AC_111,1,3,0,12,3,4,12,,,0,,,,3,,12,,,,,,,,,
223,7,AC_111,AC_111,5,9,1,36,10,4,40,,,0,,,,5,,29,4,,7,,,,,,
223,7,AC_111,AC_111,7,7,1,24,8,3.428571429,27.42857143,,,0,,,,4,,12,3,,12,,,,,,
248,7,AC_113,AC_113,8,2,1,2,3,1,3,,,0,,,,2,,2,,,,,,,,,
230,7,AC_120,AC_120,7,14,1,18,15,1.285714286,19.28571429,,,0,,,,11,,15,3,,3,,,,,,
236,7,AC_122,AC_122,3,3,2,7,5,2.333333333,11.66666667,,,0,,,,3,,7,,,,,,,,,
221,7,AC_128,AC_128,3,11,0,13,11,1.181818182,13,,,0,,,,7,,8,4,,5,,,,,,
234,7,AC_130,AC_130,7,5,0,13,5,2.6,13,,,0,,,,5,,13,,,,,,,,,
240,7,AC_143,AC_143,4,1,0,2,1,2,2,,,0,,,,1,,2,,,,,,,,,
224,7,AC_160,AC_160,8,17,9,32,26,1.882352941,48.94117647,,,0,,,,10,,21,7,,11,,,,,,
226,7,AC_171,AC_171,10,11,1,22,12,2,24,,,0,,,,11,,14,,,,,,,5,,8
249,7,AC_172,AC_172,3,5,3,18,8,3.6,28.8,,,0,,,,5,,18,,,,,,,,,
247,7,AC_178,AC_178,4,1,1,2,2,2,4,,,0,,,,1,,2,,,,,,,,,
215,7,AC_186,AC_186,9,3,1,12,4,4,16,,,0,,,,,,,3,,12,,,,,,
250,7,AC_190,AC_190,1,0,4,0,4,#DIV/0!,#DIV/0!,,,0,,,,,,,,,,,,,,,
250,7,AC_190,AC_190,4,23,4,128,27,5.565217391,150.2608696,,,0,4,,23,17,,104,2,,1,,,,,,
250,7,AC_190,AC_190,8,2,2,10,4,5,20,,,0,2,,10,,,,,,,,,,,,
242,7,AC_193,AC_193,5,7,0,5,7,0.7142857143,5,,,0,,,,7,,5,,,,,,,,,
222,7,AC_201,AC_201,8,8,0,9,8,1.125,9,,,0,,,,4,,6,4,,3,,,,,,
235,7,AC_203,AC_203,5,3,0,8,3,2.666666667,8,,,0,,,,3,,8,,,,,,,,,
