,Site:  Hastings Ranch 2021-22,,,,,Plant ID,,,,,,,,,,"D-dead; G- gopher; UR-uprooted (plug pushed up); B- buried; PR- paddle replaced; DP-deer poop; T-trampled by deer; (3)- Tripplet (3 Cotyledons); *-cotyledons missing; M -= Missing P-pig; ?-unsure; M- missing; C-regrew cotyledons, (n=2)- double",,
1,3,103,HR_147,HR_21,Germ Date,2022-12-06,2022-12-06,2022-11-19,2022-12-06,2022-12-17,2022-11-19,,2022-11-19,,,,*-8,
1,3,103,HR_147,HR_21,Flow Date,,,,,,,,,,,,,
1,3,104,HR_149,HR_174,Germ Date,2022-12-06,2022-11-19,2022-12-06,,,2022-11-19,2022-11-19,2022-11-19,,,"D-2,6;*-7",C-7*-8,
1,3,104,HR_149,HR_174,Flow Date,,,,,,,,,,,,,
1,3,105,HR_156,HR_193,Germ Date,2022-11-19,2022-12-06,2022-11-19,2022-12-06,2022-12-06,2022-12-06,2022-11-19,2022-11-19,,,"D-1,7;*-4",*-3;C-4,
1,3,105,HR_156,HR_193,Flow Date,,,,,,,,,,,,,
1,3,106,HR_135,HR_152,Germ Date,2022-12-06,2022-12-06,2022-12-17,2022-12-06,,2022-11-19,2022-12-06,2022-11-19,,,"*-6,7",*-3,
1,3,106,HR_135,HR_152,Flow Date,,,,,,,,,,,,,
1,3,107,HR_147,HR_150,Germ Date,2022-12-06,2022-11-19,2022-12-06,2022-12-06,2022-11-19,2022-12-17,2022-12-06,2022-12-06,,,,,
1,3,107,HR_147,HR_150,Flow Date,,,,,,,,,,,,,
1,3,108,HR_62,HR_116,Germ Date,2022-12-06,,,2022-12-06,,2022-12-17,2022-11-19,,,,,D-6;*-7,
1,3,108,HR_62,HR_116,Flow Date,,,,,,,,,,,,,
1,3,109,HR_64,HR_190,Germ Date,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-17,2022-12-06,2022-12-06,,,*-5,*-6,
1,3,109,HR_64,HR_190,Flow Date,,,,,,,,,,,,,
1,3,110,HR_64,HR_19,Germ Date,2022-11-19,,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,,,,,
1,3,110,HR_64,HR_19,Flow Date,,,,,,,,,,,,,
1,3,111,HR_180,HR_179,Germ Date,2022-12-17,2022-12-17,2022-12-06,2022-12-06,2022-12-06,2022-12-17,2022-12-06,,,,"*-3,4",,
1,3,111,HR_180,HR_179,Flow Date,,,,,,,,,,,,,
1,3,112,HR_189,HR_168,Germ Date,2022-12-06,2022-11-19,2022-12-06,2022-12-17,2022-12-06,2022-12-06,2022-12-06,2022-12-06,,,"*-1,6",*-4;D-8,
1,3,112,HR_189,HR_168,Flow Date,,,,,,,,,,,,,
1,3,113,HR_69,HR_156,Germ Date,2022-11-19,2022-12-06,2022-12-06,2022-11-19,2022-12-06,2022-11-19,2022-12-06,2022-12-06,,,"*-2,3;(3)-3",?-4;*-6,
1,3,113,HR_69,HR_156,Flow Date,,,,,,,,,,,,,
1,3,114,HR_88,HR_67,Germ Date,2022-12-06,,,2022-12-06,2022-12-17,2022-12-17,2022-12-06,2022-12-06,,,,,
1,3,114,HR_88,HR_67,Flow Date,,,,,,,,,,,,,
1,3,115,HR_74,HR_66,Germ Date,2022-12-17,2022-11-19,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-17,,,,*-8,
1,3,115,HR_74,HR_66,Flow Date,,,,,,,,,,,,,
1,3,116,HR_200,HR_159,Germ Date,,2022-12-06,2022-12-17,,2022-12-06,2022-12-17,2022-12-17,2022-12-06,,,,,
1,3,116,HR_200,HR_159,Flow Date,,,,,,,,,,,,,
1,3,117,HR_100,HR_135,Germ Date,2022-12-17,2022-12-17,2022-12-06,2022-12-06,2022-12-06,2022-11-19,2022-12-06,,,,,,
1,3,117,HR_100,HR_135,Flow Date,,,,,,,,,,,,,
1,3,118,HR_121,HR_141,Germ Date,2022-12-17,2022-12-17,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,,,,,"*-1,2",
1,3,118,HR_121,HR_141,Flow Date,,,,,,,,,,,,,
1,3,119,HR_195,HR_181,Germ Date,2022-12-17,2022-12-06,2022-12-06,2022-12-06,2022-11-19,2022-12-06,2022-12-06,2022-12-06,,,,*-1,
1,3,119,HR_195,HR_181,Flow Date,,,,,,,,,,,,,
1,3,120,HR_59,HR_155,Germ Date,2022-12-06,2022-12-17,2022-11-19,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,,,,*-3,
1,3,120,HR_59,HR_155,Flow Date,,,,,,,,,,,,,
1,3,121,HR_171,HR_1,Germ Date,2022-12-06,2022-12-06,2022-12-06,2022-11-19,2022-11-19,2022-11-19,2022-12-06,2022-12-06,,,,*-6,
1,3,121,HR_171,HR_1,Flow Date,,,,,,,,,,,,,
1,3,122,HR_115,HR_111,Germ Date,2022-12-06,2022-12-17,2022-11-19,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,,,,*-2,
1,3,122,HR_115,HR_111,Flow Date,,,,,,,,,,,,,
1,3,123,HR_195,HR_68,Germ Date,2022-12-06,2022-11-19,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-17,2022-12-06,,,*-6,,
1,3,123,HR_195,HR_68,Flow Date,,,,,,,,,,,,,
1,3,124,HR_002,HR_56,Germ Date,2022-12-06,2022-12-06,2022-11-19,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,,,,,
1,3,124,HR_002,HR_56,Flow Date,,,,,,,,,,,,,
1,3,125,HR_95,HR_124,Germ Date,,2022-12-17,2022-12-17,2022-12-06,2022-12-17,2022-12-06,2022-12-17,2022-12-17,,,,,
1,3,125,HR_95,HR_124,Flow Date,,,,,,,,,,,,,
1,3,126,HR_57,HR_147,Germ Date,,,2022-12-06,2022-12-06,2022-11-19,2022-12-06,2022-12-06,2022-12-06,,,"*-4,6,8",,
1,3,126,HR_57,HR_147,Flow Date,,,,,,,,,,,,,
1,3,127,HR_156,HR_197,Germ Date,2022-12-06,2022-12-06,2022-12-06,2022-11-19,2022-12-17,2022-12-06,2022-12-06,2022-12-06,,,G-1;D-1,,
1,3,127,HR_156,HR_197,Flow Date,,,,,,,,,,,,,
1,3,128,HR_149,HR_65,Germ Date,2022-12-06,2022-12-06,2022-11-19,2022-12-06,2022-12-06,2022-11-19,2022-12-06,2022-12-06,,,,,
1,3,128,HR_149,HR_65,Flow Date,,,,,,,,,,,,,
1,3,129,HR_141,HR_44,Germ Date,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-17,,,,,
1,3,129,HR_141,HR_44,Flow Date,,,,,,,,,,,,,
1,3,130,HR_139,HR_127,Germ Date,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-11-19,2022-12-06,2022-12-06,2022-12-06,,,,,
1,3,130,HR_139,HR_127,Flow Date,,,,,,,,,,,,,
1,3,131,HR_100,HR_192,Germ Date,2022-12-06,2022-12-06,2022-12-06,2022-11-19,2022-12-06,2022-11-19,2022-12-06,2022-12-06,,,,,
1,3,131,HR_100,HR_192,Flow Date,,,,,,,,,,,,,
1,3,132,HR_160,HR_79,Germ Date,2022-12-06,2022-12-06,2022-12-17,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,,,,,
1,3,132,HR_160,HR_79,Flow Date,,,,,,,,,,,,,
1,3,133,HR_90,HR_53,Germ Date,2022-11-19,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-17,,,,,
1,3,133,HR_90,HR_53,Flow Date,,,,,,,,,,,,,
1,3,134,HR_141,HR_184,Germ Date,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-17,2022-12-06,,,,,
1,3,134,HR_141,HR_184,Flow Date,,,,,,,,,,,,,
1,3,135,HR_121,HR_139,Germ Date,2022-12-06,2022-12-06,2022-12-06,2022-12-17,2022-12-06,2022-12-06,2022-12-06,2022-12-06,,,,,
1,3,135,HR_121,HR_139,Flow Date,,,,,,,,,,,,,
1,3,136,HR_59,HR_166,Germ Date,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,,,,,
1,3,136,HR_59,HR_166,Flow Date,,,,,,,,,,,,,
1,3,137,HR_8,HR_42,Germ Date,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-17,,2022-12-06,2022-12-06,,,,,
1,3,137,HR_8,HR_42,Flow Date,,,,,,,,,,,,,
2,4,138,HR_085,HR_107,Germ Date,2022-12-06,,2022-12-06,2022-12-06,2022-11-19,2022-12-06,2022-12-06,2022-12-06,,,,,
2,4,138,HR_085,HR_107,Flow Date,,,,,,,,,,,,,
2,4,139,HR_62,HR_136,Germ Date,2022-12-06,2022-12-06,2022-11-19,2022-12-06,2022-12-06,2022-12-17,2022-12-06,2022-12-06,,,,,
2,4,139,HR_62,HR_136,Flow Date,,,,,,,,,,,,,
2,4,140,HR_002,HR_71,Germ Date,2022-11-19,2022-12-06,2022-11-19,2022-11-19,2022-12-06,2022-12-06,2022-11-19,2022-12-17,,,,,
2,4,140,HR_002,HR_71,Flow Date,,,,,,,,,,,,,
2,4,141,HR_180,HR_36,Germ Date,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,,2022-12-06,2022-11-19,,,,,
2,4,141,HR_180,HR_36,Flow Date,,,,,,,,,,,,,
2,4,142,HR_69,HR_108,Germ Date,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-17,2022-12-06,2022-12-06,2022-12-06,,,,,
2,4,142,HR_69,HR_108,Flow Date,,,,,,,,,,,,,
2,4,143,HR_135,HR_4,Germ Date,2022-12-17,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,,,,,
2,4,143,HR_135,HR_4,Flow Date,,,,,,,,,,,,,
2,4,144,HR_149,HR_7,Germ Date,2022-12-06,2022-11-19,2022-11-19,2022-12-06,2022-12-06,2022-11-19,2022-11-19,2022-12-06,,,,,
2,4,144,HR_149,HR_7,Flow Date,,,,,,,,,,,,,
2,4,145,HR_53,HR_169,Germ Date,2022-11-19,2022-12-06,2022-12-06,,2022-12-06,2022-12-06,2022-12-06,2022-12-06,,,,,
2,4,145,HR_53,HR_169,Flow Date,,,,,,,,,,,,,
2,4,146,HR_108,HR_175,Germ Date,,2022-12-17,2022-12-06,,2022-12-06,2022-12-06,2022-12-06,2022-12-06,,,,,
2,4,146,HR_108,HR_175,Flow Date,,,,,,,,,,,,,
2,4,147,HR_168,HR_64,Germ Date,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,,,,,
2,4,147,HR_168,HR_64,Flow Date,,,,,,,,,,,,,
2,4,148,HR_157,HR_85,Germ Date,,2022-12-17,,2022-12-06,,2022-12-06,2022-11-19,2022-12-06,,,D-7,?-2,
2,4,148,HR_157,HR_85,Flow Date,,,,,,,,,,,,,
2,4,149,HR_175,HR_164,Germ Date,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-17,2022-12-06,2022-11-19,2022-12-17,,,,"*-3,5",
2,4,149,HR_175,HR_164,Flow Date,,,,,,,,,,,,,
2,4,150,HR_6,HR_146,Germ Date,2022-11-19,,,,2022-12-06,2022-12-06,2022-12-06,2022-11-19,,,,,
2,4,150,HR_6,HR_146,Flow Date,,,,,,,,Dead 12/6,,,,,
2,4,151,HR_189,HR_168,Germ Date,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-17,,,,*-8,
2,4,151,HR_189,HR_168,Flow Date,,,,,,,,,,,,,
2,4,152,HR_57,HR_147,Germ Date,2022-12-17,,2022-12-17,2022-12-06,2022-12-06,,2022-12-06,2022-12-06,,,,,
2,4,152,HR_57,HR_147,Flow Date,,,,,,,,,,,,,
2,4,153,HR_59,HR_166,Germ Date,2022-12-06,2022-12-06,2022-12-06,12/6 *,2022-12-06,12/6 *,2022-12-06,2022-12-06,,,"*-4,6",C-6,
2,4,153,HR_59,HR_166,Flow Date,,,,,,,,,,,,,
2,4,154,HR_74,HR_70,Germ Date,,,2022-12-06,,2022-12-06,,,2022-12-06,,,,?-8,
2,4,154,HR_74,HR_70,Flow Date,,,,,,,,,,,,,
2,4,155,HR_164,HR_5,Germ Date,2022-12-06,2022-12-06,2022-12-06,2022-11-19,2022-12-06,2022-12-06,2022-12-06,2022-12-06,,,D-5,,
2,4,155,HR_164,HR_5,Flow Date,,,,,,,,,,,,,
2,4,156,HR_085,HR_35,Germ Date,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,,,PR-1;?-8,,
2,4,156,HR_085,HR_35,Flow Date,,,,,,,,,,,,,
2,4,157,HR_8,HR_58,Germ Date,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,,,"short row?? looks like no skewer at point one, we placed bamboo skewer",,
2,4,157,HR_8,HR_58,Flow Date,,,,,,,,,,,,,
2,4,158,HR_8,HR_12,Germ Date,2022-12-06,,2022-12-17,2022-12-06,2022-12-06,2022-12-17,,,,,,,
2,4,158,HR_8,HR_12,Flow Date,,,,,,,,,,,,,
2,4,159,HR_027,HR_145,Germ Date,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-11-19,2022-12-06,2022-12-06,,,,,
2,4,159,HR_027,HR_145,Flow Date,,,,,,,,,,,,,
2,4,160,HR_125,HR_34,Germ Date,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-11-19,2022-12-06,,,,,
2,4,160,HR_125,HR_34,Flow Date,,,,,,,,,,,,,
2,4,161,HR_90,HR_53,Germ Date,2022-12-17,2022-11-19,2022-11-19,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-11-19,,,,*-1,
2,4,161,HR_90,HR_53,Flow Date,,,,,,,,,,,,,
2,4,162,HR_135,HR_83,Germ Date,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-11-19,2022-12-06,2022-12-06,,,*-7,,
2,4,162,HR_135,HR_83,Flow Date,,,,,,,,,,,,,
2,4,163,HR_141,HR_184,Germ Date,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,,,,,
2,4,163,HR_141,HR_184,Flow Date,,,,,,,,,,,,,
2,4,164,HR_8,HR_42,Germ Date,2022-12-06,2022-11-19,2022-12-06,,2022-11-19,2022-11-19,2022-12-06,2022-12-06,,,*-2,D-6,
2,4,164,HR_8,HR_42,Flow Date,,,,,,,,,,,,,
2,4,165,HR_88,HR_67,Germ Date,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-11-19,2022-12-06,2022-12-06,,,,G-8,
2,4,165,HR_88,HR_67,Flow Date,,,,,,,,,,,,,
2,4,166,HR_69,HR_156,Germ Date,2022-11-19,2022-11-19,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-11-19,2022-11-19,,,,,
2,4,166,HR_69,HR_156,Flow Date,,,,,,,,,,,,,
2,4,167,HR_147,HR_118,Germ Date,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,,2022-12-06,,,,,,
2,4,167,HR_147,HR_118,Flow Date,,,,,,,,,,,,,
2,4,168,HR_100,HR_192,Germ Date,2022-12-06,2022-12-06,2022-12-06,,2022-12-06,2022-12-06,2022-12-06,2022-11-19,,,,,
2,4,168,HR_100,HR_192,Flow Date,,,,,,,,,,,,,
2,4,169,HR_121,HR_139,Germ Date,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-11-19,2022-12-06,,,,,
2,4,169,HR_121,HR_139,Flow Date,,,,,,,,,,,,,
2,4,170,HR_66,HR_78,Germ Date,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,,,,,
2,4,170,HR_66,HR_78,Flow Date,,,,,,,,,,,,,
2,4,171,HR_34,HR_17,Germ Date,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-11-19,2022-12-06,2022-12-06,2022-12-06,,,(3)-8,,
2,4,171,HR_34,HR_17,Flow Date,,,,,,,,,,,,,
2,4,172,HR_59,HR_11,Germ Date,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,,,,,
2,4,172,HR_59,HR_11,Flow Date,,,,,,,,,,,,,
2,4,173,HR_90,HR_126,Germ Date,2022-12-06,2022-12-06,2022-11-19,2022-12-06,2022-12-06,2022-12-06,2022-11-19,2022-12-06,,,,,
2,4,173,HR_90,HR_126,Flow Date,,,,,,,,,,,,,
2,4,174,HR_34,HR_80,Germ Date,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-11-19,2022-12-06,2022-12-17,2022-12-06,,,,*-7,
2,4,174,HR_34,HR_80,Flow Date,,,,,,,,,,,,,
2,4,175,HR_147,HR_150,Germ Date,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-11-19,2022-11-19,2022-12-06,,,,,
2,4,175,HR_147,HR_150,Flow Date,,,,,,,,,,,,,
2,4,176,HR_131,HR_49,Germ Date,2022-12-17,2022-12-06,2022-12-06,2022-12-17,2022-11-19,2022-12-06,2022-11-19,2022-12-06,,,,,
2,4,176,HR_131,HR_49,Flow Date,,,,,,,,,,,,,
2,4,177,HR_133,HR_158,Germ Date,2022-12-06,2022-12-06,2022-11-19,2022-12-06,2022-12-06,2022-12-06,2022-11-19,2022-12-06,,,,,
2,4,177,HR_133,HR_158,Flow Date,,,,,,,,,,,,,
2,4,178,HR_175,HR_196,Germ Date,2022-12-17,2022-12-06,2022-11-19,2022-12-06,2022-12-06,2022-12-06,2022-11-19,2022-11-19,,,,,
2,4,178,HR_175,HR_196,Flow Date,,,,,,,,,,,,,
2,4,179,HR_70,HR_61,Germ Date,2022-12-17,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,,2022-12-06,,,,,
2,4,179,HR_70,HR_61,Flow Date,,,,,,,,,,,,,
2,4,180,HR_5,HR_40,Germ Date,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-11-19,2022-12-17,2022-12-06,,,,,
2,4,180,HR_5,HR_40,Flow Date,,,,,,,,,,,,,
2,4,181,HR_110,HR_39,Germ Date,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,,,,,
2,4,181,HR_110,HR_39,Flow Date,,,,,,,,,,,,,
2,4,182,HR_121,HR_141,Germ Date,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,,,,,
2,4,182,HR_121,HR_141,Flow Date,,,,,,,,,,,,,
2,4,183,HR_156,HR_193,Germ Date,2022-12-06,2022-12-06,2022-12-06,,2022-12-06,2022-12-06,2022-12-06,2022-12-17,,,,,
2,4,183,HR_156,HR_193,Flow Date,,,,,,,,,,,,,
2,5,184,HR_148,HR_50,Germ Date,2022-12-06,2022-11-19,2022-12-06,2022-12-06,,2022-11-19,,2022-12-06,,,,*-2,
2,5,184,HR_148,HR_50,Flow Date,,,,,,,,,,,,,
2,5,185,HR_155,HR_47,Germ Date,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,,,,,
2,5,185,HR_155,HR_47,Flow Date,,,,,,,,,,,,,
2,5,186,HR_90,HR_103,Germ Date,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,,,,,
2,5,186,HR_90,HR_103,Flow Date,,,,,,,,,,,,,
2,5,187,HR_200,HR_153,Germ Date,2022-12-06,2022-12-06,2022-12-17,,2022-12-06,2022-12-06,2022-12-17,2022-12-06,,,,,
2,5,187,HR_200,HR_153,Flow Date,,,,,,,,,,,,,
2,5,188,HR_196,HR_170,Germ Date,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,,,*-2;(3)-8,,
2,5,188,HR_196,HR_170,Flow Date,,,,,,,,,,,,,
2,5,189,HR_139,HR_127,Germ Date,2022-12-06,2022-11-19,2022-12-06,2022-11-19,2022-12-06,2022-12-06,2022-12-06,2022-12-06,,,,,
2,5,189,HR_139,HR_127,Flow Date,,,,,,,,,,,,,
2,5,190,HR_135,HR_152,Germ Date,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,,,,,
2,5,190,HR_135,HR_152,Flow Date,,,,,,,,,,,,,
2,5,191,HR_148,HR_109,Germ Date,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,,,*-7,,
2,5,191,HR_148,HR_109,Flow Date,,,,,,,,,,,,,
2,5,192,HR_195,HR_181,Germ Date,2022-12-06,2022-12-17,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,,,"*-3,4,7;?-5",,
2,5,192,HR_195,HR_181,Flow Date,,,,,,,,,,,,,
2,5,193,HR_57,HR_110,Germ Date,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,,2022-12-06,2022-12-06,,,*-5,,
2,5,193,HR_57,HR_110,Flow Date,,,,,,,,,,,,,
2,5,194,HR_085,HR_176,Germ Date,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,,,,,
2,5,194,HR_085,HR_176,Flow Date,,,,,,,,,,,,,
2,5,195,HR_66,HR_87,Germ Date,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,,,,*-4,,
2,5,195,HR_66,HR_87,Flow Date,,,,,,,,,,,,,
2,5,196,HR_171,HR_73,Germ Date,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,,,*-3,,
2,5,196,HR_171,HR_73,Flow Date,,,,,,,,,,,,,
2,5,197,HR_70,HR_123,Germ Date,2022-12-06,2022-12-06,2022-12-06,,2022-12-06,2022-12-06,2022-12-06,2022-12-06,,,,,
2,5,197,HR_70,HR_123,Flow Date,,,,,,,,,,,,,
2,5,198,HR_171,HR_57,Germ Date,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,,,,,
2,5,198,HR_171,HR_57,Flow Date,,,,,,,,,,,,,
2,5,199,HR_149,HR_65,Germ Date,2022-11-19,2022-12-06,,2022-12-06,2022-12-06,2022-12-06,2022-12-06,,,,"*-6,7",,
2,5,199,HR_149,HR_65,Flow Date,,,,,,,,,,,,,
2,5,200,HR_160,HR_33,Germ Date,2022-12-06,2022-12-06,2022-12-06,2022-12-06,,2022-12-06,2022-12-06,2022-12-06,,,*-7,*-2,
2,5,200,HR_160,HR_33,Flow Date,,,,,,,,,,,,,
2,5,201,HR_196,HR_54,Germ Date,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-11-19,,,,,
2,5,201,HR_196,HR_54,Flow Date,,,,,,,,,,,,,
2,5,202,HR_027,HR_119,Germ Date,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,,,,,
2,5,202,HR_027,HR_119,Flow Date,,,,,,,,,,,,,
2,5,203,HR_133,HR_72,Germ Date,2022-12-06,2022-12-17,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-17,2022-12-17,,,,*-7,
2,5,203,HR_133,HR_72,Flow Date,,,,,,,,,,,,,
2,5,204,HR_108,HR_177,Germ Date,2022-12-17,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,,,,,
2,5,204,HR_108,HR_177,Flow Date,,,,,,,,,,,,,
2,5,205,HR_164,HR_201,Germ Date,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,,,,,
2,5,205,HR_164,HR_201,Flow Date,,,,,,,,,,,,,
